tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,part1,cand2,resul2,part2,cand3,resul3,part3,cand4,resul4,part4,cand5,resul5,part5,cand6,resul6,part6,cand7,resul7,part7,cand8,resul8,part8,cand9,resul9,part9,cand10,resul10,part10,cand11,resul11,part11,cand12,resul12,part12,cand13,resul13,part13,cand14,resul14,part14,cand15,resul15,part15,unnamed: 55,unnamed: 56,unnamed: 57,unnamed: 58,unnamed: 59,unnamed: 60,unnamed: 61,unnamed: 62,unnamed: 63,unnamed: 64,unnamed: 65,unnamed: 66,unnamed: 67,unnamed: 68,unnamed: 69,unnamed: 70,unnamed: 71,unnamed: 72,unnamed: 73,unnamed: 74,unnamed: 75,unnamed: 76,unnamed: 77,unnamed: 78,unnamed: 79,unnamed: 80,unnamed: 81,unnamed: 82,unnamed: 83,unnamed: 84,unnamed: 85,unnamed: 86,unnamed: 87,unnamed: 88,unnamed: 89,unnamed: 90,unnamed: 91,unnamed: 92,unnamed: 93,unnamed: 94,unnamed: 95,unnamed: 96,unnamed: 97,unnamed: 98,unnamed: 99,unnamed: 100,unnamed: 101,unnamed: 102,unnamed: 103,unnamed: 104,unnamed: 105,unnamed: 106,unnamed: 107,unnamed: 108,unnamed: 109,unnamed: 110,unnamed: 111,unnamed: 112,unnamed: 113,unnamed: 114,unnamed: 115,unnamed: 116,unnamed: 117,unnamed: 118,unnamed: 119,unnamed: 120,unnamed: 121,unnamed: 122,unnamed: 123,unnamed: 124,unnamed: 125,unnamed: 126,unnamed: 127,unnamed: 128,unnamed: 129,unnamed: 130,unnamed: 131,unnamed: 132,unnamed: 133
AL-09316/2020,https://folhadealagoas.com.br/2020/07/06/eleicao-2020-vinicius-filho-de-ze-hermes-lidera-com-folga-em-canapi/,AL,CANAPI,"Prefeito, Vereador",1.0,P,0.0,,,VINICIUS,"45,5",,MADSON PAULINO,5,,MARCIO MARTINS,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-04631/2020,https://agoraamazonas.com/pesquisa-pontual-a-prefeitura-de-manaus-mostra-favoritismo-de-amazonino-mendes-com-299/,AM,MANAUS,Prefeito,1.0,P,1.0,,,AMAZONINO MENDES,"29,9",PODEMOS,DAVID ALMEIDA,"17,7",AVANTE,CAPITÃO ALBERTO NETO,"5,9",PRB,SERAFIM CORRREA,"5,7",PSB,JOSE RICARDO,4,PT,JOSUE NETO,"3,2",PRTB,DEBORA MAFRA,"3,2",PSC,ALFREDO NASCIMENTO,"2,3",PL,ROMERO REIS,"1,3",NOVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-04826/2020,https://www.facebook.com/PortalUnico/posts/2719047851748882,AM,MANAUS,Prefeito,1.0,P,1.0,,,AMAZONINO MENDES,"23,8",PODEMOS,DAVID ALMEIDA,"11,7",AVANTE,CAPITAO ALBERTO NETO,"6,6",PRB,EDUARDO BRAGA,"5,4",MDB,JOSE RICARDO,"4,8",PT,SERAFIM CORREA,"3,8",PSB,MARCOS ROTTA,3,DEM,ALFREDO NASCIMENTO,"2,9",PL,CHICO PRETO,"2,7",DC,JOSUE NETO,"2,2",PRTB,CONCEIÇÃO SAMPAIO,"1,9",,VANESSA GRAZZIOTIN,"1,6",,HISSA ABRAHAO,"1,5",,RICARDO NICOLAU,"1,3",,BOSCO SARAIVA,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-04826/2020,https://www.facebook.com/PortalUnico/posts/2719047851748882,AM,MANAUS,Prefeito,1.0,P,0.0,,,AMAZONINO MENDES,"7,3",PODEMOS,DAVID ALMEIDA,"3,6",AVANTE,JOSE RICARDO,"1,7",PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07482/2020,https://bncamazonas.com.br/eleicoes2020/disputa-coari-adail-na-frente/,AM,COARI,Prefeito,1.0,P,1.0,,,ADAIL PINHEIRO,"16,2",PP,ROBSON TIRADENTES,"3,3",,ARNALDO MITOUSO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07482/2020,https://bncamazonas.com.br/eleicoes2020/disputa-coari-adail-na-frente/,AM,COARI,Prefeito,1.0,P,1.0,,,ADAIL PINHEIRO,40,PP,ROBSON TIRADENTES,20,,ARNALDO MITOUSO,10,,LUIZ VASQUES,5,,MESSIAS DO LOJAO,3,,ORLANDO NASCIMENTO,2,,BITA TORRES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07587/2020,https://www.amazonasnews.com/2020/07/09/candidata-de-arthur-conceicao-sampaio-tem-maior-rejeicao-em-nova-pesquisa-a-prefeitura/,AM,MANAUS,Prefeito,1.0,P,1.0,,,AMAZONINO MENDES,"28,5",PODEMOS,DAVID ALMEIDA,"16,4",AVANTE,CAPITAO ALBERTO NETO,"8,4",,JOSE RICARDO,"7,3",,MARCOS ROTTA,"4,9",,CHICO PRETO,"4,4",,CONCEIÇÃO SAMPAIO,"4,1",,JOSUE NETO,"3,4",,CORONEL MENEZES,"2,5",,RICARDO NICOLAU,"1,5",,HISSA ABRAHAO,"1,4",,LILIANE ARAUJO,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07587/2020,https://www.amazonasnews.com/2020/07/09/candidata-de-arthur-conceicao-sampaio-tem-maior-rejeicao-em-nova-pesquisa-a-prefeitura/,AM,MANAUS,Prefeito,1.0,P,0.0,,,AMAZONINO MENDES,"12,4",PODEMOS,DAVID ALMEIDA,"4,5",AVANTE,JOSE RICARDO,"3,4",,CHICO PRETO,"1,7",,CAPITAO ALBERTO NETO,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07701/2020,https://portalopoder.com.br/2020/07/18/pesquisa-pontual-aponta-reeleicao-de-junior-leite-em-maues/,AM,MAUÉS,Prefeito,1.0,P,1.0,,,JUNIOR LEITE,"52,7",PSC,ALFREDO ALMEIDA,"26,5",PSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01806/2020,https://www.bahianoticias.com.br/noticia/251090-bn-seculus-juliana-araujo-lidera-preferencia-dos-eleitores-de-morro-do-chapeu.html,BA,MORRO DO CHAPÉU,Prefeito,1.0,P,0.0,,,JULIANA ARAUJO,"23,05",,CLAUDIO,"11,07",,LEO DOURADO,"5,21",,SHEILA,"3,26",,BETO,"1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
