tse_id,NM_UE,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
MG-01828/2020,CONTAGEM,"https://www.em.com.br/app/noticia/politica/2020/11/23/interna_politica,1211363/eleicoes-contagem-pesquisa-diferenca-de-nove-pontos-candidatos-pt-dem.shtml",1,P,1,,1,MARILIA CAMPOS,"54,7",FELIPE SALIBA,"45,3",,,,,,,,,,,,,,,,,,,,,,,,,,
MG-04331/2020,CONTAGEM,https://www.otempo.com.br/hotsites/eleicoes-2020/marilia-tem-43-e-saliba-soma-33-em-contagem-aponta-datatempo-quaest-1.2416979,1,P,1,,,MARILIA CAMPOS,43,SALIBA,33,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-04978/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-08619/2020,CONTAGEM,"https://www.em.com.br/app/noticia/politica/2020/11/25/interna_politica,1214443/eleicoes-2020-pesquisa-aponta-crescimento-de-saliba-em-contagem.shtml",1,P,1,,,MARILIA CAMPOS,"36,3",SALIBA,"33,1",,,,,,,,,,,,,,,,,,,,,,,,,,
MG-08655/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-08956/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-09421/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03683/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-06257/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-07552/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-07871/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-08356/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-01889/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-02680/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-04845/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-05311/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-06570/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-06944/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-09681/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-02323/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-01376/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-05998/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-08120/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-08744/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-09124/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-09301/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-04260/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-08407/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-01577/2020,JOÃO PESSOA,https://paraiba.com.br/2020/11/24/a-cinco-dias-das-eleicoes-78-ainda-estao-indecisos-na-disputa-para-prefeitura-de-joao-pessoa/,1,P,1,,,CICERO LUCENA,"45,8",NILVAN FERREIRA,"38,7",,,,,,,,,,,,,,,,,,,,,,,,,,
PB-02455/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-09276/2020,JOÃO PESSOA,https://noticias.uol.com.br/eleicoes/2020/11/24/pesquisa-ibope-joao-pessoa-eleicoes-pb-24-de-novembro.htm,1,P,1,,,CICERO LUCENA,44,NILVAN,36,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-09277/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-03936/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-09256/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-02409/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
