tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
BA-00203/2020,https://www.falabarreiras.com/eleicoes-2020/bn-seculus-prefeito-renatinho-sai-na-frente-em-todos-os-cenarios-em-sta-maria-da-vitoria/,BA,SANTA MARIA DA VITÓRIA,Prefeito,1,P,0,,,RENATINHO,"28,38",TONHO DE AGDONIO,"23,48",PRUDENTE,"8,81",DR. LINO,"5,09",,,,,,,,,,,,,,,,,,,,,,
BA-05320/2020,https://www.bahianoticias.com.br/noticia/252025-bn-seculus-keinha-e-gilmara-aparecem-em-vantagem-em-araci.html,BA,ARACI,Prefeito,1,P,0,,,KEINHA,"29,05",EDVALDINHO,"19,96",SILVA NETO,"5,76",MANOEL,"3,77",,,,,,,,,,,,,,,,,,,,,,
BA-05320/2020,https://www.bahianoticias.com.br/noticia/252025-bn-seculus-keinha-e-gilmara-aparecem-em-vantagem-em-araci.html,BA,ARACI,Prefeito,1,P,1,,,KEINHA,"37,69",EDVALDINHO,"29,71",MANOEL NUNES,"2,66",,,,,,,,,,,,,,,,,,,,,,,,
BA-09969/2020,https://www.bahianoticias.com.br/municipios/noticia/22297-bn-seculos-dr-tacinho-lidera-pesquisa-de-intencao-de-voto-em-jussara.html,BA,JUSSARA,Prefeito,1,P,0,,,TACINHO,"33,18",THIAGO DE MARISTELA,"22,35",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09969/2020,https://www.bahianoticias.com.br/municipios/noticia/22297-bn-seculos-dr-tacinho-lidera-pesquisa-de-intencao-de-voto-em-jussara.html,BA,JUSSARA,Prefeito,1,P,1,,,TACINHO,"47,29",THIAGO DE MARISTELA,"28,24",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05734/2020,https://www.bahianoticias.com.br/noticia/251854-bn-seculus-em-cicero-dantas-dr-ricardo-e-kael-dividem-vantagem-em-diferentes-cenarios.html,BA,CÍCERO DANTAS,Prefeito,1,P,0,,,DR. RICARDO,"31,73",KAEL,"25,51",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05734/2020,https://www.bahianoticias.com.br/noticia/251854-bn-seculus-em-cicero-dantas-dr-ricardo-e-kael-dividem-vantagem-em-diferentes-cenarios.html,BA,CÍCERO DANTAS,Prefeito,1,P,1,,,KAEL,"41,30",DR. RICARDO,"35,15",,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02892/2020,https://www.netoferreira.com.br/poder/2020/08/fufuca-dantas-caminha-para-ser-o-prefeito-mais-bem-votado-no-ma/,MA,ALTO ALEGRE DO PINDARÉ,Prefeito,1,P,1,,,FUFUCA DANTAS,"72,7",ATEMIR BOTELHO,"7,2",VILENE SIQUEIRA,"7,2",NETINHO,"2,2",,,,,,,,,,,,,,,,,,,,,,
GO-02410/2020,https://www.facebook.com/jornalpluralnoticias/posts/741473156418956,GO,ITUMBIARA,Prefeito,1,P,1,,,GUGU NADER,"27,2",DIONE ARAUJO,"15,7",ROGERIO REZENDE1,"15,5",MURILO BORGES,13,ZE ANTONIO,6,JUNIOR DA PASTORI,1,,,,,,,,,,,,,,,,,,
RN-01317/2020,https://www.facebook.com/blogglaucionefarias/posts/3888859501140705,RN,RIACHUELO,Prefeito,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
