tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
ES-01835/2020,https://sitebarra.com.br/v7/elias-lidera-com-559-pesquisa-eleitoral-em-ecoporanga.html,ECOPORANGA,1,P,0,,,ELIAS DALCOL,"50,2",ZE LUIZ,"20,3",JEFINHO DA SONDAGEM,"1,1",RENATO PROFESSOR,"1,1",,,,,,,,,,,,,,,,,,,,,,
ES-01957/2020,https://novo.folhavitoria.com.br/politica/noticia/11/2020/guerino-alcanca-58-3-das-intencoes-de-voto-em-linhares,LINHARES,1,P,0,,,GUERINO ZANON,"54,3",LUCAS SCARAMUSSA,10,MARCOS GARCIA,"4,8",ELIANA DADALTO,"4,3",,,,,,,,,,,,,,,,,,,,,,
ES-01957/2020,https://novo.folhavitoria.com.br/politica/noticia/11/2020/guerino-alcanca-58-3-das-intencoes-de-voto-em-linhares,LINHARES,1,P,1,,,GUERINO ZANON,"58,3",LUCAS SCARAMUSSA,12,MARCOS GARCIA,"8,3",ELIANA DADALTO,"7,3",ANTONIO DE FREITAS,"1,3",,,,,,,,,,,,,,,,,,,,
ES-06076/2020,https://www.aquinoticias.com/2020/10/neucimar-fraga-lidera-intencoes-de-voto-em-vila-velha-aponta-pesquisa-instituto-solucao/,VILA VELHA,1,P,1,,,ARNALDINHO BORGO,7,CORONEL WAGNER,2,DOUTOR HUDSON,"7,25",MAX FILHO,"13,5",NEUCIMAR FRAGA,"17,25",,,,,,,,,,,,,,,,,,,,
ES-09821/2020,https://www.folhavitoria.com.br/politica/blogs/guia-eleicoes-2020/2020/11/02/max-e-neucimar-estao-empatados-em-vila-velha/,VILA VELHA,1,P,1,,,MAX FILHO,"26,5",NEUCIMAR FRAGA,"24,5",ARNALDINHO BORGO,11,DOUTOR HUDSON,"3,8",CORONEL WAGNER,"3,3",AMARILDO LOVATO,3,RAFAEL PRIMO,"1,8",FERNANDA MARTINS,"1,3",,,,,,,,,,,,,,
ES-05929/2020,https://www.oribanense.com.br/noticia/2486/,RIO BANANAL,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-05921/2020,https://www.pazfm.com.br/novosite/noticia.php?id=5828,APARECIDA DE GOIÂNIA,1,P,0,,,GUSTAVO MENDANHA,63,MARCIA CALDAS,4,BRUNO FELIPE,1,,,,,,,,,,,,,,,,,,,,,,,,
GO-00829/2020,https://www.portalgo020.com.br/2020/10/pesquisas-divergem-em-cristianopolis.html,CRISTIANÓPOLIS,1,P,,,,AURELIO,"41,7",JULIANA DA FARMACIA,"25,2",RODRIGO ACHACAR,"16,7",BRUNO RIBEIRO,"4,7",,,,,,,,,,,,,,,,,,,,,,
GO-01274/2020,https://www.gamacidadao.com.br/pesquisa-que-apontava-o-atual-prefeito-pabio-mossoro-mdb-como-lider-na-corrida-pela-prefeitura-de-valparaiso-e-suspensa-por-suspeita-de-fraude/,VALPARAÍSO DE GOIÁS,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02275/2020,https://focala.com.br/noticias/formosa/gustavo-marques-dispara-e-se-aproxima-da-reeleicao-em-formosa,FORMOSA,1,P,1,,,GUSTAVO MARQUES,"37,9",WENNER PATRICK,"11,6",BUENO HERNANY,"8,6",PAULINHO ARAUJO,"4,9",CICERO JACINTO,"4,7",SD CAETANO,"3,2",HELI DOURADO,1,,,,,,,,,,,,,,,,
GO-02134/2020,https://jornalgoiasagora.com.br/pesquisa-serpes-maguito-cresce-vanderlan-cai-e-candidatos-estao-empatados/,GOIÂNIA,1,P,0,,,VANDERLAN,"21,8",MAGUITO,"18,5",ADRIANA ACCORSI,"7,3",,,,,,,,,,,,,,,,,,,,,,,,
GO-02134/2020,https://jornalgoiasagora.com.br/pesquisa-serpes-maguito-cresce-vanderlan-cai-e-candidatos-estao-empatados/,GOIÂNIA,1,P,1,,,MAGUITO,"21,5",VANDERLAN,"24,5",ADRIANA ACCORSI,"10,1",ALYSSON LIMA,"4,2",MAJOR ARAUJO,"3,5",ELIAS VAZ,"2,7",GUSTAVO GAYER,2,VIRMONDES CRUVINEL,"1,2",,,,,,,,,,,,,,
GO-02371/2020,https://diariodoestadogo.com.br/veja-pesquisa-eleitoral-em-uruana-capital-da-melancia-79550/,URUANA,1,P,1,,,DANIEL DO SUPERMERCADO,"29,7",NEI CANELA,"24,2",CASSIO GUSMAO,"19,14",LUIZ NETO,"9,24",,,,,,,,,,,,,,,,,,,,,,
GO-02371/2020,https://diariodoestadogo.com.br/veja-pesquisa-eleitoral-em-uruana-capital-da-melancia-79550/,URUANA,1,P,0,,,DANIEL DO SUPERMERCADO,"23,1",NEI CANELA,"21,78",CASSIO GUSMAO,"16,83",LUIZ NETO,"6,27",,,,,,,,,,,,,,,,,,,,,,
GO-03173/2020,https://www.omaispositivo.com.br/em-doverlandia-reeleicao-de-genilva-e-provavel-com-mais-de-55-das-intencoes-de-votos/,DOVERLÂNDIA,1,P,0,,,GENILVA,"52,56",AMILCAR,"25,89",GASPAR ALVES,"1,79",,,,,,,,,,,,,,,,,,,,,,,,
GO-03173/2020,https://www.omaispositivo.com.br/em-doverlandia-reeleicao-de-genilva-e-provavel-com-mais-de-55-das-intencoes-de-votos/,DOVERLÂNDIA,1,P,1,,,GENILVA,"55,13",AMILCAR,"27,44",GASPAR ALVES,"3,85",,,,,,,,,,,,,,,,,,,,,,,,
MA-01826/2020,https://dracutma.gov/town-clerk/events/53813,APICUM-AÇU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02576/2020,https://fhaloans.guide/loan-limits/2576,FERNANDO FALCÃO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02492/2020,http://valdemiroliveira8.blogspot.com/2020/10/jhulio-sousa-mantem-lideranca-em-pocao.html,POÇÃO DE PEDRAS,1,P,1,,,JHULIO SOUSA,"53,2",FRANCISCO PINHEIRO,"43,59",,,,,,,,,,,,,,,,,,,,,,,,,,
MA-09660/2020,http://escutec.com/pesquisas/registro_presidente_dutra.pdf,PRESIDENTE DUTRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-01923/2020,https://diariosulmaranhense.com.br/2020/10/28/pesquisa-mostra-diferenca-de-7-entre-as-duas-candidatas-a-prefeita-de-sambaiba-ma/,SAMBAÍBA,1,P,,,,FATIMA DANTAS,"43,64",DRA POLIANA,"50,91",,,,,,,,,,,,,,,,,,,,,,,,,,
MS-04458/2020,https://www.correiodoms.com.br/noticias/municipios/com-4567-thalles-tomazelli-lidera-a-disputa-pela-prefeitura-de-itaquirai,ITAQUIRAÍ,1,P,0,,,THALLES TOMAZELLI,44,NEY PORTELA,"27,67",MIRO DA ONLINE,11,,,,,,,,,,,,,,,,,,,,,,,,
