tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
BA-09989/2020,https://www.bahianoticias.com.br/noticia/254203-bn-seculus-intencoes-de-voto-apontam-marcio-messias-como-favorito-em-lapao.html,LAPÃO,1,P,0,,,MARCIO MESSIAS,"54,5",DIEGO MENDONÇA,37,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07308/2020,https://liberdadenews.com.br/politica/35794-irregularidades-e-venda-de-resultado-justica-eleitoral-de-teixeira-suspende-divulgacao-de-pesquisa,TEIXEIRA DE FREITAS,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07357/2020,https://www.carlosbritto.com/em-sobradinho-candidato-a-prefeito-apoiado-por-luiz-vicente-desponta-como-favorito-para-vencer-eleicoes-municipais/,SOBRADINHO,1,P,0,,,CLEYVINHO,"48,04",TIZIU,"19,55",CLAUDIO MONTREL,"6,98",,,,,,,,,,,,,,,,,,,,,,,,
BA-07357/2020,https://www.carlosbritto.com/em-sobradinho-candidato-a-prefeito-apoiado-por-luiz-vicente-desponta-como-favorito-para-vencer-eleicoes-municipais/,SOBRADINHO,1,P,1,,,CLEYVINHO,50,TIZIU,"20,67",CLAUDIO MONTREL,"7,54",,,,,,,,,,,,,,,,,,,,,,,,
CE-00004/2020,https://jardy.winjump.fr/concours/4937/haras-de-jardy---derby-eventing,BARBALHA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00462/2020,https://www.newscariri.com.br/2020/11/dr-marquinelio-lidera-com-491-pesquisa-eleitoral-no-barro,BARRO,1,P,1,,,MARQUINELIO,"49,1",GEORGE FEITOSA,"33,7",DAMIAO EPITACIO,2,,,,,,,,,,,,,,,,,,,,,,,,
CE-00462/2020,https://www.newscariri.com.br/2020/11/dr-marquinelio-lidera-com-491-pesquisa-eleitoral-no-barro,BARRO,1,P,0,,,MARQUINELIO,"44,8",GEORGE FEITOSA,"27,9",,,,,,,,,,,,,,,,,,,,,,,,,,
CE-09672/2020,https://hirancosta1973.blogspot.com/2020/11/pesquisa-registrada-no-tribunalregional.html,BEBERIBE,1,P,,,,MICHELE QUEIROZ,"54,5",PAULO DINO,"30,1",CESAR,"2,2",,,,,,,,,,,,,,,,,,,,,,,,
CE-01033/2020,https://cn7.com.br/realtime-big-data-divulga-pesquisa-da-disputa-em-caninde/,CANINDÉ,1,P,0,,,ROZARIO XIMENES,35,LUIZ DAMIAO,19,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-01033/2020,https://cn7.com.br/realtime-big-data-divulga-pesquisa-da-disputa-em-caninde/,CANINDÉ,1,P,1,,,ROZARIO XIMENES,48,LUIZ DAMIAO,23,BERGUIM CONSTRUTOR,2,HIGINO,2,IRINEU DE FREITAS,1,PADRE ADELMO,1,,,,,,,,,,,,,,,,,,
CE-02466/2020,https://www.blogdodiomararaujo.com.br/2020/11/decisao-judicial-proibe-divulgacao-de.html,CATARINA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-07457/2020,https://www.opovo.com.br/noticias/politica/2020/11/06/pesquisa-ibope-para-prefeito-de-caucaia--naumi-41---vitor-valim-19--e-emilia-15.html,CAUCAIA,1,P,0,,,NAUMI AMORIM,36,VITOR VALIM,13,EMILIA PESSOA,10,ELMANO DE FREITAS,7,SEBASTIAO CONRADO,1,JOAO ARY,1,SERGIO CORDEIRO,1,,,,,,,,,,,,,,,,
CE-07457/2020,https://www.opovo.com.br/noticias/politica/2020/11/06/pesquisa-ibope-para-prefeito-de-caucaia--naumi-41---vitor-valim-19--e-emilia-15.html,CAUCAIA,1,P,1,,,NAUMI AMORIM,41,VITOR VALIM,19,EMILIA PESSOA,19,ELMANO DE FREITAS,8,SEBASTIAO CONRADO,2,SERGIO CORDEIRO,1,,,,,,,,,,,,,,,,,,
CE-03552/2020,https://mais.opovo.com.br/colunistas/eliomar-de-lima/2020/11/09/pesquisa-ibope-crato---ze-ailton--44---doutor-aloisio--18---e-arthur-de-ze-adega--17.html,CRATO,1,P,,,,ZE AILTON,44,ALOISIO,18,ZE ADEGA,17,ZULEIDE QUEIROZ,11,,,,,,,,,,,,,,,,,,,,,,
CE-05989/2020,https://www.ointrigante.com.br/noticias/eleicoes-2020/nova-pesquisa-sarto-e-capitao-wagner-empatam-e-luizianne-se-afasta,FORTALEZA,1,P,0,,,SARTO,20,CAPITAO WAGNER,19,LUIZIANNE LINS,18,,,,,,,,,,,,,,,,,,,,,,,,
CE-02424/2020,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%A3o_municipal_de_Fortaleza_em_2020,FORTALEZA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-05989/2020,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%A3o_municipal_de_Fortaleza_em_2020,FORTALEZA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-05989/2020,https://www.ointrigante.com.br/noticias/eleicoes-2020/nova-pesquisa-sarto-e-capitao-wagner-empatam-e-luizianne-se-afasta,FORTALEZA,1,P,1,,,SARTO,29,CAPITAO WAGNER,28,LUIZIANNE LINS,22,RENATO ROSENO,3,HEITOR FERRER,3,HEITOR FREIRE,2,CELIO STUDART,2,ANIZIO MELO,1,,,,,,,,,,,,,,
CE-07926/2020,http://blogdoverissimo.com.br/site/por-indicios-de-fraude-justica-eleitoral-manda-suspender-pesquisa-em-frecheirinha/,FRECHEIRINHA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-09347/2020,https://iconarede.blogspot.com/2015/02/ico-ce-prf-apreende-60-kg-de-maconha.html,IBIAPINA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-04859/2020,https://cn7.com.br/agenor-cai-ednaldo-cresce-e-iguatu-vive-eleicao-em-empate-tecnico/,IGUATU,1,P,0,,,AGENOR,36,EDNALDO LAVOR,35,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-04859/2020,https://cn7.com.br/agenor-cai-ednaldo-cresce-e-iguatu-vive-eleicao-em-empate-tecnico/,IGUATU,1,P,1,,,AGENOR,42,EDNALDO LAVOR,38,TENENTE MULATO,2,SAMUEL ALVES,1,AUGUSTO LIMA CORREIA,1,MACIO,1,CARLOS SILVA,1,,,,,,,,,,,,,,,,
CE-02856/2020,https://www.paginaaberta.com.br/politica/eleicoes-2020-monsenhor-tabosa-salomao-63-dr-francisco-318.html,MONSENHOR TABOSA,1,P,,,,SALOMAO,63,DR FRANCISCO,"31,8",,,,,,,,,,,,,,,,,,,,,,,,,,
CE-04881/2020,https://cearaemoff.com.br/politica/justica-eleitoral-suspende-divulgacao-de-pesquisa-em-pacatuba,PACATUBA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-02597/2020,https://www.sertaoalerta.com.br/07/11/2020/pesquisa-eleitoral-de-quixada-ricardo-silveira-psd-473-e-ilario-marques-pt-380/,QUIXADÁ,1,P,1,,,RICARDO SILVA,"47,3",ILARIO MARQUES,38,SERGIO ONOFRE,5,,,,,,,,,,,,,,,,,,,,,,,,
CE-02462/2020,https://www.aconteceuipu.net/2020/11/pesquisa-eleitoral-registrada-em-sao.html,SÃO BENEDITO,1,P,1,,,DR MICHEL,"40,1",SAUL MACIEL,"35,5",TOTONHO LIMA,"4,3",HENRIQUE SANTANA,"1,6",,,,,,,,,,,,,,,,,,,,,,
CE-02462/2020,https://www.aconteceuipu.net/2020/11/pesquisa-eleitoral-registrada-em-sao.html,SÃO BENEDITO,1,P,0,,,DR MICHEL,"35,5",SAUL MACIEL,"30,4",,,,,,,,,,,,,,,,,,,,,,,,,,
CE-04164/2020,http://sobralemrevista.com.br/2020/11/12/ivo-gomes-lidera-eleicao-em-sobral/,SOBRAL,1,P,1,,,IVO GOMES,56,OSCAR RODRIGEUES,33,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-09457/2020,https://www.ibopeinteligencia.com/noticias-e-pesquisas/em-taua-ex-prefeita-patricia-aguiar-lidera-a-disputa-pela-prefeitura-com-27-pontos-percentuais-de-vantagem-sobre-o-atual-prefeito-fred-rego/,TAUÁ,1,P,0,,,PATRICIA AGUIAR,49,FRED REGO,21,DR EDYR,9,SAMUEL MARQUES,1,,,,,,,,,,,,,,,,,,,,,,
CE-09457/2020,https://www.ibopeinteligencia.com/noticias-e-pesquisas/em-taua-ex-prefeita-patricia-aguiar-lidera-a-disputa-pela-prefeitura-com-27-pontos-percentuais-de-vantagem-sobre-o-atual-prefeito-fred-rego/,TAUÁ,1,P,1,,,PATRICIA AGUIAR,51,FRED REGO,24,DR EDYR,13,SAMUEL MARQUES,2,AMAURI CAVALCANTE,1,RILDO DANTAS,1,,,,,,,,,,,,,,,,,,
CE-07815/2020,https://www.blogrobertomoreira.com/2020/11/trairi-gustavo-moreira-lidera-pesquisa.html,TRAIRI,1,P,,,,GUSTAVO MOREIRA,"43,6",MARCOS PRADO,"33,2",MAURO,"14,2",,,,,,,,,,,,,,,,,,,,,,,,
