id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
SE-08471/2020,LAGARTO,http://inter03.tse.jus.br/djeRest/rest/downloadDiario?tribunal=SE&numDiario=139&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01317/2020,RIACHUELO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05256/2020,NATAL,http://www.tribunadonorte.com.br/noticia/a-lvaro-lidera-pesquisa/487594,1,p,1,,,ALVARO DIAS,"28,5",KELPS LIMA,"3,5",HERMANO MORAIS,"1,6",,,,,,,,,,,,,,,,,,,,,,,,
SP-08727/2020,BERTIOGA,https://www.santaportal.com.br/noticia/62742-confira-o-resultado-da-pesquisa-de-intencao-de-voto-para-vereador-na-bs,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-08727/2020,BERTIOGA,https://www.costanorte.com.br/politica/elei%C3%A7%C3%B5es-em-bertioga-caio-matheus-lidera-com-35-1-corrida-para-prefeitura-1.53751,1,P,0,,,CAIO MATHEUS,"21,4",LUCILIA GOULART,"5,7",SILVIO MAGALHAES,"4,8",MAURO ORLANDINI,"3,6",DEBORA PEREIRA,1,,,,,,,,,,,,,,,,,,,,
SP-08727/2020,BERTIOGA,https://www.costanorte.com.br/politica/elei%C3%A7%C3%B5es-em-bertioga-caio-matheus-lidera-com-35-1-corrida-para-prefeitura-1.53751,1,P,1,,,CAIO MATHEUS,"35,1",SILVIO MAGALHAES,"10,8",LUCILIA GOULART,"10,8",MAURO ORLANDINI,"9,8",DEBORA PEREIRA,"5,2",KALED ALI,"4,1",PROFESSORA LUCELIA,"2,8",,,,,,,,,,,,,,,,
MA-04342/2020,SENADOR LA ROCQUE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-08497/2020,PASTOS BONS,http://inter03.tse.jus.br/dje-rest/rest/downloadDiario?tribunal=MA&numDiario=170&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-01581/2020,NOSSA SENHORA DO SOCORRO,https://www.nenoticias.com.br/justica-determina-suspensao-de-divulgacao-de-pesquisa-de-socorro/,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-00784/2020,NOVA SERRANA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-01033/2020,TOBIAS BARRETO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02553/2020,MATÕES,https://noticiasmaranhao.com/geral/crescimento-de-gabriel-tenorio-e-sinal-de-mudanca-em-matoes-aponta-pesquisa/,1,p,1,,,FERDINANDO COUTINHO,"46,5",GABRIEL TENORIO,"44,6",,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02553/2020,MATÕES,https://noticiasmaranhao.com/geral/crescimento-de-gabriel-tenorio-e-sinal-de-mudanca-em-matoes-aponta-pesquisa/,1,p,0,,,FERDINANDO COUTINHO,"41,9",GABRIEL TENORIO,"38,5",,,,,,,,,,,,,,,,,,,,,,,,,,
RN-09538/2020,RIACHUELO,http://atualidadesp.blogspot.com/2020/08/pesquisa-eleitoral-encomendada-pelo.html,1,P,1,,,JOCA,"61,25",JUNIOR COLACA,"24,25",,,,,,,,,,,,,,,,,,,,,,,,,,
SE-02634/2020,LAGARTO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-08755/2020,SANTA LUZIA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09030/2020,https://diasms.com.br/noticia/5102/2--pesquisa-em-que-sartor-aparece-como-preferido-e-impugnada-pela-justica-eleitoral-em-deodapolis,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-01951/2020,SALINÓPOLIS,https://www.facebook.com/permalink.php?id=956778407732036&story_fbid=3270971599646027,1,p,1,,,KAKA SENA,"41,4",MARCELO MAIA,"15,8",MAX DO S. GERALDO,"15,8",ROCHA NETO,"5,8",ZE MARIA,3,ANDERSON SA,"1,6",DALVA PAIXAO,"1,2",,,,,,,,,,,,,,,,
PA-01951/2020,SALINÓPOLIS,https://www.facebook.com/permalink.php?id=956778407732036&story_fbid=3270971599646027,1,p,0,,,KAKA SENA,19,MARCELO MAIA,"3,2",MAX DO S. GERALDO,"4,4",ROCHA NETO,"1,2",,,,,,,,,,,,,,,,,,,,,,
MS-09478/2020,PONTA PORÃ,https://www.jornalcorreioms.com/2020/08/ponta-pora-pesquisa-aponta-reeleicao-de.html,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09478/2020,PONTA PORÃ,https://www.jornalcorreioms.com/2020/08/ponta-pora-pesquisa-aponta-reeleicao-de.html,1,P,1,,,HELIO PELUFFO,70,RAQUEL PORTIOLI,"4,25",CAIO AUGUSTO,"3,5",BRUNO REICHARDT,"2,5",RONALDO FRANCO,"2,25",VITORIA DO PT,1,,,,,,,,,,,,,,,,,,
MS-09478/2020,PONTA PORÃ,https://www.jornalcorreioms.com/2020/08/ponta-pora-pesquisa-aponta-reeleicao-de.html,1,P,0,,,HELIO PELUFFO,"50,5",RAQUEL PORTIOLI,"2,25",FLAVIO KAYATT,2,ALVARO SOARES,"1,75",CAIO AUGUSTO,"1,5",BRUNO REICHARDT,"1,25",,,,,,,,,,,,,,,,,,
MS-03035/2020,CORUMBÁ,https://folhams.com.br/2020/08/12/instituto-de-pesquisa-ranking-aponta-empate-tecnico-na-disputa-pela-prefeitura-de-corumba/,1,P,1,,,MARCELO IUNES,"30,5",PAULO DUARTE,"27,25",DR GABRIEL,13,ELANO HOLANDA,"4,5",LIGIA BARUKI,3,,,,,,,,,,,,,,,,,,,,
MS-03035/2020,CORUMBÁ,https://folhams.com.br/2020/08/12/instituto-de-pesquisa-ranking-aponta-empate-tecnico-na-disputa-pela-prefeitura-de-corumba/,1,P,0,,,MARCELO IUNES,"18,5",PAULO DUARTE,"15,25",DR GABRIEL,5,ELANO HOLANDA,"2,25",CHICAO VIANA,"1,25",BIA CAVASSA,1,,,,,,,,,,,,,,,,,,
MS-00128/2020,ANTÔNIO JOÃO,https://jornaltribunadafronteira.com.br/pesquisa-sobre-as-eleicoes-2020-e-avaliacao-administrativa-no-municipio-de-antonio-joao/,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00128/2020,ANTÔNIO JOÃO,https://jornaltribunadafronteira.com.br/pesquisa-sobre-as-eleicoes-2020-e-avaliacao-administrativa-no-municipio-de-antonio-joao/,1,P,1,,,AFRANIO MARQUES,61,PASTOR ELISEU,"8,33",ELIO LOPES,7,PROFESSOR CIDO,"2,67",,,,,,,,,,,,,,,,,,,,,,
MS-00128/2020,ANTÔNIO JOÃO,https://jornaltribunadafronteira.com.br/pesquisa-sobre-as-eleicoes-2020-e-avaliacao-administrativa-no-municipio-de-antonio-joao/,1,P,0,,,AFRANIO MARQUES,35,MARCIA MARQUES,"6,33",ELIO LOPES,3,MARCELO PE,"1,67",,,,,,,,,,,,,,,,,,,,,,
MS-06728/2020,BATAGUASSU,https://noticiasemrede.com.br/noticia/1694/dennis-thomazini-lidera-disputa-pela-prefeitura-de-bataguassu-aponta-pesquisa,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-06728/2020,BATAGUASSU,https://noticiasemrede.com.br/noticia/1694/dennis-thomazini-lidera-disputa-pela-prefeitura-de-bataguassu-aponta-pesquisa,1,P,1,,,DENNYS THOMAZINI,"24,5",AKIRA OTSUBO,"19,25",BANHA,"10,75",KOTAI,6,ZE DO DORIVAL,"3,25",,,,,,,,,,,,,,,,,,,,
MS-06728/2020,BATAGUASSU,https://noticiasemrede.com.br/noticia/1694/dennis-thomazini-lidera-disputa-pela-prefeitura-de-bataguassu-aponta-pesquisa,1,P,0,,,DENNYS THOMAZINI,"18,5",PEDRO CARAVINA,"12,25",AKIRA OTSUBO,9,REGINA DOVALE,"8,25",DR JUNIOR,"4,75",BANHA,"3,75",,,,,,,,,,,,,,,,,,
MS-06173/2020,CAMPO GRANDE,https://www.enfoquems.com.br/confira-os-nomes-mais-citados-na-disputa-para-vereadora-em-campo-grande/,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO-00644/2020,PORTO VELHO,https://www.tvriomadeira.com/noticias/brasil/511248/1,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-01299/2020,CAPELA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-05187/2020,PIRAMBU,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-04866/2020,SÃO LUÍS,https://ma-mais.com.br/index.php/2020/08/14/pesquisa-emet-detinha-dispara-e-ja-e-a-4a-colocada-em-sao-luis/,1,p,,,,EDUARDO BRAIDE,"33,75",WELLINGTON DO CURSO,"13,54",DUARTE JR,"9,21",DETINHA,"6,95",ADRIANO SARNEY,"5,96",NETO EVANGELISTA,"5,69",BIRA DO PANDARE,"4,24",RUBENS JR,"2,53",DR MADEIRA,"1,62",JEISAEL MAX,"1,53",,,,,,,,,,
MS-03629/2020,NOVA ALVORADA DO SUL,https://www.correiodoms.com.br/noticias/municipios/pesquisa-mostra-empate-tecnico-para-prefeito-de-nova-alvorada-do-sul,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-03629/2020,NOVA ALVORADA DO SUL,https://www.correiodoms.com.br/noticias/municipios/pesquisa-mostra-empate-tecnico-para-prefeito-de-nova-alvorada-do-sul,1,p,1,,,ARLEI BARBOSA,32,DELEGADO ELIAS,"28,75",JOSE PALEARI,"16,5",PATRICIA CESAR,"4,5",NELIO JUSTIN,"2,25",,,,,,,,,,,,,,,,,,,,
MS-03629/2020,NOVA ALVORADA DO SUL,https://www.correiodoms.com.br/noticias/municipios/pesquisa-mostra-empate-tecnico-para-prefeito-de-nova-alvorada-do-sul,1,p,0,,,ARLEI BARBOSA,"17,25",DELEGADO ELIAS,"14,75",JOSE PALEARI,"8,5",PATRICIA CESAR,"1,5",JUVENAL NETO,"1,25",,,,,,,,,,,,,,,,,,,,
SP-01316/2020,SANTOS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05237/2020,GUARULHOS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01937/2020,CUBATÃO,http://www.badracomunicacao.com.br/publico/include/download.php?file=38,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01937/2020,CUBATÃO,http://www.badracomunicacao.com.br/publico/include/download.php?file=38,1,P,1,,,ADEMARIO OLIVEIRA,27.7,DR. PAIVA MAGALHAES,"10,4",WAGNER MOURA,"9,6",TONINHO VIEIRA,"7,8",DODA,"4,2",PEDRO DE SA,"2,9",PAULA RAVANELLI,"2,3",PAULO ROSA,2,KADU,"1,3",FABIO MELO,"1,1",,,,,,,,,,
SP-01937/2020,CUBATÃO,http://www.badracomunicacao.com.br/publico/include/download.php?file=38,1,P,0,,,ADEMARIO OLIVEIRA,"18,5",DR. PAIVA MAGALHAES,"4,2",WAGNER MOURA,"4,1",TONINHO VIEIRA,"3,8",DODA,"1,5",PEDRO DE SA,"1,4",BARAZAL,"1,3",,,,,,,,,,,,,,,,
SP-07087/2020,ILHA COMPRIDA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-06657/2020,SÃO SEBASTIÃO,https://m.facebook.com/jornalistaheltonromano/photos/a.438581392882829/4201568686584062/?type=3&source=57,1,P,,,,FELIPE AUGUSTO,30,GLEIVISON,23,AMILTON PACHECO,18,JUAN,10,ERNANE,7,ALEXANDRE PORFIRIO,2,CLAUDE ABREU,1,,,,,,,,,,,,,,,,
SP-04906/2020,PEDRANÓPOLIS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-04260/2020,MARAPOAMA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-07352/2020,VITÓRIA BRASIL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-02407/2020,SÃO FRANCISCO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-09951/2020,ADOLFO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-06728/2020,PALMEIRA D'OESTE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05642/2020,NOVA ALIANÇA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-00981/2020,PONTES GESTAL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01154/2020,MARIÁPOLIS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-09072/2020,CAJOBI,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01197/2020,BÁLSAMO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01112/2020,SANTA ADÉLIA,http://inter03.tse.jus.br/djeRest/rest/downloadDiario?tribunal=SP&numDiario=175&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05495/2020,TURMALINA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05065/2020,MAGDA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-08419/2020,PINDORAMA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
