unnamed: 0,tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,AL-06765/2020,https://www.cadaminuto.com.br/noticia/2020/05/10/pesquisa-eleitoral-mostra-cenario-favoravel-a-reeleicao-em-carneiros-confira,AL,CARNEIROS,"Prefeito, Vereador",1.0,P,0.0,,,GERALDO FILHO,"55,5",GENIVALDO AGRA,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-07737/2020,http://gazetaweb.globo.com/fotosPortal/portal_gazetaweb_com/documentos/76504c2faee6d845b9926784af37a6c1.pdf,AL,BARRA DE SÃO MIGUEL,Prefeito,1.0,P,1.0,,,BIU DE LIRA,46,PASTOR SILAS,15,TACIANA FERRO,7,LUZIANE,3,REGINHO,3,ANGELA GALEGA,2,MANA,2,JOAO AMARAL,1,,,,,,,,,,,,,,
,AL-07737/2020,http://gazetaweb.globo.com/fotosPortal/portal_gazetaweb_com/documentos/76504c2faee6d845b9926784af37a6c1.pdf,AL,BARRA DE SÃO MIGUEL,Prefeito,1.0,P,0.0,,,BIU DE LIRA,22,PASTOR SILAS,6,TACIANA FERRO,2,LUZIANE,1,REGINHO,1,,,,,,,,,,,,,,,,,,,,
,AL-08327/2020,https://minutosertao.cadaminuto.com.br/noticia/15422/2020/06/06/ibrape-cadaminuto-oposicao-e-situacao-empatados-em-major-izidoro,AL,MAJOR ISIDORO,"Prefeito, Vereador",1.0,P,1.0,,,ALEX MARIANO,36,THEOBALDO CINTRA,35,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-08710/2020,https://tribunahoje.com/noticias/interior/2020/05/19/pesquisa-aponta-reeleicao-folgada-de-prefeito-do-mdb-no-norte-de-al/,AL,PORTO DE PEDRAS,"Prefeito, Vereador",1.0,P,0.0,,,HENRIQUE VILELA,"75,12",ROGERIO FARIAS,"5,37",,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-08710/2020,https://maragogi.7segundos.com.br/noticias/2020/05/19/170402/mais-de-92-da-populacao-de-porto-de-pedras-aprova-a-gestao-de-henrique-vilela.html,AL,PORTO DE PEDRAS,"Prefeito, Vereador",1.0,P,1.0,,,HENRIQUE VILELA,"76,59",NALDINHO,"5,12",,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-08710/2020,https://maragogi.7segundos.com.br/noticias/2020/05/19/170402/mais-de-92-da-populacao-de-porto-de-pedras-aprova-a-gestao-de-henrique-vilela.html,AL,PORTO DE PEDRAS,"Prefeito, Vereador",1.0,P,1.0,,,HENRIQUE VILELA,"77,8",NILSON GATO,"1,95",,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-08710/2020,https://maragogi.7segundos.com.br/noticias/2020/05/19/170402/mais-de-92-da-populacao-de-porto-de-pedras-aprova-a-gestao-de-henrique-vilela.html,AL,PORTO DE PEDRAS,"Prefeito, Vereador",1.0,P,1.0,,,HENRIQUE VILELA,"78,54",FLAVIO SARMENTO,"1,46",,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-08710/2020,https://maragogi.7segundos.com.br/noticias/2020/05/19/170402/mais-de-92-da-populacao-de-porto-de-pedras-aprova-a-gestao-de-henrique-vilela.html,AL,PORTO DE PEDRAS,"Prefeito, Vereador",1.0,P,1.0,,,HENRIQUE VILELA,"73,9",ROGERIO FARIAS,"11,95",,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-09082/2020,https://www.br104.com.br/blogs/adelinoangelo/politica/quem-sentara-na-cadeira/,AL,UNIÃO DOS PALMARES,"Prefeito, Vereador",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
