"ANO_ELEICAO","NUM_TURNO","COD_MUN_TSE","SIGLA_UE","CODIGO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS"
"2016","1","31453","31453","11","15","5083"
"2016","1","47597","47597","11","20","1771"
"2016","1","05550","05550","11","45","4138"
"2016","1","32050","32050","11","15","2858"
"2016","1","31054","31054","11","40","98071"
"2016","1","41343","41343","11","11","765"
"2016","1","04103","04103","11","90","1239"
"2016","1","31879","31879","11","22","5907"
"2016","1","31550","31550","11","15","5959"
"2016","1","52191","52191","11","22","4220"
"2016","1","05410","05410","11","23","3139"
"2016","1","31798","31798","11","43","4632"
"2016","1","31550","31550","11","20","3318"
"2016","1","41505","41505","11","65","203"
"2016","1","05479","05479","11","25","5278"
"2016","1","31054","31054","11","16","4278"
"2016","1","32492","32492","11","15","3406"
"2016","1","47937","47937","11","40","216"
"2016","1","05096","05096","11","45","34375"
"2016","1","05495","05495","11","15","2460"
"2016","1","31097","31097","11","43","27"
"2016","1","40657","40657","11","15","1110"
"2016","1","04294","04294","11","90","75"
"2016","1","05690","05690","11","12","5075"
"2016","1","04006","04006","11","44","101"
"2016","1","52590","52590","11","45","1914"
"2016","1","04723","04723","11","13","6466"
"2016","1","05932","05932","11","12","3353"
"2016","1","05630","05630","11","10","164"
"2016","1","46051","46051","11","12","2223"
"2016","1","04723","04723","11","45","7134"
"2016","1","04952","04952","11","33","841"
"2016","1","04014","04014","11","18","11821"
"2016","1","52833","52833","11","45","2927"
"2016","1","04588","04588","11","45","1145"
"2016","1","04014","04014","11","13","16960"
"2016","1","04790","04790","11","45","7441"
"2016","1","41912","41912","11","31","58"
"2016","1","05533","05533","11","13","4668"
"2016","1","04693","04693","11","22","4498"
"2016","1","04731","04731","11","25","9447"
"2016","1","51411","51411","11","15","1787"
"2016","1","04006","04006","11","20","4685"
"2016","1","05738","05738","11","31","7026"
"2016","1","05991","05991","11","90","4742"
"2016","1","49859","49859","11","55","23270"
"2016","1","04774","04774","11","13","12428"
"2016","1","04537","04537","11","15","16634"
"2016","1","04804","04804","11","15","1991"
"2016","1","47031","47031","11","40","14066"
"2016","1","91316","91316","11","12","4361"
"2016","1","04405","04405","11","15","3427"
"2016","1","04642","04642","11","50","559"
"2016","1","40487","40487","11","13","1613"
"2016","1","90212","90212","11","20","7594"
"2016","1","04871","04871","11","10","259"
"2016","1","05053","05053","11","55","10500"
"2016","1","47791","47791","11","33","1515"
"2016","1","90638","90638","11","12","21027"
"2016","1","05916","05916","11","15","13611"
"2016","1","04774","04774","11","23","1121"
"2016","1","53279","53279","11","55","790"
"2016","1","98116","98116","11","45","2479"
"2016","1","04413","04413","11","25","31619"
"2016","1","04294","04294","11","15","14835"
"2016","1","52850","52850","11","25","2130"
"2016","1","91014","91014","11","40","2356"
"2016","1","05991","05991","11","15","4748"
"2016","1","05878","05878","11","40","9308"
"2016","1","48593","48593","11","55","4128"
"2016","1","91413","91413","11","51","3881"
"2016","1","04790","04790","11","13","9241"
"2016","1","04634","04634","11","23","250"
"2016","1","41769","41769","11","15","1983"
"2016","1","56472","56472","11","19","1293"
