tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""RN-03827/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://drive.google.com/file/d/1kXjlft02CsUXCqD1mukfJn_WVnMUfaS9/view,RN,g,0,,,Fátima Bezerra,"22,76",Capitão Styvenson,"9,71",Fábio Dantas,"7,18",Clorissa Linhares,"0,47",Rosalia Fernandes,"0,06",,,,,,,,,,,,,,
"""RN-03827/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://drive.google.com/file/d/1kXjlft02CsUXCqD1mukfJn_WVnMUfaS9/view,RN,s,0,,,Rogério Marinho,"12,41",Carlos Eduardo,"6,29",Rafael Motta,"3,12",Freitas Júnior,"0,12",Veterinária Shirlei Medeiros,"0,12",Marcos do MLB,"0,06",,,,,,,,,,,,
"""RN-03827/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://drive.google.com/file/d/1kXjlft02CsUXCqD1mukfJn_WVnMUfaS9/view,RN,s,1,,,Rogério Marinho,25,Carlos Eduardo,"23,06",Rafael Motta,"10,06",Freitas Júnior,"0,24",Veterinária Shirlei Medeiros,"1,18",Marcos do MLB,0,Pastor Silvestre,"0,47",Dário Barbosa,"0,35",Marcelo Guerreiro,"0,06",Geraldo Pinho,"0,06",,,,
"""RN-06154/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RR-00164/2022""",RR,RORAIMA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RR-00519/2022""",RR,RORAIMA,"Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RR-07397/2022""",RR,RORAIMA,"Governador, Senador",1,https://www.bemparana.com.br/noticias/politica/pesquisa-ipec-em-roraima-antonio-denarium-tem-45-e-teresa-surita-soma-38/,RR,g,1,,,Antonio Denarium,45,Teresa Surita,38,Fábio Almeida,2,Juraci Escurinho,1,Rudson Leite,1,,,,,,,,,,,,,,
"""RR-07397/2022""",RR,RORAIMA,"Governador, Senador",1,https://www.bemparana.com.br/noticias/politica/pesquisa-ipec-em-roraima-antonio-denarium-tem-45-e-teresa-surita-soma-38/,RR,s,1,,,Dr. Hiran,26,Romero Jucá,26,Telmário Mota,12,Helder Girão,5,Maranhão do Povão,2,Dr. Ilderson,2,Bartô Macuxi,1,Maurício Costa,1,Ozéas Colares,1,,,,,,
"""SC-04411/2022""",SC,SANTA CATARINA,"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SE-03699/2022""",SE,SERGIPE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://xodonews.com.br/noticia/61326/lula-valmir-e-amorim-lideram-intencoes-de-voto-em-sergipe,SE,s,0,,,Valadares Filho,"9,55",Eduardo Amorim,"20,29",Danielle Garcia,"14,7",Laércio Oliveira,"4,79",Henri Clay,"0,75",Airton Costa,"0,24",Heraldo Goes,"0,08",,,,,,,,,,
