tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""BR-00720/2022""",BR,BRASIL,Presidente,1,https://www.otempo.com.br/politica/pesquisa-datatempo-lula-tem-44-4-e-bolsonaro-29-95-em-minas-1.2665648,pr,MG,1,,,Lula,"44,4",Bolsonaro,"29,95",Ciro Gomes,"4,55",Janones,"3,1",Doria,"2,75",,,,,,,,,,,,,,
"""BR-00720/2022""",BR,BRASIL,Presidente,1,https://www.otempo.com.br/politica/pesquisa-datatempo-lula-tem-44-4-e-bolsonaro-29-95-em-minas-1.2665648,pr,MG,0,,,Lula,"35,8",Bolsonaro,"25,65",Ciro Gomes,"1,1",,,,,,,,,,,,,,,,,,
"""BR-00732/2022""",BR,BRASIL,Presidente,1,https://www.portalr10.com/noticia/94951/estimativa-em-floriano-com-apoio-de-lula-e-wellington-rafael-tem-37-,pr,M,1,,,Lula,69,Bolsonaro,"11,6",Ciro Gomes,"3,33",Janones,1,,,,,,,,,,,,,,,,
"""BR-01150/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01171/2022""",BR,BRASIL,Presidente,1,https://rankingpesquisa.com.br/wp-content/uploads/2022/05/ELEICOES-2022-MAIO-DE-2022-3.pdf,pr,MS,0,,,Bolsonaro,32,Lula,"24,1",Tebet,"2,8",Ciro Gomes,"1,8",Moro,1,,,,,,,,,,,,,,
"""BR-01171/2022""",BR,BRASIL,Presidente,1,https://rankingpesquisa.com.br/wp-content/uploads/2022/05/ELEICOES-2022-MAIO-DE-2022-3.pdf,pr,MS,1,,,Bolsonaro,"38,2",Lula,"30,1",Tebet,"4,4",Ciro Gomes,4,Doria,2,,,,,,,,,,,,,,
"""BR-01275/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01283/2022""",BR,BRASIL,Presidente,1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-alagoas-registro-tse-n-o-br-01283-2022-situacao-eleitoral-para-o-executivo-federal-e-avaliacao-da-administracao-federal-maio-2022/,pr,AL,1,,,Lula,"51,1",Bolsonaro,"27,5",Ciro Gomes,"4,6",Janones,"1,6",Doria,"1,5",,,,,,,,,,,,,,
"""BR-01470/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01548/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/05/17/quaest-eleicoes-rio-de-janeiro-presidencial-17-de-maio.htm,pr,RJ,1,,,Lula,35,Bolsonaro,35,Ciro,6,Doria,2,Janones,2,Tebet,1,,,,,,,,,,,,
"""BR-01548/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/05/17/quaest-eleicoes-rio-de-janeiro-presidencial-17-de-maio.htm,pr,RJ,0,,,Bolsonaro,25,Lula,23,Ciro,1,,,,,,,,,,,,,,,,,,
"""BR-01603/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/05/11/pesquisa-quaest-presidente-maio-lula-bolsonaro.htm,pr,BR,1,,,Lula,46,Bolsonaro,29,Ciro,7,Janones,3,Doria,3,Tebet,1,D'Ávila,1,,,,,,,,,,
"""BR-01603/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/05/11/pesquisa-quaest-presidente-maio-lula-bolsonaro.htm,pr,BR,0,,,Lula,28,Bolsonaro,22,Ciro,2,,,,,,,,,,,,,,,,,,
"""BR-01607/2022""",BR,BRASIL,Presidente,1,https://cdn.oantagonista.com/uploads/2022/05/Relatorio-Parana-Registrada-PR-080312022-e-BR-016072022.pdf,pr,PR,1,,,Bolsonaro,"42,9",Lula,35,Ciro,"5,1",Doria,"3,3",Tebet,"1,6",,,,,,,,,,,,,,
"""BR-01636/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01705/2022""",BR,BRASIL,Presidente,1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-do-ceara-registro-tse-n-o-br-01705-2022-situacao-eleitoral-para-o-executivo-federal-e-avaliacao-da-administracao-federal-maio-2022/,pr,CE,1,,,Lula,"44,4",Bolsonaro,"25,8",Ciro,"14,4",Janones,"1,8",,,,,,,,,,,,,,,,
"""BR-01734/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/05/20/pesquisa-exame-ideia-maio-2022-lula-bolsonaro.htm,pr,BR,1,,,Lula,41,Bolsonaro,32,Ciro,9,Doria,2,Tebet,1,Sofia Manzano,1,Janones,1,D'Ávila,1,,,,,,,,
"""BR-01734/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/05/20/pesquisa-exame-ideia-maio-2022-lula-bolsonaro.htm,pr,BR,0,,,Lula,34,Bolsonaro,27,Ciro,4,Sergio Moro,1,Doria,1,,,,,,,,,,,,,,
"""BR-01975/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/poderdata/poderdata-lula-tem-50-contra-40-de-bolsonaro-no-2o-turno/,pr,BR,1,,,Lula,43,Bolsonaro,35,Ciro,6,Janones,2,Tebet,1,Eymael,1,Bivar,1,,,,,,,,,,
