tse_id,url,info_uf,info_position,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
MA-04312/2022,https://www.netoweba.com.br/2022/04/pesquisa-espontanea-para-deputado.html,MA,"Governador, Senador, Deputado Federal, Deputado Estadual",1,g,MA,0,,,Carlos Brandão,"15,2",Lahésio Bonfim,"12,15",Weverton Rocha,"10,6",Josimar,"9,7",Roberto Rocha,"4,1",Edvaldo Holanda,"2,3",Simplícipo Araújo,"0,1",,,,,,,,,,
MA-04312/2022,https://www.netoweba.com.br/2022/04/brandao-se-mantem-em-primeiro-seguido.html,MA,"Governador, Senador, Deputado Federal, Deputado Estadual",1,g,MA,1,,,Carlos Brandão,"22,25",Lahésio Bonfim,"17,6",Weverton Rocha,14,Josimar,"12,85",Roberto Rocha,"6,9",Edvaldo Holanda,"4,3",Simplícipo Araújo,"0,6",,,,,,,,,,
MA-04312/2022,https://acartapolitica.com.br/2022/04/04/claudio-cunha-lidera-pesquisa-para-deputado-estadual-em-municipios-da-baixada/,MA,"Governador, Senador, Deputado Federal, Deputado Estadual",1,de,ma,0,,,claudio cunha,"7,39",luciana genesio,"3,43",joao segundo,"2,28",ana do gás,"1,71",othelino neto,"1,13",felix,"1,13",helio soares,"1,13",rafael leitoa,"1,13",,,,,,,,
MA-08664/2022,https://silviatereza.com.br/veja-os-numeros-da-nova-pesquisa-datam-para-o-governo-do-maranhao/,MA,"Governador, Senador",1,g,ma,1,,,weverton rocha,"16,8",carlos brandao,"15,8",lahesio bonfim,"13,9",roberto rocha,"10,4",edivaldo holanda,"8,5",josimar,"5,1",,,,,,,,,,,,
MS-06419/2022,https://publishers.standardstech.com/content/federal-register-usofr-2022-06419,MS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09921/2022,https://www.sed.ms.gov.br/chamada-de-professores-temporarios-da-ree-2022/,MS,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-09252/2022,https://www.vgnoticias.com.br/politica/mauro-mendes-lidera-pesquisa-para-governo-de-mato-grosso-na-baixada-cuiabana-gestao-positiva/87702,MT,"Presidente, Governador, Senador, Deputado Estadual",1,g,mt,1,,,mauro mendes,37,emanuel pinheiro,15,wellington fagundes,7,lucimar campos,7,rosa neide,4,nilson leitao,3,jose carlos,1,,,,,,,,,,
MT-09252/2022,https://www.vgnoticias.com.br/politica/mauro-mendes-lidera-pesquisa-para-governo-de-mato-grosso-na-baixada-cuiabana-gestao-positiva/87702,MT,"Presidente, Governador, Senador, Deputado Estadual",1,g,mt,0,,,mauro mendes,14,emanuel pinheiro,4,wellington fagundes,2,lucimar campos,1,,,,,,,,,,,,,,,,
MT-09252/2022,https://www.vgnoticias.com.br/politica/com-24-das-intencoes-de-voto-wellington-fagundes-lidera-pesquisa-ao-senado/87695,MT,"Presidente, Governador, Senador, Deputado Estadual",1,s,mt,1,,,wellington fagundes,24,coronel fernanda,12,otaviano pivetta,7,nilson leitao,5,valdir barranco,5,jose medeiros,5,,,,,,,,,,,,
MT-09252/2022,https://www.vgnoticias.com.br/politica/com-24-das-intencoes-de-voto-wellington-fagundes-lidera-pesquisa-ao-senado/87695,MT,"Presidente, Governador, Senador, Deputado Estadual",1,s,mt,0,,,wellington fagundes,4,jayme campos,2,emanuelzinho,2,jose medeiros,1,coronel fernanda,1,,,,,,,,,,,,,,
PE-02798/2022,https://www.brasil247.com/regionais/nordeste/primeira-pesquisa-depois-do-anuncio-de-marilia-arraes-mostra-sua-lideranca-em-todos-os-cenarios,PE,"Governador, Senador",1,g,pe,1,,,marilia arraes,28,raquel lyra,14,miguel coelho,11,anderson ferreira,8,danilo cabral,6,joao arnaldo,2,jones manoel,1,,,,,,,,,,
PI-02590/2022,https://public-inspection.federalregister.gov/2022-02590.pdf,PI,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-06267/2022,https://piauihoje.com/noticias/politica/pesquisa-aponta-rafael-fonteles-22-pontos-a-frente-de-silvio-com-apoio-de-lula-e-w-dias-397699.html,PI,"Governador, Senador",1,g,pi,1,,,silvio mendes,"29,25",rafael fonteles,"23,80",major diego,"2,45",gessy fonseca,"1,80",,,,,,,,,,,,,,,,
BR-07985/2022,https://piauihoje.com/noticias/politica/pesquisa-aponta-rafael-fonteles-22-pontos-a-frente-de-silvio-com-apoio-de-lula-e-w-dias-397699.html,BR,Presidente,1,pr,br,1,,,lula,"67,20",bolsonaro,"15,95",ciro gomes,"4,85",sergio moro,"1,50",andre janones,"1,45",,,,,,,,,,,,,,
PI-06267/2022,https://piauihoje.com/noticias/politica/pesquisa-aponta-rafael-fonteles-22-pontos-a-frente-de-silvio-com-apoio-de-lula-e-w-dias-397699.html,PI,"Governador, Senador",1,s,pi,1,,,wellington dias,"46,7",kleber montezuma,"8,7",joel rodrigues,"6,8",fabio servio,"1,9",,,,,,,,,,,,,,,,
PI-06267/2022,https://www.portalr10.com/noticia/92281/com-apoio-de-lula-e-wellington-dias-rafael-fica-22-pontos-a-frente-de-silvio,PI,"Governador, Senador",1,g,pi,0,,,silvio mendes,"9,35",rafael fonteles,"7,95",wellington dias,"2,9",,,,,,,,,,,,,,,,,,
PI-07706/2022,https://www.oitomeia.com.br/wp-content/uploads/2022/03/Relato%CC%81rio-Eleic%CC%A7o%CC%83es-Estaduais-PIAUI%CC%81-19-a-22-de-marc%CC%A7o-de-2022-FINAL-1.pdf,PI,"Governador, Senador",1,g,pi,1,,,silvio mendes,"35,67",rafael fonteles,"14,6",major diego,"3,88",,,,,,,,,,,,,,,,,,
PI-07706/2022,https://www.oitomeia.com.br/wp-content/uploads/2022/03/Relato%CC%81rio-Eleic%CC%A7o%CC%83es-Estaduais-PIAUI%CC%81-19-a-22-de-marc%CC%A7o-de-2022-FINAL-1.pdf,PI,"Governador, Senador",1,s,pi,1,,,wellington dias,"49,82",joel rodrigues,"20,24",,,,,,,,,,,,,,,,,,,,
PR-09298/2022,https://tnonline.uol.com.br/noticias/politica/nova-pesquisa-mostra-ratinho-junior-com-53-das-intencoes-de-voto-631882,PR,Governador,1,g,PR,1,,,Ratinho Jr,53,Roberto Requião,"21,5",Flávio Arns,"8,6",Cesar Silvestri,"2,9",Angela Machado,"1,6",,,,,,,,,,,,,,
RJ-05998/2022,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2022/04/08/no-rj-marcelo-freixo-tem-22-e-claudio-castro-18-diz-datafolha.htm,RJ,Governador,1,g,RJ,1,,,marcelo freixo,22,claudio castro,18,rodrigo neves,7,eduardo serra,5,cyro garcia,4,felipe santa cruz,3,paulo ganime,2,,,,,,,,,,
RJ-05998/2022,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2022/04/08/no-rj-marcelo-freixo-tem-22-e-claudio-castro-18-diz-datafolha.htm,RJ,Governador,1,g,RJ,0,,,marcelo freixo,5,claudio castro,4,lula,2,,,,,,,,,,,,,,,,,,
RN-04362/2022,http://www.riograndeemdia.com.br/2022/04/pesquisa-tcmts2-em-mossoro-nomes-do-pt.html,RN,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,df,rn,,,,beto rosado,"2,5",isolda dantas,"1,7",larissa rosado,"1,7",jorge do rosário,"1,7",,,,,,,,,,,,,,,,
RN-04362/2022,http://www.riograndeemdia.com.br/2022/04/pesquisa-tcmts2-em-mossoro-nomes-do-pt.html,RN,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,de,rn,,,,isolda dantas,"5,1",larissa rosado,"2,5",jorge do rosario,"1,7",,,,,,,,,,,,,,,,,,
RN-04362/2022,https://www.saibamais.jor.br/fatima-lidera-intencoes-de-voto-para-governo-do-estado-com-35-segundo-pesquisa-tcm-ts2/,RN,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,g,rn,1,,,fatima,35,styvenson,14,ezequiel ferreira,11,brenno queiroga,2,rosalia fernandes,1,daniel morais,1,haroldo azevedo,1,clorisa linhares,1,,,,,,,,
RN-04362/2022,https://www.willvicente.com.br/2022/04/nomes-do-pt-e-dos-rosados-estao-entre.html,RN,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,s,rn,1,,,carlos eduardo,22,rogerio marinho,14,roberio paulino,1,,,,,,,,,,,,,,,,,,
RN-05273/2022,https://www.uol.com.br/eleicoes/2022/03/30/pesquisa-ipespe-rn-eleicoes-2022.htm,RN,Governador,1,g,RN,1,,,Fátima Bezerra,34,Styvenson Valentim,13,Ezequiel Ferreira de Souza,8,Brenno Queiroga,2,Haroldo Azevedo,2,Clorisa Linhares,1,,,,,,,,,,,,
BR-07968/2022,https://www.diariodocentrodomundo.com.br/lula-massacra-bolsonaro-rn/,BR,Presidente,1,pr,br,1,,,lula,52,bolsonaro,19,ciro gomes,6,sergio moro,2,joao doria,1,andre janones,1,simone tebet,1,,,,,,,,,,
BR-07968/2022,https://www.saibamais.jor.br/lula-lidera-com-52-no-rn-segundo-pesquisa-petista-e-o-maior-cabo-eleitoral-do-estado/,BR,Presidente,1,pr,br,0,,,lula,44,bolsonaro,16,ciro gomes,4,sergio moro,1,andre janones,1,,,,,,,,,,,,,,
RN-05273/2022,https://www.blogdedaltroemerenciano.com.br/2022/04/tn-ipespe-carlos-eduardo-tem-24-e-rogerio-17/,RN,Governador,1,s,rn,0,,,carlos eduardo,6,rogerio marinho,4,jean paul,3,zenaide maia,1,rafael motta,1,,,,,,,,,,,,,,
RN-05273/2022,https://www.blogdedaltroemerenciano.com.br/2022/04/tn-ipespe-carlos-eduardo-tem-24-e-rogerio-17/,RN,Governador,1,s,rn,1,,,carlos eduardo,24,rogerio marinho,17,rafael motta,5,jean paul,4,roberio paulino,1,,,,,,,,,,,,,,
RN-08360/2022,https://www.chicogregorio.com.br/2022/04/pesquisa-seta-senador-rn-carlos-eduardo-apoiado-por-lula-304-rogerio-marinho-apoiado-pro-bolsonaro-178/,RN,"Senador, Governador",1,s,rn,1,,,carlos eduardo,"27,7",rogerio marinho,"19,2",jean paul,"7,9",roberio paulino,"4,6",,,,,,,,,,,,,,,,
RN-08360/2022,https://nabocadanoite.com.br/?p=8161,RN,"Senador, Governador",1,g,rn,1,,,fatima bezerra,"31,5",styvenson,"9,9",ezequiel,"9,2",brenno queiroga,"3,9",haroldo azevedo,"3,4",clorisa linhares,3,,,,,,,,,,,,
RN-08360/2022,https://blogdobarreto.com.br/pesquisa-seta-tambem-traz-vantagem-para-carlos-eduardo-sobre-rogerio/,RN,"Senador, Governador",1,s,rn,0,,,carlos eduardo,"5,7",rogerio marinho,"5,1",jean paul,"2,2",,,,,,,,,,,,,,,,,,
SE-03772/2022,https://itnet.com.br/2022/04/09/eleicoes-2022-confira-pesquisa-para-o-cargo-de-senador-de-sergipe/,SE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,de,se,,,,maria mendonça,"1,19",luciano bispo,"1,19",,,,,,,,,,,,,,,,,,,,
RO-07330/2022,https://arquivos.qconcursos.com/regulamento/arquivo/62820/etec_2022_professor_edital_n_081_05-edital.pdf,RO,"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
