tse_id,url,SG_UF,DS_CARGOS,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
BR-03100/2022,https://orlandopassos.com/index.php/2022/05/04/em-pernambuco-lula-lidera-com-53-e-bolsonaro-tem-22/,BR,Presidente,1,pr,PE,1,,,Lula,"53,8",Bolsonaro,"22,1",Ciro Gomes,"4,7",André Janones,"1,1",João Doria,"1,1",Simone Tebet,"0,4",Luciano Bivar,"0,3",,,,,,,,,,
BR-03100/2022,https://orlandopassos.com/index.php/2022/05/04/em-pernambuco-lula-lidera-com-53-e-bolsonaro-tem-22/,BR,Presidente,1,pr,PE,0,,,Lula,"45,8",Bolsonaro,"20,1",,,,,,,,,,,,,,,,,,,,
BR-03442/2022,https://www.uol.com.br/eleicoes/2022/05/02/pesquisa-ipec-es-presidente-lula-bolsonaro-maio.htm,BR,Presidente,1,pr,ES,1,,,Lula,45,Bolsonaro,32,Ciro Gomes,4,João Doria,2,André Janones,1,Eymael,1,Vera Lúcia,1,,,,,,,,,,
BR-03442/2022,https://www.uol.com.br/eleicoes/2022/05/02/pesquisa-ipec-es-presidente-lula-bolsonaro-maio.htm,BR,Presidente,1,pr,ES,0,,,Lula,38,Bolsonaro,29,Ciro Gomes,1,,,,,,,,,,,,,,,,,,
BR-03473/2022,https://www.gazetadopovo.com.br/eleicoes/2022/pesquisa-eleitoral/pesquisa-ipespe-maio-mostra-desempenho-dos-pre-candidatos-a-presidente-veja/,BR,Presidente,1,pr,BR,1,,,Lula,44,Bolsonaro,31,Ciro Gomes,8,João Doria,3,André Janones,2,Simone Tebet,1,Felipe d'Ávila,1,,,,,,,,,,
BR-03473/2022,https://www.gazetadopovo.com.br/eleicoes/2022/pesquisa-eleitoral/pesquisa-ipespe-maio-mostra-desempenho-dos-pre-candidatos-a-presidente-veja/,BR,Presidente,1,pr,BR,0,,,Lula,38,Bolsonaro,29,Ciro Gomes,4,João Doria,1,Sergio Moro ,1,André Janones,1,Simone Tebet,1,Felipe d'Ávila,1,,,,,,,,
BR-04676/2022,https://www.uol.com.br/eleicoes/2022/04/25/pesquisa-btg-fsb-presidente-eleicoes-2022.htm,BR,Presidente,1,pr,BR,1,,,Lula ,41,Bolsonaro,32,Ciro Gomes,9,João Doria,3,André Janones,3,Simone Tebet,1,Vera Lúcia,1,,,,,,,,,,
BR-04676/2022,https://www.uol.com.br/eleicoes/2022/04/25/pesquisa-btg-fsb-presidente-eleicoes-2022.htm,BR,Presidente,1,pr,BR,1,,,Lula ,39,Bolsonaro,31,Ciro Gomes,13,André Janones,4,Simone Tebet,2,Felipe d'Ávila,1,,,,,,,,,,,,
BR-04676/2022,https://www.uol.com.br/eleicoes/2022/04/25/pesquisa-btg-fsb-presidente-eleicoes-2022.htm,BR,Presidente,1,pr,BR,1,,,Lula ,41,Bolsonaro,32,Ciro Gomes,11,Eduardo Leite,3,André Janones,3,Felipe d'Ávila,1,,,,,,,,,,,,
BR-04676/2022,https://www.uol.com.br/eleicoes/2022/04/25/pesquisa-btg-fsb-presidente-eleicoes-2022.htm,BR,Presidente,1,pr,BR,0,,,Lula ,36,Bolsonaro,30,Ciro Gomes,4,,,,,,,,,,,,,,,,,,
BR-05747/2022,https://mtdiario.com.br/2022/04/23/lula-tem-45-bolsonaro-31-e-ciro-8-aponta-pesquisa-ipespe/,BR,Presidente,1,pr,BR,1,,,Lula,45,Bolsonaro,31,Ciro Gomes,8,João Doria,3,André Janones,2,Simone Tebet,2,,,,,,,,,,,,
BR-05747/2022,https://mtdiario.com.br/2022/04/23/lula-tem-45-bolsonaro-31-e-ciro-8-aponta-pesquisa-ipespe/,BR,Presidente,1,pr,BR,0,,,Lula,38,Bolsonaro,28,Ciro Gomes,4,João Doria,1,André Janones,1,Sérgio Moro,1,Simone Tebet,1,,,,,,,,,,
BR-06048/2022,https://www.meionorte.com/politica/amostragem-lula-tem-66-para-presidente-no-piaui-bolsonaro-com-15-443979,BR,Presidente,1,pr,PI,1,,,Lula,"66,84",Bolsonaro,"15,04",Ciro Gomes,"7,74",André Janones,"1,58",João Doria,"0,53",Simone Tebet,"0,53",Vera Lúcia,"0,35",Eymael,"0,09",Felipe d'Ávila,"0,09",,,,,,
BR-06625/2022,https://www.diariodocentrodomundo.com.br/lula-teria-a-vitoria-no-primeiro-turno-por-eleitores-paulistas-diz-pesquisa/,BR,Presidente,1,pr,SP,0,,,Lula,33,Bolsonaro,22,Ciro Gomes,2,João Doria,1,Sérgio Moro,"0,4",Felipe d'Ávila,"0,2",,,,,,,,,,,,
BR-06625/2022,https://www.diariodocentrodomundo.com.br/lula-teria-a-vitoria-no-primeiro-turno-por-eleitores-paulistas-diz-pesquisa/,BR,Presidente,1,pr,SP,1,,,Lula,41,Bolsonaro,27,Ciro Gomes,6,João Doria,3,André Janones,1,Simone Tebet,1,Felipe d'Ávila,"0,4",Eymael,"0,2",Vera Lúcia,"0,1",,,,,,
BR-07079/2022,https://www.gazzetadoreconcavo.com.br/2022/05/lula-tem-55-de-intencao-de-voto-para.html,BR,Presidente,1,pr,BA,1,,,Lula,55,Bolsonaro,24,Ciro Gomes,7,André Janones,3,Vera Lúcia,1,,,,,,,,,,,,,,
BR-07079/2022,https://www.gazzetadoreconcavo.com.br/2022/05/lula-tem-55-de-intencao-de-voto-para.html,BR,Presidente,1,pr,BA,0,,,Lula,52,Bolsonaro,22,Ciro Gomes,2,,,,,,,,,,,,,,,,,,
BR-07167/2022,https://www.descubraonline.com/eleicoes/2022/pesquisas-eleitorais/poderdata-pesquisa-de-intencao-de-voto-para-presidente/,BR,Presidente,1,pr,BR,1,,,Lula,41,Bolsonaro,36,Ciro Gomes,6,João Doria,4,André Janones,3,Simone Tebet,1,,,,,,,,,,,,
BR-07411/2022,https://www.paranapesquisas.com.br/noticias/ibpad-divulgada-pesquisa-eleitoral-nacional-nesta-quinta-feira-31/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07748/2022,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-no-municipio-de-sao-jose-dos-campos-sobre-a-avaliacao-da-administracao-federal-registro-tse-o-br-07748-2022-marco-2022/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07854/2022,https://www.muvucapopular.com.br/2022/04/30/bolsonaro-ultrapassa-lula-dentro-da-margem-de-erro-em-sp-aponta-parana-pesquisas/,BR,Presidente,1,pr,SP,1,,,Bolsonaro,"35,8",Lula,"34,9",João Doria,"5,5",Ciro Gomes,"5,4",Simone Tebet,"1,9",André Janones,"1,2",,,,,,,,,,,,
BR-07854/2022,https://www.muvucapopular.com.br/2022/04/30/bolsonaro-ultrapassa-lula-dentro-da-margem-de-erro-em-sp-aponta-parana-pesquisas/,BR,Presidente,1,pr,SP,1,,,Bolsonaro,"36,5",Lula,"35,6",Ciro Gomes,"5,7",Eduardo Leite,"3,5",Simone Tebet,"1,8",André Janones,"1,2",Luciano Bivar,"0,6",Felipe d'Ávila,"0,6",,,,,,,,
BR-07854/2022,https://www.muvucapopular.com.br/2022/04/30/bolsonaro-ultrapassa-lula-dentro-da-margem-de-erro-em-sp-aponta-parana-pesquisas/,BR,Presidente,1,pr,SP,0,,,Bolsonaro,"22,1",Lula,"20,7",Ciro Gomes,"1,5",Sérgio Moro,1,João Doria,"0,7",Simone Tebet,"0,4",André Janones,"0,1",Eduardo Leite,"0,1",,,,,,,,
BR-07987/2022,https://www.paranapesquisas.com.br/noticias/instituto-ideia-instituto-ver-e-ibop-divulgam-nesta-quinta-24-pesquisas-eleitorais/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08858/2022,https://www.fatoafato.com.br/2022/04/mais-uma-pesquisa-mostra-vitoria-de.html,BR,Presidente,1,pr,BR,1,,,Lula,"41,1",Bolsonaro,"35,3",Ciro Gomes,"6,8",João Doria,"2,7",André Janones,"1,9",Simone Tebet,"0,9",Vera Lúcia,"0,2",Luciano Bivar,"0,2",Leonardo Péricles,"0,2",Felipe d'Ávila,"0,2",Sofia Manzano,"0,1",,
BR-08858/2022,https://www.fatoafato.com.br/2022/04/mais-uma-pesquisa-mostra-vitoria-de.html,BR,Presidente,1,pr,BR,0,,,Lula,"36,3",Bolsonaro,"33,1",Ciro Gomes,"2,6",André Janones,"0,5",Simone Tebet,"0,4",Felipe d'Ávila,"0,1",Eymael,"0,1",,,,,,,,,,
BR-09280/2022,https://folhadolitoral.com.br/editorias/eleicoes-2022/levantamento-da-parana-pesquisas-aponta-lula-276-seguido-por-bolsonaro-252-e-ciro-21/,BR,Presidente,1,pr,BR,0,,,Lula,"27,6",Bolsonaro,"25,2",Ciro Gomes,"2,1",André Janones,"0,4",Sergio Moro,"0,3",João Doria,"0,2",,,,,,,,,,,,
BR-09280/2022,https://folhadolitoral.com.br/editorias/eleicoes-2022/levantamento-da-parana-pesquisas-aponta-lula-276-seguido-por-bolsonaro-252-e-ciro-21/,BR,Presidente,1,pr,BR,1,,,Lula,40,Bolsonaro,"35,2",Ciro Gomes,"7,4",João Doria,"3,2",André Janones,"2,4",Simone Tebet,"0,7",Luciano Bivar,"0,2",Felipe d'Ávila,"0,1",,,,,,,,
BR-09280/2022,https://folhadolitoral.com.br/editorias/eleicoes-2022/levantamento-da-parana-pesquisas-aponta-lula-276-seguido-por-bolsonaro-252-e-ciro-21/,BR,Presidente,1,pr,BR,1,,,Lula,"42,6",Bolsonaro,"35,7",João Doria,"4,9",André Janones,"2,5",Simone Tebet,"1,2",Felipe d'Ávila,"0,3",,,,,,,,,,,,
BR-09477/2022,https://contilnetnoticias.com.br/2022/05/pesquisa-instituto-badra-no-acre-bolsonaro-lidera-com-437-contra-314-de-lula/,BR,Presidente,1,pr,AC,1,,,Bolsonaro,"43,7",Lula,"31,4",Sergio Moro,"4,9",Ciro Gomes,"3,3",João Doria,2,André Janones,"1,2",Simone Tebet,"1,1",Felipe d'Ávila,"0,3",Leonardo Pericles,"0,1",,,,,,
CE-09324/2022,https://anoticiadoceara.com.br/eleicoes-2022/primeira-pesquisa-para-o-governo-do-ceara-e-divulgada-confira-os-numeros/,CE,Governador,1,g,CE,1,,,Roberto Cláudio,39,Capitão Wagner,37,Adelita Monteiro,5,,,,,,,,,,,,,,,,,,
CE-09564/2022,https://mais.opovo.com.br/jornal/politica/2022/04/01/camilo-deixa-governo-com-78-de-aprovacao-mostra-pesquisa-opnus.html,CE,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-05682/2022,https://eshoje.com.br/2022/04/instituto-capixaba-de-pesquisa-aponta-empate-tecnico-entre-lula-e-bolsonaro/,ES,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-05682/2022,https://www.folhaonline.es/pesquisa-aponta-lideranca-de-renato-casagrande-nas-eleicoes-de-2022-no-espirito-santo/,ES,"Governador, Deputado Estadual, Deputado Federal, Senador",1,g,ES,1,,,Renato Casagrande,"37,6",Fabiano Contarato,"9,05",Carlos Manato,"7,8",Audifax Barcelos,"5,85",Guerino Zanon,"5,77",Felipe Rigoni,"1,4",Érick Musso,"0,62",Aridelmo Teixeira,"0,31",,,,,,,,
ES-05682/2022,https://www.folhaonline.es/pesquisa-aponta-lideranca-de-renato-casagrande-nas-eleicoes-de-2022-no-espirito-santo/,ES,"Governador, Deputado Estadual, Deputado Federal, Senador",1,g,ES,0,,,Renato Casagrande,"23,4",Carlos Manato,"4,29",Fabiano Contarato,"3,28",Guerino Zanon,"2,65",Audifax Barcelos,"1,72",Felipe Rigoni,"0,31",Érick Musso,"0,31",Aridelmo Teixeira,"0,16",,,,,,,,
ES-05682/2022,https://www.folhaonline.es/pesquisa-aponta-lideranca-de-renato-casagrande-nas-eleicoes-de-2022-no-espirito-santo/,ES,"Governador, Deputado Estadual, Deputado Federal, Senador",1,s,ES,1,,,Paulo Hartung,"17,78",Amaro Neto,"14,66",Magno Malta,"13,18",Sergio Meneguele,"9,75",Rciardo Ferraço,"4,21",Rose de Freitas,"2,89",Cel Ramalho,"2,42",Da Vitória,"0,86",,,,,,,,
ES-07066/2022,https://www.uol.com.br/eleicoes/2022/05/02/ipec-pesquisa-senado-maio.htm,ES,"Governador, Senador",1,s,ES,1,,,Magno Malta,23,Sérgio Meneguelli,17,Rose de Freitas,15,Coronel Ramalho,9,Da Vitória,8,Sérgio Majeski,6,,,,,,,,,,,,
ES-07066/2022,https://www.uol.com.br/eleicoes/2022/05/02/ipec-pesquisa-senado-maio.htm,ES,"Governador, Senador",1,s,ES,0,,,Magno Malta,4,Fabiano Contarato,2,Da Vitória,1,Rose de Freitas,1,Sérgio Meneguelli,1,Paulo Hartung,1,Marcos do Val,1,Renato Casagrande,1,Ricardo Ferrraço,1,,,,,,
ES-07066/2022,https://www.uol.com.br/eleicoes/2022/05/02/pesquisa-ipec-espirito-santo-governo-maio.htm,ES,"Governador, Senador",1,g,ES,1,,,Renato Casagrande,42,Carlos Manato,11,Fabiano Contarato,11,Audifax Barcelos,7,Guerino Zanon,5,Erick Musso,3,Felipe Rigoni,2,Aridelmo Teixeira,1,,,,,,,,
ES-07066/2022,https://www.uol.com.br/eleicoes/2022/05/02/pesquisa-ipec-espirito-santo-governo-maio.htm,ES,"Governador, Senador",1,g,ES,1,,,Renato Casagrande,46,Fabiano Contarato,13,Carlos Manato,10,Audifax Barcelos,7,César Colnago,3,Erick Musso,2,Felipe Rigoni,2,Aridelmo Teixeira,1,,,,,,,,
ES-07066/2022,https://www.uol.com.br/eleicoes/2022/05/02/pesquisa-ipec-espirito-santo-governo-maio.htm,ES,"Governador, Senador",1,g,ES,0,,,Renato Casagrande,23,Fabiano Contarato,2,Carlos Manato,2,Paulo Hartung,2,Lula,1,,,,,,,,,,,,,,
ES-08119/2022,https://portaljornaldonorte.com.br/governo-do-estado-anuncia-a-reestruturacao-do-plano-de-carreira-do-magisterio/,ES,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02181/2022,https://www.codo.ma.gov.br/uploads/PDF/2022/05/portaria-n-121-2022-1137.pdf,MA,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02565/2022,https://imirante.com/noticias/sao-luis/2022/05/01/ipolitica-escutec-nova-pesquisa-mostra-lideranca-de-brandao-para-o-governo,MA,"Governador, Senador",1,g,MA,0,,,Carlos Brandão,11,Weverton Rocha,9,Lahésio Bonfim,6,Edivaldo Holanda Júnior,4,Roberto Rocha,3,Enilton Rodrigues,1,Josimar de Maranhãozinho,1,Simplício Araújo,1,Flávio Dino,1,Roseana,1,,,,
MA-02565/2022,https://imirante.com/noticias/sao-luis/2022/05/01/ipolitica-escutec-nova-pesquisa-mostra-lideranca-de-brandao-para-o-governo,MA,"Governador, Senador",1,g,MA,1,,,Carlos Brandão,24,Weverton Rocha,20,Edivaldo Holanda Júnior,12,Lahésio Bonfim,11,Roberto Rocha,8,Josimar de Maranhãozinho,3,Simplício Araújo,2,Enilton Rodrigues,1,,,,,,,,
MA-02565/2022,https://www.brasil247.com/regionais/nordeste/dino-lidera-corrida-para-o-senado-no-maranhao-diz-pesquisa,MA,"Governador, Senador",1,s,MA,0,,,Flávio Dino,55,Roberto Rocha,20,Pastor Bel,5,Antonia Cariongo,1,,,,,,,,,,,,,,,,
MA-02565/2022,https://www.brasil247.com/regionais/nordeste/dino-lidera-corrida-para-o-senado-no-maranhao-diz-pesquisa,MA,"Governador, Senador",1,s,MA,1,,,Flávio Dino,59,Pastor Bel,11,Antonia Cariongo,2,,,,,,,,,,,,,,,,,,
MA-03511/2022,https://www.netoweba.com.br/2022/04/em-nova-pesquisa-mbo-mostra-weverton.html,MA,"Senador, Deputado Estadual, Governador, Deputado Federal",1,g,MA,0,,,Weverton Rocha,"26,1",Lahésio Bonfim,"21,91",Carlos Brandão,"18,36",Josimar,"7,27",Roberto Rocha,"3,91",Edivaldo Holanda Jr.,"2,72",Simplício Araújo,"0,27",,,,,,,,,,
MA-03511/2022,https://www.netoweba.com.br/2022/04/em-nova-pesquisa-mbo-mostra-weverton.html,MA,"Senador, Deputado Estadual, Governador, Deputado Federal",1,g,MA,1,,,Weverton Rocha,"31,1",Lahésio Bonfim,"24,18",Carlos Brandão,"19,1",Josimar,"7,55",Roberto Rocha,"4,54",Edivaldo Holanda Jr.,"4,18",Enilton Rodrigues,"0,18",Simplício Araújo,"0,18",Hertz Dias,"0,09",,,,,,
MA-03511/2022,https://blogdoclaudiomendes.com.br/claudio-cunha-continua-pontuando-nas-pesquisas-como-pre-candidato-veja-como-fica-o-cenario-estadual-e-federal/,MA,"Senador, Deputado Estadual, Governador, Deputado Federal",1,s,MA,0,,,Flávio Dino,"23,46",Pastor Bel,"11,54",Antonia Cariongo,"0,09",,,,,,,,,,,,,,,,,,
MA-03511/2022,https://blogdoclaudiomendes.com.br/claudio-cunha-continua-pontuando-nas-pesquisas-como-pre-candidato-veja-como-fica-o-cenario-estadual-e-federal/,MA,MA,1,s,MA,1,,,Flávio Dino,"15,64",Pastor Bel,"4,27",Antonia Cariongo,"3,18",,,,,,,,,,,,,,,,,,
MA-05691/2022,https://www.ma10.com.br/2022/05/01/instituto-exata-aponta-empate-tecnico-de-weverton-e-brandao-caso-as-eleicoes-fossem-hoje/,MA,"Senador, Governador",1,g,MA,1,,,Weverton Rocha,22,Carlos Brandão,21,Lahésio Bonfim,12,Roberto Rocha,11,Edivaldo Holanda Jr.,11,Josimar do Maranhãozinho,5,Simplício Araújo,1,,,,,,,,,,
MS-07079/2022,https://www.folharegionalms.com.br/2022/03/31/justica-impugna-pesquisa-datamax-por-falsidade-ideologica/,MS,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-03989/2022,https://jcorreiodasemana.com.br/2022/03/30/opiniao-corrida-eleitoral/,MT,"Senador, Deputado Distrital, Governador, Deputado Estadual, Deputado Federal",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-05999/2022,https://www.descubraonline.com/eleicoes/2022/pa/pesquisas-eleitorais/real-time-big-data-intencao-de-voto-para-governador-no-para-abril-2022/,PA,"Governador, Senador",1,g,PA,1,,,Helder Barbalho,60,Zequinha Marinho,7,Fernando Carneiro,3,Cleber Rabelo,1,,,,,,,,,,,,,,,,
PA-05999/2022,https://www.descubraonline.com/eleicoes/2022/pa/pesquisas-eleitorais/real-time-big-data-intencao-de-voto-para-governador-no-para-abril-2022/,PA,"Governador, Senador",1,g,PA,1,,,Helder Barbalho,61,Zequinha Marinho,7,Professora Silvia Letícia,2,Cleber Rabelo,1,,,,,,,,,,,,,,,,
PA-05999/2022,https://www.uol.com.br/eleicoes/2022/04/18/pesquisa-real-time-big-data-governo-para-abril.htm,PA,"Governador, Senador",1,s,PA,1,,,Mário Couto,18,Flexa Ribeiro,14,Beto Faro,14,Manoel Pioneiro,12,,,,,,,,,,,,,,,,
PE-01140/2022,https://www.edenevaldoalves.com.br/eleicoes-2022-pesquisa-aponta-marilia-liderando-empate-tecnico-entre-raquel-anderson-e-miguel-e-danilo-nao-reage/,PE,"Senador, Governador",1,g,PE,1,,,Marília Arraes,"31,9",Raquel Lyra,"13,3",Anderson Ferreira,"10,3",Miguel Coelho,"9,1",Danilo Cabral,5,João Arnaldo,"1,5",Jones Manoel,"0,8",,,,,,,,,,
PE-01140/2022,https://www.edenevaldoalves.com.br/eleicoes-2022-pesquisa-aponta-marilia-liderando-empate-tecnico-entre-raquel-anderson-e-miguel-e-danilo-nao-reage/,PE,"Senador, Governador",1,g,PE,0,,,Marília Arraes,"9,3",Raquel Lyra,"5,7",Miguel Coelho,"4,7",Anderson Ferreira,"4,2",Danilo Cabral,"2,9",João Arnaldo,"0,2",Jones Manoel,"0,2",,,,,,,,,,
PE-01140/2022,https://www.blogdoedney.com.br/2022_05_04_archive.html,PE,"Senador, Governador",1,s,PE,1,,,Luciana Santos,"11,5",André de Paula,"10,9",Teresa Leitão,"8,9",Gilson Machado,"5,8",Eduardo da Fonte,"4,2",,,,,,,,,,,,,,
PE-01140/2022,https://www.blogdoedney.com.br/2022_05_04_archive.html,PE,"Senador, Governador",1,s,PE,0,,,Gilson Machado,"1,9",André de Paula,"1,9",Teresa Leitão,"1,4",Luciana Santos,"1,3",Eduardo da Fonte,"0,6",,,,,,,,,,,,,,
PE-03306/2022,https://portaldeprefeitura.com.br/2022/04/27/mulheres-lideram-intencao-de-voto-na-disputa-pelo-governo-de-pernambuco-diz-nova-pesquisa-confira-numeros/,PE,"Governador, Senador",1,g,PE,1,,,Marília Arraes,26,Raquel Lyra,15,Miguel Coelho,12,Anderson Ferreira,8,Danilo Cabral,5,João Arnaldo,2,Jones Manoel,1,,,,,,,,,,
PE-03306/2022,https://blogdapolo.com.br/eleicoes-2022/instituto-conectar-divulga-pesquisa-para-o-senado-em-pernambuco,PE,"Governador, Senador",1,s,PE,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-05753/2022,https://www.folhape.com.br/colunistas/blogdafolha/pesquisa-folhaipespe-88-aprovam-a-gestao-de-miguel-coelho/29308/,PE,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-02621/2022,https://www.oitomeia.com.br/colunas/eleicoes-2022/2022/04/25/nova-pesquisa-e-divulgada-agora-do-datamax-e-silvio-mendes-volta-aparecer-na-frente-de-rafael-fonteles/,PI,"Senador, Governador, Deputado Estadual, Deputado Federal",1,g,PI,1,,,Sílvio Mendes,"32,15",Rafael Fonteles,"26,65",Major Diego,"3,9",Gessy Fonseca,"1,95",Wallace Miranda,"1,2",Alessander Mendes,"0,45",Cleiton Popular,"0,25",,,,,,,,,,
PI-02621/2022,https://www.oitomeia.com.br/colunas/eleicoes-2022/2022/04/25/nova-pesquisa-e-divulgada-agora-do-datamax-e-silvio-mendes-volta-aparecer-na-frente-de-rafael-fonteles/,PI,"Senador, Governador, Deputado Estadual, Deputado Federal",1,g,PI,0,,,Sílvio Mendes,"12,85",Rafael Fonteles,"10,9",Wellington Dias,"5,9",Ciro Nogueira,"0,55",Fábio Abreu,"0,55",,,,,,,,,,,,,,
PI-05834/2022,https://180graus.com/pesquisa-eleitoral/pesquisa-amostragem-com-apoios-rafaell-fontelles-tem-44-e-silvio-mendes-20,PI,"Governador, Deputado Estadual, Deputado Federal, Senador",1,g,PI,1,,,Rafael Fonteles,"26,15",Sílvio Mendes,"23,66",Roberto Rios,"4,49",Gessy Fonseca,"3,34",Major Diego,"2,37",Cleiton Popular,"1,06",Wallace Miranda,"0,97",Alessander Mendes,"0,62",,,,,,,,
PI-05834/2022,https://www.meionorte.com/politica/amostragem-lula-tem-66-para-presidente-no-piaui-bolsonaro-com-15-443979,PI,"Governador, Deputado Estadual, Deputado Federal, Senador",1,s,PI,1,,,Wellington Dias,"54,71",Joel Rodrigues,"10,55",Fábio Sérvio,"6,95",,,,,,,,,,,,,,,,,,
PI-05928/2022,https://public-inspection.federalregister.gov/2022-05928.pdf,PI,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-08757/2022,https://tvpiaui.com.br/noticias/ultimas-noticias/juiz-manda-suspender-divulgacao-de-pesquisa-do-sistema-meio-norte-por-indicios-de-manipulacao-2022-03-01,PI,"Governador, Senador",0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
