codigo_tse,urnas_apuradas,eleitorado,abstencoes,total_votos,brancos,nulos,nome,numero,votos_validos,eleito
69213,"100,00",226260,73930,152330,3608,7203,RAQUEL CHINI,45,75739,Eleito
69698,"100,00",441845,157340,284505,10962,29050,SUELY VILELA,40,90065,Não eleito
69698,"100,00",441845,157340,284505,10962,29050,DUARTE NOGUEIRA,45,154428,Eleito
71455,"100,00",485962,138912,347050,16069,39552,RODRIGO MANGA,10,153228,Eleito
71455,"100,00",485962,138912,347050,16069,39552,JAQUELINE COUTINHO,17,138201,Não eleito
71072,"100,00",8986687,2769179,6217508,273216,607062,GUILHERME BOULOS,50,2168109,Não eleito
71072,"100,00",8986687,2769179,6217508,273216,607062,BRUNO COVAS,45,3169121,Eleito
71218,"100,00",252146,80462,171684,3342,6940,SOLANGE FREITAS,45,70526,Não eleito
71218,"100,00",252146,80462,171684,3342,6940,KAYO AMADO,19,90876,Eleito
71579,"100,00",217479,63955,153524,6625,12888,APRIGIO,19,67853,Eleito
71579,"100,00",217479,63955,153524,6625,12888,ENGENHEIRO DANIEL,45,66158,Não eleito
71838,"100,00",229200,72373,156827,4997,9118,SAUD,15,92770,Eleito
71838,"100,00",229200,72373,156827,4997,9118,LORENY,23,49942,Não eleito
