tse_id,instituto,estado,cidade,estimulada,vv,position,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
RN-05819/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,PR,CIRO GOMES,"10,21",GERALDO ALCKMIN,"2,20",JAIR BOLSONARO,"18,79",FERNANDO HADDAD,"25,82",LULA,"4,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05819/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,PR,CIRO GOMES,"13,76",CABO DACIOLO,"1,13",GERALDO ALCKMIN,"3,62",HENRIQUE MEIRELLES,"1,06",JAIR BOLSONARO,"20,35",JOAO AMOEDO,"1,13",MARINA SILVA,"1,91",FERNANDO HADDAD,"33,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05819/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,G,BRENO QUEIROGA,"1,42",CARLOS EDUARDO,"18,72",FATIMA BEZERRA,"26,67",ROBINSON FARIA,"7,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05819/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,G,BRENO QUEIROGA,"2,70",CARLOS EDUARDO,"25,82",FATIMA BEZERRA,"36,10",PROFESSOR CARLOS ALBERTO,"1,99",ROBINSON FARIA,"9,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05819/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,S,ALEXANDRE MOTTA,"2,23",CAP. STYVENSON,"16,31",ZENAIDE MAIA,"13,58",GARIBALDI FILHO,"12,41",GERALDO MELO,"12,13",JACOME,"5,04",MAGNOLIA FIGUEIREDO,"1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05819/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,S,ALEXANDRE MOTTA,"2,06",CAP. STYVENSON,"19,93",ZENAIDE MAIA,"15,60",GARIBALDI FILHO,"13,83",GERALDO MELO,"13,26",JACOME,"4,90",MAGNOLIA FIGUEIREDO,"1,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-08199/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,PR,CIRO GOMES,"3,12",JAIR BOLSONARO,"6,60",LULA,"24,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-08199/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,PR,ALVARO DIAS,"1,56",CIRO GOMES,"11,70",GERALDO ALCKMIN,"1,70",JAIR BOLSONARO,"9,57",CANDIDATO DO PT,"8,87",MARINA SILVA,"5,39",HENRIQUE MEIRELLES,"1,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-08199/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,G,CARLOS EDUARDO,"6,10",ROBINSON FARIA,"2,91",FATIMA BEZERRA,"8,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-08199/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,G,CARLOS EDUARDO,"15,39",ROBINSON FARIA,"6,31",CARLOS ALBERTO,"1,13",FABIO DANTAS,"1,70",FATIMA BEZERRA,"29,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-08199/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,S,ANTONIO JACOME,"1,42",CAP. STYVENSON,"3,41",GERALDO MELO,"2,77",GARIBALDI FILHO,"4,4",ZENAIDE MAIA,"4,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-08199/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,S,ALEXANDRE MOTTA,"2,77",ANTONIO JACOME,"7,09",CAP. STYVENSON,"16,24",GERALDO MELO,"17,17",GARIBALDI FILHO,"21,07",JOSE VIEIRA,"1,14",MAGNOLIA FIGUEIREDO,"4,19",PROFESSOR LAILSON,"1,42",ZENAIDE MAIA,"15,03",TELMA GURGEL,"1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-02146/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,PR,JAIR BOLSONARO,"32,91",FERNANDO HADDAD,"41,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-02146/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,PR,JAIR BOLSONARO,"34,54",FERNANDO HADDAD,"45,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-02146/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,G,CARLOS EDUARDO,"34,40",FATIMA BEZERRA,"39,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-02146/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,G,CARLOS EDUARDO,"38,58",FATIMA BEZERRA,"44,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,PR,CIRO GOMES,"2,27",JAIR BOLSONARO,"11,42",MARINA SILVA,"1,42",LULA,"30,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,PR,ALVARO DIAS,"1,13",CIRO GOMES,"4,61",GERALDO ALCKMIN,"1,56",JAIR BOLSONARO,"13,62",MARINA SILVA,"3,12",LULA,"50,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,PR,ALVARO DIAS,"2,34",CIRO GOMES,"10,28",GERALDO ALCKMIN,"2,91",JAIR BOLSONARO,"15,25",MARINA SILVA,"8,44",FERNANDO HADDAD,"11,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,G,CARLOS EDUARDO,"7,16",FATIMA BEZERRA,"16,88",ROBINSON FARIA,"3,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,G,BRENO QUEIROGA,"1,56",CARLOS EDUARDO,"15,74",FATIMA BEZERRA,"32,84",PROFESSOR CARLOS ALBERTO,"1,06",ROBINSON FARIA,"8,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,S,CAP. STYVENSON,"9,57",ZENAIDE MAIA,"6,39",GARIBALDI FILHO,"5,68",GERALDO MELO,"3,9",JACOME,"1,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,S,ALEXANDRE MOTTA,"2,98",ANA CELIA,"2,34",CAP. STYVENSON,"21,7",DR. JOANILSON,"1,56",ZENAIDE MAIA,"16,95",GARIBALDI FILHO,"20,78",GERALDO MELO,"14,82",JACOME,"7,3",MAGNOLIA,"3,33",PROFESSOR LAILSON,"1,56",TELMA GURGEL,"1,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01096/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,PR,ALVARO DIAS,"1,13",CIRO GOMES,"2,98",FLAVIO ROCHA,"1,56",JAIR BOLSONARO,"7,73",JOAQUIM BARBOSA,"1,63",LULA,"40,07",MARINA SILVA,"2,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01096/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,G,CARLOS EDUARDO,"4,33",KELPS LIMA,"1,21",FATIMA BEZERRA,"5,89",ROBINSON FARIA,"1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01096/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,G,CARLOS EDUARDO,"14,54",CARLOS ALBERTO,"1,13",GERALDO MELO,"7,66",KELPS LIMA,"4,68",FATIMA BEZERRA,"25,60",ROBINSON FARIA,"5,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01096/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,S,GARIBALDI FILHO,"3,97",JOSE AGRIPINO,"3,61",GERALDO MELO,"2,34",ZENAIDE MAIA,"3,12",JOSE VIEIRA,"1,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01096/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,S,GARIBALDI FILHO,"25,18",JOSE AGRIPINO,"23,26",JOANILSON PAULO REGO,"1,70",GERALDO MELO,"16,24",MAGNOLIA FIGUEIREDO,"6,67",PROFESSOR LAILSON,"4,25",RUY GASPAR,"1,70",ZENAIDE MAIA,"16,45",JOSE VIEIRA,"1,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
