tse_id,url,cidade,estado,util,position,estimulada,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16
AM-04506/2018,https://amazonasatual.com.br/cinco-institutos-registram-pesquisas-para-divulgacao-entre-esta-quinta-e-domingo/,AMAZONAS,AM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-04757/2016,https://pt.slideshare.net/DurangoDuarte/pesquisa3-eleitoralmanaus,MANAUS,AM,1,P,1.0,,SILAS CAMARA,8.2,HISSA ABRAHÃO,3.8,ZÉ RICARDO,8.9,LUIZ CASTRO,2.7,MARCELO RAMOS,20.5,SERAFIM CORREA,9.4,ARTUR NETO,33.8,QUEIROZ,0.6,HENRIQUE OLIVEIRA,2.5,,,,,,,,,,,,,,
AM-05214/2018,https://bncamazonas.com.br/eleicoes2018/pesquisas-eleicoes-amazonas/,AMAZONAS,AM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07196/2016,https://www.portalmarcossantos.com.br/2016/10/21/arthur-ou-marcelo-pesquisas-divulgadas-nesta-sexta-feira-divergem-nos-numeros/,MANAUS,AM,1,P,1.0,,MARCELO RAMOS,40.0,ARTHUR VIRGÍLIO,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07429/2016,https://amazonasatual.com.br/pesquisa-dmp-no-2-turno-arthur-perderia-para-marcelo-e-venceria-silas-hissa-e-henrique/,MANAUS,AM,1,p,1.0,,ARTHUR VIRGILIO,38.4,MARCELO RAMOS,31.3,SILAS CAMARA,7.4,HENRIQUE OLIVEIRA,6.3,SERAFIM CORREA,5.4,HISSA ABRAHAO,4.9,JOSE RICARDO,4.1,LUIZ CASTRO,1.1,PROFESSOR QUEIROZ,1.1,,,,,,,,,,,,,,
AM-07437/2018,https://www.porteirasagora.com.br/2012/09/,,,1,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07437/2018,https://www.redetiradentes.com.br/ronaldotiradentes/pesquisa-dmp-rede-tiradentes-segundo-turno-sera-entre-wilson-lima-37-x-30-amazonino-mendes/,AMAZONAS,AM,1,G,1.0,,WILSON LIMA,31.0,AMAZONINO MENDES,26.0,DAVID ALMEIDA,18.0,OMAR AZIZ,9.0,LUCIA ANTONY,1.0,BERG DA UGT,0.0,SIDNEY CABRAL,0.0,,,,,,,,,,,,,,,,,,
AM-07437/2018,https://www.redetiradentes.com.br/ronaldotiradentes/pesquisa-dmp-rede-tiradentes-segundo-turno-sera-entre-wilson-lima-37-x-30-amazonino-mendes/,AMAZONAS,AM,1,S,1.0,,EDUARDO BRAGA,47.0,VANESSA GRAZZIOTIN,37.0,PLINIO VALERIO,34.0,ALFREDO NASCIMENTO,32.0,HISSA ABRAHAO,26.0,LUIS CASTRO,23.0,RONDINELY FONSECA,2.0,LUIZ FERNANDO SANTOS,0.0,,,,,,,,,,,,,,,,
AM-07951/2018,https://amazonasatual.com.br/wilson-lima-tem-27-e-amazonino-mendes-25-em-nova-pesquisa-de-intencao-de-voto/,AMAZONAS,AM,1,G,,,WILSON LIMA,27.0,AMAZONINO MENDES,25.0,OMAR AZIZ,15.0,DAVID ALMEIDA,14.0,BERG DA UGT,1.0,LUCIA ANTONY,1.0,SIDNEY CABRAL,0.0,,,,,,,,,,,,,,,,,,
BA-00064/2012,https://issuu.com/tribunafeirense/docs/edicao_17-08-12,FEIRA DE SANTANA,BA,1,p,,,RONALDO,80.0,TARCIZÍO,5.4,NETO,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00070/2012,http://visaocidade.com.br/2012/09/pesquisa-aponta-lideranca-de-magno-e.html,VERA CRUZ,BA,1,P,,,ANTONIO MANGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00080/2012,https://www.portaldenoticias.net/ranulfo-lidera-em-cansancao-com-5480-e-riso-tem-34-diz-pesquisa/,CANSANÇÃO,BA,1,P,,,RANULFO GOMES,54.8,RISO ALMERINDO,34.0,ANDERSON MOURA,3.3,RODRIGO DA HUMANA,1.4,,,,,,,,,,,,,,,,,,,,,,,,
BA-00087/2012,https://www.bahianoticias.com.br/noticia/121730-rilza-valentim-lidera-pesquisa-em-sao-francisco-do-conde.html,SÃO FRANCISCO DO CONDE,BA,1,P,,,RITA VALENTIM,83.8,ANTONIO CALMON,10.2,IRMAO RONALD,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00093/2012,https://delmirogouveiaurgente.blogspot.com/2012/09/eleicoes-2012-pesquisa-aponta-vitoria.html,RIBEIRA DO POMBAL,BA,1,P,,,RICARDO MAIA,57.7,GORDO DE DADA,23.9,BERGUINHO,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00130/2012,https://blogdecasanovaouro.blogspot.com/2012/09/mirangaba-adriano-lidera-pesquisa-de.html,MIRANGABA,BA,1,P,,,ADILSON NASCICMENTO,58.0,DIRCEU MENDES,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00158/2012,https://alagoinhas-bahia-acaminhada.blogspot.com/2012/09/uma-nova-psquisa-registrada-no-tre-ba.html,ALAGOINHAS,BA,1,P,,,PAULO  CEZAR,68.3,JOSEILDO RAMOS,23.9,GILVAN ARTES,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00176/2012,https://www.coursehero.com/file/27494119/2017-UNDERGRADUATE-DIPGRADUATION-LIST-SASSpdf/,PINDOBAÇU,BA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00176/2012,https://www.portaldenoticias.net/pesquisa-tecnodados-aponta-lideranca-de-marcos-andre-em-pindobacu/,PINDOBAÇU,BA,1,P,,,MARLOS ANDRÉ,52.2,HÉLIO PALMEIRA,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00186/2012,http://blogmarcosfrahm.com/itagiba-candidato-do-pcdob-desponta-como-favorito/,ITAGIBÁ,BA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00203/2012,https://interiordabahia.blogspot.com/2012/09/,ITUBERÁ,BA,1,P,,,IRAMAR,47.8,ANDREZITO,41.7,LUCAS,2.5,DENILSON,0.7,,,,,,,,,,,,,,,,,,,,,,,,
BA-00222/2012,https://www.portaldenoticias.net/cansancao-instituto-tecnodados-divulga-resultado-de-nova-pesquisa-eleitoral/,CANSANÇÃO,BA,1,P,,,RANULFO GOMES,58.3,RISO DE ALMERINDO,36.2,RODRIGO,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00302/2012,https://www.portaldenoticias.net/pesquisa-tecnodados-aponta-lideranca-de-ze-valdo-em-monte-santo/,MONTE SANTO,BA,1,P,,,ZEVALDO,47.4,JORGE ANDRADE,42.8,EVARISTO,2.8,JOSE RUDIVAL,0.8,,,,,,,,,,,,,,,,,,,,,,,,
BA-00357/2012,https://www.calilanoticias.com/2012/10/pesquisa-da-tecnodados-aponta-dr-andre-pt-na-lideranca-em-queimadas,QUEIMADAS,BA,1,P,,,DOUTOR ANDRÉ,45.2,TARCISIO,37.7,BARBARA MAURINHO,12.3,EDILEUZA MILITAO,0.9,,,,,,,,,,,,,,,,,,,,,,,,
BR-00638/2014,https://itnet.com.br/noticia/24951/maria-e-luciano-est-o-empatados-em-pesquisa-dataform-em-itabaiana,BRASIL,BR,1,P,,,MARIA MENDONÇA,28.0,LUCIANO BISPO,27.5,ZÉ MILTON DE ZÉ DE DONA,1.8,CAPITAO SAMUEL,0.5,GILSON ANDRADE,0.5,VENANCCIO FONSECA,0.3,,,,,,,,,,,,,,,,,,,,
BR-00638/2014,https://itnet.com.br/noticia/24951/maria-e-luciano-est-o-empatados-em-pesquisa-dataform-em-itabaiana,BRASIL,BR,1,DF,,,ADELSON BARRETO,6.0,FABIO MITIDIERI,3.0,ADIERSON MONTEIRO,2.5,BOSCO COSTA,2.3,MENDONÇA PRADO,2.3,LAERCIOO OLIVEIRA,1.3,MARCIO MACEDO,0.5,SAMARONE,0.5,DR EMERSON,0.3,ANDRE MOURA,0.3,PASTOR JONY,0.3,FABIO REIS,0.3,,,,,,,,
BR-00732/2014,https://www.scribd.com/document/256449163/Porque-Sao-Contestaveis-Pesquisas-Eleitorais-Presidente,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-01077/2018,https://www.jornaldosvales.com.br/ler_noticia.php?id=20229&t=bolsonaro-e-o-preferido-dos-eleitores-de-ipatinga-e-timoteo,BRASIL,BR,1,PR,,,JAIR BOLSONARO,35.0,FERNANDO HADDAD,16.3,CIRO GOMES,6.3,MARINA SILVA,4.8,GERALDO ALCKIMIN,4.0,JOÃO AMOEDO,2.0,HENRIQUE MEIRELLES,1.0,ALVARO DIAS,0.8,CABO DACIOLO,0.5,,,,,,,,,,,,,,
BR-06844/2018,https://www.ecolifeonline.com.br/32277,BRASIL,BR,1,DE,,,CARLA MORANDO,12.15,ARTHUR MAMAE FALEI,7.24,AIDAN RAVIN,5.55,LUIZ FERNANDO,4.76,THIAGO AURICCHIO,4.56,ALMIR CICOTE,4.46,TEONILIO BARBA,4.36,PASTOR BITTENCOURT,1.14,LUIZ TURCO,0.89,JANAINA PASCOAL,0.89,WANDERLEI SIRAQUE,0.79,JULINHO FUZARI,0.74,ADMIR FERRO,0.69,CORONEL NISHIKAWA,0.69,PEDRO TERUJI,0.64,SANDRO NICODEMO,0.64
BR-06844/2018,https://www.ecolifeonline.com.br/32277,BRASIL,BR,1,DF,,,RUSSOMANO,10.21,KIM,7.09,ALEX MANENTE,6.74,MARCELO LIMA,6.05,EDUARDO BOLSONARO,5.35,VICENTINHO,4.81,ANA DO CARMO,4.16,TIRIRICA,3.87,FABIO PALACIO,3.57,AILTON LIMA,3.37,EDSON SARDANO,3.07,SARGENTO LOBO,0.99,ROBERTO DO PROERD,0.84,ALDO SANTOS,0.69,CIRLENE RABECCHINI,0.59,OROSCO JR,0.25
BR-06844/2018,https://www.ecolifeonline.com.br/32277,BRASIL,BR,1,S,,,MARA GABRILLI,18.44,EDUARDO SUPLICY,13.98,MAJOR OLIMPIO,4.56,TRIPOLI,2.28,MAURREN MAGGI,2.73,MARIO COVAS NETO,1.93,JILMAR TATTO,1.74,MANCHA,1.29,EDUCADOR DANIEL CARA,0.79,ANTONIO NETO,0.69,DIOGO DA LUZ,0.35,PROFESSORA SILVIA FERRA,0.3,MARCELO BARBIERI,0.3,DRA. ELIANA FERREIRA,0.25,NIVALDO ORLANI,0.2,KALED,0.1
CE-00030/2012,https://blogsilasbraga.blogspot.com/2012/09/pesquisa-eleitoral-para-prefeito-de_9.html,CATARINA,CE,1,P,,,RAFAEL,60.31,CORONEL GOMES,29.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00056/2012,https://www.juntadeandalucia.es/boja/2013/71/BOJA13-071-00004-5936-01_00024987.pdf,VARJOTA,CE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00057/2012,https://revistalitoralleste.blogspot.com/2012/09/pesquisa-de-intencao-de-voto-aponta.html,CASCAVEL,CE,1,P,,,TIAGO RIBEIRO,47.3,IVONETE QUEIROZ,45.5,LIDUINA ESTEVES,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
