outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,BR-00188/2014,https://docplayer.com.br/1584451-Http-www-gianelli-net-br.html,BR,BRASIL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-00011/2014,BR-00211/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/07/hartung-lidera-intencoes-de-voto-para-o-governo-do-es-diz-futura.html,BR,BRASIL,1.0,G,1.0,,,PAULO HARTUNG,"47,9",RENATO CASAGRANDE,"26,8",CAMILA VALADAO,"2,4",ROBERTO CARLOS,"1,4",,,,,,,,,,,,,,,,,,,,,,
,BR-00211/2014,https://ebarross.blogspot.com/2014_07_13_archive.html,BR,BRASIL,1.0,PR,1.0,,,AECIO NEVES,23,DILMA ROUSSEFF,20,EDURDO CAMPOS,"8,4",PASTOR EVERALDO,"2,8",JOSE MARIA,1,,,,,,,,,,,,,,,,,,,,
,BR-00222/2014,https://www.paradoxzero.com/2014/pesquisa-opiniao-pernambuco-julho-2014/,BR,BRASIL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00322/2014,"https://www.em.com.br/app/noticia/politica/2014/08/10/interna_politica,556966/aecio-sai-na-frente-em-minas-e-no-distrito-federal.shtml",BR,BRASIL,1.0,PR,,,,AECIO NEVES,"30,3",DILMA ROUSSEFF,"26,1",EDUARDO CAMPOS,"14,3",PASTOR EVERALDO,"3,3",,,,,,,,,,,,,,,,,,,,,,
,BR-00324/2014,https://angelim-com.blogspot.com/2014/08/mda-em-minas-aecio-tem-41-e-dilma-32.html,BR,BRASIL,1.0,PR,0.0,,,AECIO NEVES,"27,4",DILMA ROUSSEFF,"26,3",EDUARDO CAMPOS,"2,2",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00324/2014,https://angelim-com.blogspot.com/2014/08/mda-em-minas-aecio-tem-41-e-dilma-32.html,BR,BRASIL,1.0,PR,1.0,,,AECIO NEVES,"41,8",DILMA ROUSSEFF,"32,5",EDUARDO CAMPOS,"5,4",PASTOR EVERALDO,"1,2",,,,,,,,,,,,,,,,,,,,,,
PR-00012/2014,BR-00342/2014,https://pt.slideshare.net/ClaudioOsti/pesquisa-maringa,BR,BRASIL,1.0,S,1.0,,,ALVARO DIAS,"54,6",RICARDO GOMYDE,"10,9",PROFESSOR PIVA,"5,8",MARCELO ALMEIDA,"2,4",,,,,,,,,,,,,,,,,,,,,,
PR-00012/2014,BR-00342/2014,https://pt.slideshare.net/ClaudioOsti/pesquisa-maringa,BR,BRASIL,1.0,G,1.0,,,BETO RICHA,"37,6",REQUIAO,"27,5",GLEISI HOFFMANN,"20,4",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00342/2014,https://pt.slideshare.net/ClaudioOsti/pesquisa-maringa,BR,BRASIL,1.0,PR,1.0,,,DILMA,"41,1",AECIO NEVES,28,EDUARDO CAMPOS,"10,9",PASTOR EVERALDO,"1,4",ZE MARIA,"1,9",,,,,,,,,,,,,,,,,,,,
,BR-00346/2018,https://barrocasnoar.blogspot.com/2018/,BR,BRASIL,1.0,PR,0.0,,,JAIR BOLSONARO,"45,8",FERNANDO HADDAD,"33,3",,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00346/2018,https://camocimimparcial.blogspot.com/2018/10/pesquisa-cntmda-bolsonaro-soma-57.html,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,"48,8",FERNANDO HADDAD,"36,7",,,,,,,,,,,,,,,,,,,,,,,,,,
ES-00016/2014,BR-00376/2014,http://futuranet.ws/wp-content/uploads/2014/08/R_RedeGazeta_Avalia%C3%A7%C3%A3oEstadual_201408_V00_Site.pdf,BR,BRASIL,1.0,S,1.0,,,ROSE DE FREITAS,"21,9",JOAO CARLOS COSER,"17,9",NEUCIMAR FRAGA,13,ANDRE MOREIRA,"1,8",RAPHAEL GOES FURTADO,"1,5",,,,,,,,,,,,,,,,,,,,
ES-00016/2014,BR-00376/2014,http://futuranet.ws/wp-content/uploads/2014/08/R_RedeGazeta_Avalia%C3%A7%C3%A3oEstadual_201408_V00_Site.pdf,BR,BRASIL,1.0,S,0.0,,,ROSE DE FREITAS,"7,2",JOAO CARLOS COSER,4,NEUCIMAR FRAGA,"3,4",,,,,,,,,,,,,,,,,,,,,,,,
ES-00016/2014,BR-00376/2014,http://futuranet.ws/wp-content/uploads/2014/08/R_RedeGazeta_Avalia%C3%A7%C3%A3oEstadual_201408_V00_Site.pdf,BR,BRASIL,1.0,G,1.0,,,PAULO HARTUNG,"49,8",RENATO CASAGRANDE,"31,9",CAMILA VALADAO,"1,2",ROBERTO CARLOS,"1,2",,,,,,,,,,,,,,,,,,,,,,
ES-00016/2014,BR-00376/2014,http://futuranet.ws/wp-content/uploads/2014/08/R_RedeGazeta_Avalia%C3%A7%C3%A3oEstadual_201408_V00_Site.pdf,BR,BRASIL,1.0,G,0.0,,,PAULO HARTUNG,"29,2",RENATO CASAGRANDE,"19,4",,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00376/2014,http://futuranet.ws/wp-content/uploads/2014/08/R_RedeGazeta_Avalia%C3%A7%C3%A3oEstadual_201408_V00_Site.pdf,BR,BRASIL,1.0,PR,1.0,,,AECIO NEVES,27,DILMA ROUSSEFF,"23,4",EDUARDO CAMPOS,"7,5",PASTOR EVERALDO,"2,2",,,,,,,,,,,,,,,,,,,,,,
,BR-00376/2014,http://futuranet.ws/wp-content/uploads/2014/08/R_RedeGazeta_Avalia%C3%A7%C3%A3oEstadual_201408_V00_Site.pdf,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"16,8",AECIO NEVES,"16,4",EDUARDO CAMPOS,"4,2",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00389/2014,https://cipcomunicacion.com/2014/08/22/encuesta-electoral-para-presidente-de-brasil/,BR,BRASIL,1.0,PR,1.0,,,DILMA,"36,2",AECIO NEVES,"22,1",EDUARDO CAMPOS,"8,2",PASTOR EVERALDO,"2,1",,,,,,,,,,,,,,,,,,,,,,
,BR-00389/2014,https://docplayer.com.br/77351314-Pesquisa-cnt-mda-relatorio-sintese.html,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"25,6",AECIO NEVES,"12,6",EDUARDO CAMPOS,"3,5",,,,,,,,,,,,,,,,,,,,,,,,
