tse_id,url,sg_uf.x,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
SP-00110/2012,https://ultima-noticias.blogspot.com/2012/,SP,SÃO PAULO,1,P,1.0,,,Serra,30.0,Russomano,26.0,Haddad,7.0,Chalita,6.0,Soninha,7.0,Paulinho,5.0,Giannazi,1.0,,,,,,,,,,,,,,,,
SP-00567/2016,https://www.huffpostbrasil.com/2016/09/09/datafolha-marta-suplicy-e-joao-doria-crescem-enquanto-celso-rus_n_11940500.html,SP,SÃO PAULO,1,p,1.0,,,Russomano,26.0,Haddad,9.0,Doria,16.0,Marta Suplicy,21.0,Major Olimpio,2.0,Luiza Erundina,7.0,,,,,,,,,,,,,,,,,,
SP-00567/2016,https://www.huffpostbrasil.com/2016/09/09/datafolha-marta-suplicy-e-joao-doria-crescem-enquanto-celso-rus_n_11940500.html,SP,SÃO PAULO,1,p,1.0,,,Russomano,26.0,Haddad,9.0,Doria,16.0,Marta Suplicy,21.0,Major Olimpio,2.0,Luiza Erundina,7.0,,,,,,,,,,,,,,,,,,
SP-00582/2012,https://vicentecidade21.blogspot.com/2012/08/eleicoes-sp-russomanno-fica-parado-com.html,SP,SÃO PAULO,1,p,1.0,,,Serra,22.0,Russomano,31.0,Haddad,14.0,Chalita,7.0,Soninha,4.0,Paulinho,2.0,Ana Luiza,1.0,,,,,,,,,,,,,,,,
SP-00800/2012,https://oglobo.globo.com/brasil/eleicoes-2012/datafolha-russomano-tem-32-serra-20-haddad-17-6066655,SP,SÃO PAULO,1,p,1.0,,,Serra,20.0,Russomano,32.0,Haddad,17.0,Chalita,8.0,Soninha,5.0,Paulinho,1.0,Giannazi,1.0,,,,,,,,,,,,,,,,
SP-00931/2012,https://folhanoroeste.blogspot.com/2012/09/saracuza-mantem-vantagem-em-urania_25.html,SP,URÂNIA,1,p,1.0,,,Saracuza,48.5,Neuseli,33.25,Sandra Correa,2.5,,,,,,,,,,,,,,,,,,,,,,,,
SP-00931/2012,https://folhanoroeste.blogspot.com/2012/09/saracuza-mantem-vantagem-em-urania_25.html,SP,URÂNIA,1,p,1.0,,,Saracuza,49.5,Neuseli,31.5,Sandra Correa,2.5,,,,,,,,,,,,,,,,,,,,,,,,
SP-00961/2012,https://issuu.com/jornalnoticiapopular/docs/edicao_30_21-09-12_todas_/13,SP,SÃO PAULO,1,p,,,,Serra,21.0,Russomano,35.0,Haddad,15.0,Chalita,8.0,Soninha,4.0,Paulinho,1.0,,,,,,,,,,,,,,,,,,
SP-00961/2012,https://luizinhodavila.blogspot.com/2012_09_25_archive.html,SP,SÃO PAULO,1,p,,,,Serra,21.0,Russomano,35.0,Haddad,15.0,Chalita,8.0,Soninha,4.0,Paulinho,1.0,,,,,,,,,,,,,,,,,,
SP-01182/2012,https://banduforrueiro.blogspot.com/2012/09/russomanno-tem-30-serra-22-e-haddad-18.html,SP,SÃO PAULO,1,p,,,,Serra,22.0,Russomano,30.0,Haddad,18.0,Chalita,9.0,Soninha,4.0,Paulinho,1.0,Giannazi,1.0,,,,,,,,,,,,,,,,
