tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PA-00029/2012,https://zeca-mnews.blogspot.com/2012/07/nova-pesquisa-para-prefeito-de-belem.html,PA,BELÉM,1.0,P,0.0,,,EDMILSON,"25,2",JOSE PRIANTE,"7,7",ARNALDO JORDY,"3,3",ZENALDO COUTINHO,3,JEFERSON LIMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00031/2012,https://flaviovidal.blogspot.com/2012/07/jorge-barros-lidera-corrida-eleitoral.html,PA,SÃO GERALDO DO ARAGUAIA,1.0,P,0.0,,,JORGE BARROS,"35,04",MANELAO,"23,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00031/2012,https://flaviovidal.blogspot.com/2012/07/jorge-barros-lidera-corrida-eleitoral.html,PA,SÃO GERALDO DO ARAGUAIA,1.0,P,1.0,,,JORGE BARROS,"44,87",MANELAO,"31,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00037/2012,https://pjpontes.blogspot.com/2012/08/2-pesquisa-doxa-belem.html,PA,BELÉM,1.0,P,1.0,,,EDMILSON RODRIGUES,"44,2",JOSE PRIANTE,"18,6",ZENALDO COUTINHO,"7,8",ARNALDO JORDY,"6,5",JEFFERSON LIMA,"4,3",ANIVALDO VALE,"2,5",ALFREDO COSTA,"1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00037/2012,https://pjpontes.blogspot.com/2012/08/2-pesquisa-doxa-belem.html,PA,BELÉM,1.0,P,0.0,,,EDMILSON RODRIGUES,"38,9",JOSE PRIANTE,"11,1",ZENALDO COUTINHO,6,ARNALDO JORDY,"5,9",JEFFERSON LIMA,"2,7",ANIVALDO VALE,"2,5",ALFREDO COSTA,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00045/2012,https://joaosilvio.blogspot.com/2012/08/pesquisa-feita-pelo-blog-do-jeso.html#!,PA,SANTARÉM,1.0,P,,,,ALEXANDRE VON,40,LUCINEIDE PINHEIRO,22,JOSE MARIA TAPAJOS,"13,7",MARCIO PINTO,"7,7",RUBSON SANTANA,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00053/2012,https://flaviovidal.blogspot.com/2012/09/pesquisa-eleitoral-em-sao-geraldo-do.html,PA,SÃO GERALDO DO ARAGUAIA,1.0,P,,,,JORGE BARROS,"48,44",MANELÃO,"30,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00054/2012,https://anajuliacarepa13.blogspot.com/2012/08/joao-salame-e-tiao-empatados-na.html,PA,MARABÁ,1.0,P,1.0,,,TIAO MIRANDA,"41,6",JOAO SALAME,"38,8",MAURINO MAGALHAES,"9,6",CESAR DO COMERCIO,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00054/2012,https://anajuliacarepa13.blogspot.com/2012/08/joao-salame-e-tiao-empatados-na.html,PA,MARABÁ,1.0,P,0.0,,,TIAO MIRANDA,40,JOAO SALAME,"37,9",MAURINO MAGALHAES,"9,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00060/2012,https://ananindeuadebates.blogspot.com/2012/09/edimilson-caminha-para-ganhar-eleicao.html,PA,BELÉM,1.0,P,,,,EDMILSON RODRIGUES,"45,2",ZENALDO COUTINHO,"13,3",JOSE PRIANTE,"12,4",JEFERSON LIMA,"4,5",ARNALDO JORDY,"4,3",ANIVALDO VALE,"3,8",ALFREDO COSTA,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
