obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PI-00185/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-floriano-traz-silas-freire-e-joel-rodrigues-liderando-a-pesquisa,PI,PIAUÍ,1.0,DE,0.0,,,JOEL RODRIGUES,31.87,GUSTAVO NEIVA,12.81,ENEAS,11.25,SALOMAO,5.0,ZE SANTANA,3.12,OSCAR PROCOPIO,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00185/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-floriano-traz-silas-freire-e-joel-rodrigues-liderando-a-pesquisa,PI,PIAUÍ,1.0,DF,0.0,,,SILAS FREIRE,19.06,OSMAR JUNIOR,6.88,HERACLITO FORTES,5.0,MARCELO CASTRO,3.75,ASSIS CARVALHO,3.12,REJANE DIAS,2.5,RODRIGO MARTINS,2.19,HUGO NAPOLEAO,1.56,FLAVIO NOGUEIRA,1.25,ATILA LIRA,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00186/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-ribeiro-goncalves-flavio-nogueira-e-flavio-jr-estao-no-topo,PI,PIAUÍ,1.0,DE,0.0,,,FLAVIO NOGUEIRA JR.,16.56,HELIO ISAIAS,13.12,ZE SANTANA,5.0,DR. PABLO SANTOS,3.44,LUCIANO NUNES,2.81,WILSON BRANDAO,2.81,DR. WAGNER,1.88,FABIO XAVIER,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00186/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-ribeiro-goncalves-flavio-nogueira-e-flavio-jr-estao-no-topo,PI,PIAUÍ,1.0,DF,0.0,,,FLAVIO NOGUEIRA,18.75,JULIO CESAR,11.88,HUGO NAPOLEAO,5.31,MARCELO CASTRO,2.19,REJANE DIAS,1.56,DR. PABLO SANTOS,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00187/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-campo-maior-traz-marllos-sampaio-e-antonio-felix-liderando,PI,PIAUÍ,1.0,DE,0.0,,,ANTONIO FELIX,20.62,ALUISIO MARTINS,17.81,SILVIA DO CAU,5.64,LIMMA,2.81,TIAGO VASCONCELOS,2.5,WILSON BRANDAO,1.56,FABIO XAVIER,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00187/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-campo-maior-traz-marllos-sampaio-e-antonio-felix-liderando,PI,PIAUÍ,1.0,DF,0.0,,,MARLLOS SAMPAIO,9.69,HUGO NAPOLEAO,8.75,REJANE DIAS,8.44,HERACLITO FORTES,5.31,ASSIS CARVALHO,3.45,IRACEMA PORTELLA,2.19,MERLONG SOLANO,1.56,EDILSON ARAUJO,1.56,SILAS FREIRE,1.56,MARDEN MENEZES,1.25,RODRIGO MARTINS,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesquisas para DE e DF não compreendidas.,PI-00188/2014,https://180graus.com/pesquisa-eleitoral/briga-familiar-marca-a-disputa-entra-janainna-marques-e-ismar-marques,PI,PIAUÍ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00188/2014,https://avozdopiaui.blogspot.com/2014/09/nova-pesquisa-do-credibilidade-aponta.html,PI,PIAUÍ,1.0,G,1.0,,,WELLINGTON DIAS,44.05,ZE FILHO,35.03,MAO SANTA,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00188/2014,https://avozdopiaui.blogspot.com/2014/09/nova-pesquisa-do-credibilidade-aponta.html,PI,PIAUÍ,1.0,G,0.0,,,WELLINGTON DIAS,38.35,ZE FILHO,30.3,MAO SANTA,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00189/2014,https://180graus.com/pesquisa-eleitoral/brvoxpiracuruca-traz-robert-rios-e-julio-cesar-liderando-veja-numeros,PI,PIAUÍ,1.0,DE,0.0,,,ROBERT RIOS,15.0,WILSON BRANDAO,13.75,IRACEMA PORTELLA,8.74,MARDEN MENESES,5.31,SOCORRO MARQUES,4.06,JULIANA MORAES SOUZA,3.12,LIMMA,2.5,JANAINA MARQUES,1.25,REJANE DIAS,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
