tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PR-00222/2012,https://fuxicosdequitandinha.blogspot.com/2012/09/saiu-pesquisa-duas.html,7871966000143,PR,78018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00235/2012,https://intervalodanoticias.blogspot.com/2012/09/eleicoes-2012-saiu-1-pesquisa-eleitoral.html,7871966000143,PR,77917,1,P,1.0,,,gilvan agibert,0.516,helio zaias consechen junior,0.22,divanzer batista,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00248/2012,https://issuu.com/folhaextra/docs/ed_824,7871966000143,PR,78832,1,P,1.0,,1.0,sergio kroneis,0.544,mirabe,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00268/2012,https://informeeativo.blogspot.com/2012/,481961000165,PR,75639,1,P,0.0,,,reni,0.418,chico brasileiro,0.317,aiex,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00268/2012,https://informeeativo.blogspot.com/2012/,481961000165,PR,75639,1,P,1.0,,,reni,0.466,chico brasileiro,0.358,aiex,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00268/2012,https://informeeativo.blogspot.com/2012/,481961000165,PR,75639,1,P,1.0,,1.0,reni,0.553,chico brasileiro,0.425,aiex,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00268/2012,https://informeeativo.blogspot.com/2012/,481961000165,PR,75639,1,P,1.0,,,reni,0.488,chico brasileiro,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00277/2012,https://issuu.com/oreporterfrg/docs/oreporter117,7871966000143,PR,74799,1,P,1.0,,,jorge quege,0.663,reinaldo,0.163,nego kaiss,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00301/2012,https://issuu.com/gerfercar/docs/cataratas-edi_37_set_2012,481961000165,PR,84670,1,P,1.0,,,claudio eberhard,0.538,izanildo,0.321,claudiney costa,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00301/2012,https://issuu.com/gerfercar/docs/cataratas-edi_37_set_2012,481961000165,PR,84670,1,P,1.0,,1.0,claudio eberhard,0.6,izanildo,0.358,claudiney costa,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00301/2012,https://vdocuments.mx/claudio-45-prefeito-informativo-08.html,481961000165,PR,84670,1,P,1.0,,,claudio quege,0.57,izanildo,0.308,claudiney costa,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00308/2012,https://189.9.128.64/download/diretoria-colegiada-atas/atas/2013/extrato-ata-43-06-11-2013.pdf,7871966000143,PR,75256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00346/2012,https://olhoabertopr.blogspot.com/2012/10/guaraniacupesquisa-eleitoral-aponta.html,481961000165,PR,75817,1,P,1.0,,,ronaldo cazella,0.429,osmario portela,0.227,ana neoli,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00346/2012,https://olhoabertopr.blogspot.com/2012/10/guaraniacupesquisa-eleitoral-aponta.html,481961000165,PR,75817,1,P,0.0,,,ronaldo cazella,0.466,osmario portela,0.177,ana neoli,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00372/2012,https://www.fabiocampana.com.br/2012/10/londrina-belinati-ganha-no-1o-turno-diz-pesquisa-alvorada/,7871966000143,PR,76678,1,P,1.0,,,marcelo belinati,0.524,marcia lopes,0.167,alexandre kireeff,0.147,barbosa neto,0.088,eduardo cheida,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00381/2012,https://www.fabiocampana.com.br/2012/10/em-foz-reni-tem-44-chico-brasileiro-tem-35-na-pesquisa-radarcbn/,481961000165,PR,75639,1,P,0.0,,,reni,0.447,chico brasileiro,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00381/2012,https://www.fabiocampana.com.br/2012/10/em-foz-reni-tem-44-chico-brasileiro-tem-35-na-pesquisa-radarcbn/,481961000165,PR,75639,1,P,1.0,,,reni,0.483,chico brasileiro,0.38,aiex,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00381/2012,https://www.fabiocampana.com.br/2012/10/em-foz-reni-tem-44-chico-brasileiro-tem-35-na-pesquisa-radarcbn/,481961000165,PR,75639,1,P,1.0,,1.0,reni,0.549,chico brasileiro,0.431,aiex,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00381/2012,https://www.fabiocampana.com.br/2012/10/em-foz-reni-tem-44-chico-brasileiro-tem-35-na-pesquisa-radarcbn/,481961000165,PR,75639,1,P,1.0,,,reni,0.493,chico brasileiro,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00383/2012,https://unidospelocandoi.blogspot.com/,481961000165,PR,74225,1,P,1.0,,,mauricio,0.208,elias farah,0.188,gelson,0.168,anderson,0.096,chrisler,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00426/2012,https://issuu.com/genesismachado/docs/cn_631,7871966000143,PR,79073,1,P,1.0,,,beto bolinha,0.476,bi,0.26,manezao,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00426/2012,https://issuu.com/genesismachado/docs/cn_631,7871966000143,PR,79073,1,P,1.0,,,beto bolinha,0.456,bi,0.384,manezao,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00426/2012,https://issuu.com/genesismachado/docs/cn_631,7871966000143,PR,79073,1,P,1.0,,1.0,beto bolinha,0.528,bi,0.444,manezao,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00450/2012,http://tribunaregionaldalapa.com.br/2012/10/05/maioria-dos-lapeanos-acredita-na-vitoria-de-furiati/,481961000165,PR,76570,1,P,1.0,,,paulo furiati,0.348,leila,0.334,casturina bosch,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00450/2012,http://tribunaregionaldalapa.com.br/2012/10/05/maioria-dos-lapeanos-acredita-na-vitoria-de-furiati/,481961000165,PR,76570,1,P,1.0,,,paulo furiati,0.367,leila,0.367,casturina bosch,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00450/2012,http://tribunaregionaldalapa.com.br/2012/10/05/maioria-dos-lapeanos-acredita-na-vitoria-de-furiati/,481961000165,PR,76570,1,P,1.0,,,paulo furiati,0.34,leila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00451/2012,https://issuu.com/souclaudio45/docs/informativo_8,481961000165,PR,84670,1,P,1.0,,,claudio eberhard,0.57,izanildo,0.308,claudiney costa,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00472/2012,https://issuu.com/tribunadovale/docs/pdf2241,7871966000143,PR,77933,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00581/2012,https://pt.scribd.com/document/267114564/Jornal-do-55-Congresso-Brasileiro-de-Direito-do-Trabalho,7871966000143,PR,78697,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00586/2012,https://www.fabiocampana.com.br/2012/10/foz-reni-45-chico-34-diz-pesquisa-radarcbn/,481961000165,PR,75639,1,P,0.0,,,reni,0.453,chico brasileiro,0.345,aiex,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00586/2012,https://www.fabiocampana.com.br/2012/10/foz-reni-45-chico-34-diz-pesquisa-radarcbn/,481961000165,PR,75639,1,P,1.0,,,reni,0.49,chico brasileiro,0.37,aiex,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00586/2012,https://www.fabiocampana.com.br/2012/10/foz-reni-45-chico-34-diz-pesquisa-radarcbn/,481961000165,PR,75639,1,P,1.0,,1.0,reni,0.548,chico brasileiro,0.413,aiex,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00586/2012,https://www.fabiocampana.com.br/2012/10/foz-reni-45-chico-34-diz-pesquisa-radarcbn/,481961000165,PR,75639,1,P,1.0,,,reni,0.499,chico brasileiro,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00589/2012,https://www.arquivojudicial.com/diario/cD3xbs6Cu,481961000165,PR,79553,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00662/2012,https://www.pacermonitor.com/public/filings/DEKFLJSI/CARIBBEAN_INTERNATIONAL_NEWS_CORPORATION__prbke-13-07759__0001.0.pdf,4996040000196,PR,74837,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00674/2012,http://www.hipaaspace.com/Medical_Billing/Coding/NPI/Codes/NPI_1033123476.aspx,7871966000143,PR,76678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00695/2012,https://gironolitoral.blogspot.com/2012/10/,481961000165,PR,74934,1,P,1.0,,,edgar bueno,0.467,professor lemos,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00702/2012,https://noticias.uol.com.br/fernandorodrigues/pesquisas/2012/2turno/prefeito/cascavel.jhtm,481961000165,PR,74934,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00721/2012,https://paginabrasileira.blogspot.com/2012_10_21_archive.html,7871966000143,PR,76678,1,P,1.0,,1.0,marcelo belinati,0.516,alexandre kireeff,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00721/2012,https://paginabrasileira.blogspot.com/2012_10_21_archive.html,7871966000143,PR,76678,1,P,1.0,,,marcelo belinati,0.488,alexandre kireeff,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00723/2012,https://paginabrasileira.blogspot.com/2012_10_28_archive.html,7871966000143,PR,76678,1,P,1.0,,1.0,alexandre kireeff,0.508,marcelo belinati,0.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
