obs,outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,,BR-05663/2018,https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-rio-grande-do-norte/,BR,BRASIL,1.0,PR,,,,LULA,45,JAIR BOLSONARO,"16,1",CIRO GOMES,"5,5",MARINA SILVA,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-00988/2018,BR-08895/2018,http://www.blogdosilverioalves.com/2018_10_14_archive.html,BR,BRASIL,1.0,G,,,1.0,FATIMA BEZERRA,56,CARLOS EDUARDO ALVES,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-08895/2018,https://www.rosaliearruda.com/2018/10/haddad-tem-45-bolsonaro-35.html,BR,BRASIL,1.0,PR,,,,FERNANDO HADDAD,45,JAIR BOLSONARO,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00011/2012,https://blogdobraga88-isac.blogspot.com/2012/06/redencao-pesquisa-aponta-empate-tecnico.html,PA,REDENÇÃO,1.0,P,,,,VANDERLEI COIMBRA,"34,3",WAGNER FONTES,"21,9",IAVE,"16,8",JORGE PAULO,"8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00026/2012,https://blogdoluizpereira.blogspot.com/2012/06/,PA,BANNACH,1.0,P,0.0,,,VALBER MILHOMEM,62,GERALDO FERNANDES,"25,4",LUCINEIA,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00026/2012,https://blogdoluizpereira.blogspot.com/2012/06/,PA,BANNACH,1.0,P,1.0,,1.0,VALBER MILHOMEM,60,GERALDO FERNANDES,"25,4",LUCINEIA,"3,5",LINDOMAR,"1,4",MANOEL PINTO,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00033/2012,https://blogdoluizpereira.blogspot.com/2012/08/xinguara-vereador-alessandro-arraes.html,PA,REDENÇÃO,1.0,P,1.0,,,VANDERLEI COIMBRA,"52,4",WAGNER FONTES,"32,7",JORGE PAULO,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00034/2012,https://blogdobraga88-isac.blogspot.com/2012/08/cumaru-do-norte-pesquisa-aponta.html,PA,CUMARU DO NORTE,1.0,P,1.0,,,LADO,"58,8",CHICO LOPES,"33,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00034/2012,https://elcirlustosa.blogspot.com/2012/08/cumaru-do-norte-pesquisa-aponta.html,PA,CUMARU DO NORTE,1.0,P,0.0,,,LADO TEMPONI,"49,7",CHICO LOPES,"27,1",PETI,"1,7",JOAO MOTA,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00064/2012,https://blogdoluizpereira.blogspot.com/2012/09/em-rio-maria-e-apontada-vitoria-de.html,PA,RIO MARIA,1.0,P,0.0,,,WALTINHO DO OURO,"67,5",AGEMIRO FILHO,"20,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00065/2012,https://blogdoluizpereira.blogspot.com/2012/09/em-rio-maria-e-apontada-vitoria-de.html,PA,FLORESTA DO ARAGUAIA,1.0,P,1.0,,,ALSERIO KAZIMIRS,"65,3",CLAUDINEI,"19,1",ADELIO DOS SANTOS,"6,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00076/2012,https://blogdoluizpereira.blogspot.com/2012/09/em-rio-maria-e-apontada-vitoria-de.html,PA,PAU D ARCO,1.0,P,1.0,,,LUCIANO GUEDES,"45,1",MAURICIO CAVALCANTE,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00078/2012,https://cgrfiles.cgr.go.cr/publico/docs_cgr/2013/SIGYD_D_2013005709.pdf,PA,SANTA MARIA DAS BARREIRAS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00085/2012,https://cgrfiles.cgr.go.cr/publico/jaguar/sad_docs/2013/3363-2013.pdf,PA,IPIXUNA DO PARÁ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00177/2012,https://blogdobraga88-isac.blogspot.com/2012/09/,PA,PAU D ARCO,1.0,P,0.0,,,LUCIANO GUEDES,50,MAURICIO CAVALCANTI,"38,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00178/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_8.html,PA,CUMARU DO NORTE,1.0,P,,,,CLEUSA TEMPONI,"47,2",CHICO LOPES,"37,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00188/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_8.html,PA,SANTA MARIA DAS BARREIRAS,1.0,P,1.0,,,MUSSUM,"36,8",ALDUIDES,"27,4",DIVALDINHO DA PESCA,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00191/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_8.html,PA,RIO MARIA,1.0,P,,,,WALTINHO DO OURO,"67,7",AGEMIRO FILHO,"19,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
