tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9
MT-00707/2012,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Na-reta-final,-a-disputa-em-Cuiaba-fica-acirrada,-trazendo-indefinicao-sobre-quem-sera-o-proximo-prefeito.aspx",1,p,,,,Lúdio,46,Mauro Mendes,46,,,,,,,,,,,,,,
PB-00153/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Joao-Pessoa-elegera-Luciano-Cartaxo-amanha.aspx,1,p,,,,Luciano Cartaxo,63,Cícero Lucena,24,,,,,,,,,,,,,,
PE-00277/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Geraldo-Julio-deve-ser-eleito-mas-Daniel-Coelho-ameaca-sua-vitoria-no-primeiro-turno.aspx,1,p,,,,Geraldo Julio,"47,94",Daniel Coelho,"23,5",Humberto Costa,"18,8",Mendonça,"1,88",,,,,,,,,,
PI-00592/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Firmino-Filho-e-o-favorito-em-Teresina-no-limite-da-margem-de-erro.aspx,1,p,,,,Firmino Filho,49,Elmano Férrer,42,,,,,,,,,,,,,,
PR-00720/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Gustavo-Fruet-sera-eleito-Prefeito-de-Curitiba.aspx,1,p,,,,Gustavo Fruet,51,Ratinho Jr,38,,,,,,,,,,,,,,
RJ-00080/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Rio-de-Janeiro-elege-Pezao-para-governar-pelos-proximos-quatro-anos.aspx,1,g,,,,Luiz Fernando Pezão,"49,02",Marcelo Crivella,"36,98",,,,,,,,,,,,,,
RN-00047/2014,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-disputa-acirrada,-Rio-Grande-do-Norte-devera-eleger-Robinson-Faria.aspx",1,g,,,,Robinson Faria,"47,7",Henrique Alves,"42,3",,,,,,,,,,,,,,
RR-00013/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Teresa-pode-vencer-no-primeiro-turno-ou-disputar-um-segundo-turno-com-adversario-ainda-indefinido.aspx,1,p,,,1.0,Teresa,53,Mecias de Jesus,23,Temário Mota,18,Robert Dagon,6,,,,,,,,,,
RS-00027/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Pesquisa-boca-de-rna-aponta-indefinicao-sobre-quem-disputar-segundo-turno-com-Tarso-Genro--Olivio-Dutra-e-o-novo-senador-.aspx,1,g,,,,Tarso Genro,"31,5",José Ivo Sartori,"26,1",Ana Amélia,"23,4",Vieira da Cunha,"5,4",Roberto Robaina,"1,8",,,,,,,,
RS-00027/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Pesquisa-boca-de-rna-aponta-indefinicao-sobre-quem-disputar-segundo-turno-com-Tarso-Genro--Olivio-Dutra-e-o-novo-senador-.aspx,1,s,,,,Olívio Dutra,"33,3",Lasier Martins,"27,9",Simon,"17,1",Simone Leite,"7,2",Julio Flores,"1,8",Ciro Machado,"1,8",,,,,,
RS-00038/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Jos%C3%A9-Ivo-Sartori-%C3%A9-o-novo-governador-do-Rio-Grande-do-Sul.aspx,1,g,,,,José Ivo Sartori,"52,2",Tarso Genro,"38,22",,,,,,,,,,,,,,
RS-00442/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Fortunati-deve-ser-reeleito-no-primeiro-turno-em-Porto-Alegre.aspx,1,p,,,1.0,Fortunati,57,Manuela D'Ávila,27,Villa,11,,,,,,,,,,,,
SP-00112/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Nogueira-e-Darcy-Vera-dividem-a-preferencia-do-eleitorado-na-disputa-pela-prefeitura-de-Ribeirao-Preto.aspx,1,p,1.0,,,Duarte Nogueira,31,Dárcy Vera,28,Chiarelli,5,Gandini,4,Emilson Roveri,2,Mauro Inacio,1,,,,,,
