tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13
BR-07052/2018,https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-presidente/,BR,BRASIL,1,pr,,,,Jair Bolsonaro,45,Fernando Haddad,28,Ciro Gomes,14,Geraldo Alckmin,4.0,João Amoedo,3.0,Marina Silva,2.0,Alvaro Dias,1.0,Cabo Daciolo,1.0,Guilherme Boulos,1.0,Henrique Meirelles,1.0,,,,,,
BR-07268/2018,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/28/ibope-boca-de-urna-bolsonaro-e-haddad.htm,BR,BRASIL,1,pr,,,1.0,Jair Bolsonaro,55,Fernando Haddad,44,,,,,,,,,,,,,,,,,,,,,,
BR-08529/2018,https://www.srzd.com/brasil/eleicoes-2018-boca-de-urna-para-governador-do-rio-de-janeiro/amp/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08867/2018,https://www.redemoinho24.com/post/2018/10/07/boca-de-urna-do-ipobe-aponta-segundo-turno-entre-zema-e-anastasia,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08894/2018,http://177.47.5.246/noticias-e-pesquisas/renato-casagrande-cresce-e-segue-liderando-com-ampla-vantagem-a-disputa-pelo-governo-do-espirito-santo/,BR,BRASIL,1,pr,1.0,,,Jair Bolsonaro,24,Marina Silva,15,Ciro Gomes,13,Geraldo Alckmin,9.0,Fernando Haddad,5.0,,,,,,,,,,,,,,,,
BR-08894/2018,http://177.47.5.246/noticias-e-pesquisas/renato-casagrande-cresce-e-segue-liderando-com-ampla-vantagem-a-disputa-pelo-governo-do-espirito-santo/,BR,BRASIL,1,pr,0.0,,,Jair Bolsonaro,21,Lula,21,Ciro Gomes,4,Geraldo Alckmin,3.0,Marina Silva,3.0,João Amoedo,2.0,Henrique Meirelles,1.0,Fernando Haddad,1.0,,,,,,,,,,
BR-09111/2018,https://www.4oito.com.br/noticia/amin-e-colombo-lideram-intencoes-de-voto-ao-senado-4680,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00048/2012,https://www.sobral24horas.com/2012/09/confirmado-ibope-realiza-pesquisa-em.html,CE,SOBRAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-02234/2016,https://russasnews.com.br/destaque/pesquisa-ibope-para-russas-e-registrada-no-tse/,CE,RUSSAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-06241/2016,http://blogs.diariodonordeste.com.br/centrosul/cidades/pesquisa-do-ibope-ze-helder-com-56-e-homero-fiuza-com-33/15651,CE,VÁRZEA ALEGRE,1,p,,,,Zé Hélder,56,Homero Fiúza,33,,,,,,,,,,,,,,,,,,,,,,
CE-08221/2016,https://clubesocialacopiara.blogspot.com/,CE,QUIXERAMOBIM,1,p,,,,Cirilo Pimenta,44,Clébio Pavone,44,Tomaz Holanda,4,,,,,,,,,,,,,,,,,,,,
DF-00075/2014,https://noticias.r7.com/eleicoes-2014/distrito-federal/pesquisa-de-boca-de-urna-aponta-rollemberg-com-44-das-intencoes-de-voto-05102014,DF,DISTRITO FEDERAL,1,g,,,1.0,Rodrigo Rollemberg,44,Jofran Frejat,29,Agnelo Queiroz,21,,,,,,,,,,,,,,,,,,,,
DF-01180/2018,https://blogdopavulo.com/boca-de-urna-2o-turno-leia-projecao-nos-estados-e-no-distrito-federal/,DF,DISTRITO FEDERAL,1,g,,,,Ibaneis,"62,79",Rodrigo Rollemberg,"28,21",,,,,,,,,,,,,,,,,,,,,,
DF-08518/2018,https://exame.com/brasil/no-distrito-federal-ibaneis-vai-ao-2o-turno-diz-ibope/,DF,DISTRITO FEDERAL,1,g,,,1.0,Ibaneis,41,Rodrigo Rollemberg,12,Rogério Rosso,11,Eliana Pedrosa,9.0,General Paulo Chagas,8.0,Alberto Fraga,7.0,Fátima Sousa,5.0,Júlio Miragaya,4.0,Alexandre Guerra,3.0,,,,,,,,
DF-08518/2018,https://exame.com/brasil/no-distrito-federal-ibaneis-vai-ao-2o-turno-diz-ibope/,DF,DISTRITO FEDERAL,1,s,,,1.0,Leila do Vôlei,17,Izalci,16,Cristovam Buarque,11,Fadi Faraj,10.0,Wasny,9.0,Chico Leite,7.0,Paulo Roque,6.0,Fernando Marques,5.0,Brigadeiro Atila Maia,5.0,Juiz Everardo Ribeiro,4.0,Marivaldo Pereira,4.0,Marcelo Neves,3.0,Professora Amábile,2.0
ES-00032/2014,https://oglobo.globo.com/brasil/no-espirito-santo-hartung-pode-ganhar-no-1-turno-aponta-ibope-14134184,ES,ESPÍRITO SANTO,1,s,,,1.0,Rose de Freitas,41,João Coser,29,Neucima Fraga,25,André Moreira,3.0,Raphael Furtado,2.0,,,,,,,,,,,,,,,,
