tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PI-00067/2014,http://www.blogdocoveiro.com.br/2014/07/data-az-wellington-lidera-na-grande.html,PI,PIAUÍ,1,G,0.0,,,WELLINGTON DIAS,"22,53",ZE FILHO ,"6,46",MAO SANTA,"1,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00067/2014,https://www.agrandebarras.com.br/2014/07/data-az-eleitores-nao-sabem-em-quem.html,PI,PIAUÍ,1,DE,,,,BETO REGO ,"1,94",REJANE DIAS,"1,02",THEMISTOCLES FILHO ,"0,92",OLIVEIRA JUNIOR ,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00067/2014,https://www.agrandebarras.com.br/2014/07/data-az-eleitores-nao-sabem-em-quem.html,PI,PIAUÍ,1,DF,,,,MARCELO CASTRO,"5,53",ATILA LIRA,"5,11",REJANE DIAS,"2,98",MARLLOS SAMPAIO,"2,13",SILAS FREITAS ,"2,13",PAES LANDIM,"1,28",OSMAR JR,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00067/2014,https://www.portalodia.com/noticias/politica/eleicoes-elmano-ferrer-lidera-na-grande-teresina-em-disputa-pelo-senado-208991.html,PI,PIAUÍ,1,S,1.0,,,ELMANO FERRER,"39,06",WILSON MARTINS ,"30,29",GERALDO CARVALHO,"2,77",ALDIR NUNES,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00067/2014,https://www.portalodia.com/noticias/politica/eleicoes-elmano-ferrer-lidera-na-grande-teresina-em-disputa-pelo-senado-208991.html,PI,PIAUÍ,1,S,0.0,,,WILSON MARTINS ,"9,14",ELMANO FERRER ,"8,59",JOAO VICENTE CARVALHO,"2,77",ALDIR NUNES,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00071/2014,http://www.luzilandianamidia.com/candidatos-ismar-marques-e-janainna-marques-voltam-a-aparecer-entre-os-mais-votados-em-pesquisa.html,PI,PIAUÍ,1,DE,,,,THEMISTOCLES FILHO,"2,28",ISMAR MARQUES,"1,74",FABIO NOVO,"1,41",WILSON BRANDAO ,"1,2",LIZIE COELHO,"1,2",MARDEN MENEZES,"1,08",NIZE REGO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00071/2014,http://www.luzilandianamidia.com/candidatos-ismar-marques-e-janainna-marques-voltam-a-aparecer-entre-os-mais-votados-em-pesquisa.html,PI,PIAUÍ,1,DF,,,,MARLLOS SAMPAIO ,"3,94",PAES LANDIM,"2,78",MARCELO CASTRO,"2,74",HUGO NAPOLEAO,"1,66",SILAS FREIRE,"1,16",HERACLITO FORTES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00072/2014,http://www.blogdocoveiro.com.br/2014/07/amostragem-wellington-5365-ze-filho.html,PI,PIAUÍ,1,G,1.0,,,DANIEL SOLON ,"1,14",LOURDES MELO,"0,7",MAKLANDEL,"0,26",MAO SANTA ,"12,4",NETO SAMBAIBA,"0,44",WELLINGTON DIAS,"53,65",ZE FILHO,"17,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00077/2012,http://www.jornaldepicos.com.br/noticia_detalhe.php?id=3952,PI,PICOS,1,P,1.0,,,KLEBER EULALIO ,"35,25",BELE MEDEIROS ,"34,25",GLEUTON PORTELA ,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00077/2012,http://www.jornaldepicos.com.br/noticia_detalhe.php?id=3952,PI,PICOS,1,P,0.0,,,BELE MEDEIROS ,24,KLEBER EULALIO,"21,5",GLEUTON PORTELA ,6,GIL PARAIBANO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00080/2014,https://sitecy.blogspot.com/2014/08/,PI,PIAUÍ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00081/2014,http://www.jornaldaparnaiba.com/2014/08/parnaiba-ze-filho-42-x-w-dias-31-diz.html,PI,PIAUÍ,1,G,1.0,,,ZE FILHO ,"42,48",WELLINGTON DIAS ,"31,8",MAO SANTA ,"11,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00081/2014,http://www.luzilandianamidia.com/politica-veja-a-recente-pesquisa-eleitoral-para-deputado-estadual.html,PI,PIAUÍ,1,DE,0.0,,,JULIANA ,"21,84",ZE HAMILTON,"7,04",TERERE,"5,34",NERINHO ,"1,21",RONALDO PRADO,"1,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00081/2014,https://cocalnoticias.blogspot.com/2014/08/tem-virada-em-parnaiba-ze-filho-42.html,PI,PIAUÍ,1,S,1.0,,,WILSON MARTINS ,"48,06",ELMANO FERRER,"23,79",ALDIR NUNES ,"1,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00081/2014,https://cocalnoticias.blogspot.com/2014/08/tem-virada-em-parnaiba-ze-filho-42.html,PI,PIAUÍ,1,DF,0.0,,,HERACLITO FORTES,"8,25",ASSIS CARVALHO,"3,64",REJANE DIAS ,"3,64",SILAS FREIRE,"2,43",RUBENS ,"2,43",PAES LANDIM,"2,18",HIGO NAPOLEOAO,"1,94",ATILA LIRA,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00088/2014,https://180graus.com/pesquisa-eleitoral/credibilidadeplanicie-litoranea-para-senador-wilsao-39-x-elmano-18,PI,PIAUÍ,1,G,,,,ZE FILHO ,"37,88",WELLINGTON DIAS ,"33,25",MAO SANTA ,"7,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00088/2014,https://180graus.com/pesquisa-eleitoral/credibilidadeplanicie-litoranea-para-senador-wilsao-39-x-elmano-18,PI,PIAUÍ,1,S,,,,WILSON MARTINS ,"39,62",ELMANO FERRER,18,GUSTAVO HENRIQUE ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00088/2014,https://180graus.com/pesquisa-eleitoral/credibilidadeplanicie-litoranea-para-senador-wilsao-39-x-elmano-18,PI,PIAUÍ,1,DF,,,,JULIO CESAR ,"4,12",IRACEMA PORTELA,"2,62",MARCELO CASTRO ,"2,5",ASSIS CARVALHO ,"2,5",ATILA LIRA ,"1,75",REJANE DIAS,"1,5",MERLONG SOLANO,"1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00088/2014,https://180graus.com/pesquisa-eleitoral/credibilidadeplanicie-litoranea-para-senador-wilsao-39-x-elmano-18,PI,PIAUÍ,1,DE,,,,JULIANA MORAES SOUZA,"10,62",TERERE,"5,88",ROBERT RIOS,"3,38",ZE HAMILTON,3,HELIO ISAIAS,2,FLORA ISABEL,1,ISMAR MARQUES ,1,LUCIANO NUNES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00093/2014,https://simnoticiasparnaiba.blogspot.com/2014/08/,PI,PIAUÍ,1,G,0.0,,,ZE FILHO ,"25,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00093/2014,https://simnoticiasparnaiba.blogspot.com/2014/08/,PI,PIAUÍ,1,G,1.0,,,ZE FILHO ,"30,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00094/2014,https://180graus.com/pesquisa-eleitoral/rejane-dias-e-iracema-portella-as-mulheres-dos-senadores-na-disputa,PI,PIAUÍ,1,DF,0.0,,,BRENNO ANDRADE ,"16,75",MARDEN MENEZES,"9,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00096/2012,https://parnaibanomundo.blogspot.com/2012/07/instituto-brvox-divulga-1-pesquisa-apos.html,PI,TERESINA,1,P,1.0,,,FIRMINO FILHO,"37,29",BETO REGO ,19,WELLINGTON DIAS ,"18,86",ELMANO FERRER,"15,29",DANIEL SOLON ,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00096/2012,https://parnaibanomundo.blogspot.com/2012/07/instituto-brvox-divulga-1-pesquisa-apos.html,PI,TERESINA,1,P,0.0,,,FIRMINO FILHO,"30,29",BETO REGO ,"12,57",ELMANO FERRER ,11,WELLINGTON DIAS ,"9,29",DANIEL SOLON ,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00099/2014,http://www.jornaldaparnaiba.com/2014/08/ze-filho-ja-ultrapassou-w-dias-tambem.html,PI,PIAUÍ,1,G,1.0,,,ZE FILHO ,"32,28",WELLINGTON DIAS ,"29,37",MAO SANTA ,"11,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00099/2014,http://www.jornaldaparnaiba.com/2014/08/ze-filho-ja-ultrapassou-w-dias-tambem.html,PI,PIAUÍ,1,G,0.0,,,ZE FILHO ,"13,83",WELLINGTON DIAS ,"10,44",MAO SANTA ,"1,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00100/2014,https://180graus.com/pesquisa-eleitoral/credibilidade-em-buriti-dos-lopes-juliana-13-robert-2-themistocles-1,PI,PIAUÍ,1,G,1.0,,,ZE FILHO ,"35,68",WELLINGTON DIAS ,"41,5",MAO SANTA ,"5,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00100/2014,https://180graus.com/pesquisa-eleitoral/credibilidade-em-buriti-dos-lopes-juliana-13-robert-2-themistocles-1,PI,PIAUÍ,1,G,0.0,,,ZE FILHO ,"29,85",WELLINGTON DIAS ,"37,14",MAO SANTA ,"5,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
