obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PE-07673/2016,https://giro.matanorte.com/destaques/fred-gadelha-anuncia-oficialmente-que-desiste-de-concorrer-reeleicao-em-goiana/,PE,GOIANA,1,P,0.0,,,Oswaldinho,19.0,Edval,11.0,Tenente Menezes,8.0,Fred Gadelha,3.0,Pauluca,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-08088/2016,https://blogdodjalmalopes.blogspot.com/2016/09/,PE,VICÊNCIA,1,P,,,,Guiga,68.0,Dija,18.0,Professora Ceça,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00004/2014,https://portaldobikanca.blogspot.com/2014/01/amostragem-registra-pesquisa-para-ser.html,PI,PIAUÍ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00007/2012,http://www.florianonews.com/noticias/politica/tres-empatam-na-disputa-pela-prefeitura-de-floriano-8063.html,PI,FLORIANO,1,P,1.0,,,Gilberto Júnior,19.33,Salomão Holanda,16.67,Silas Freire,15.0,Oscar Procópio,12.33,Enéas Maia,10.22,Ana Cleide,5.67,Antônio Reis,2.33,Joaquim Saraiva,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00007/2012,http://www.florianonews.com/noticias/politica/tres-empatam-na-disputa-pela-prefeitura-de-floriano-8063.html,PI,FLORIANO,1,P,0.0,,,Silas Freire,6.67,Oscar Procópio,6.67,Gilberto Júnior,4.33,Enéas Maia,4.33,Salomão Holanda,3.67,Joel Rodrigues,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00008/2012,https://www.meionorte.com/blogs/efremribeiro/bele-lidera-corrida-eleitoral-em-picos-199200,PI,PICOS,1,P,1.0,,,Belê Medeiros,36.33,Kleber Eulálio,22.0,Padre Valmir,17.33,Gleuton Portela,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00008/2012,https://www.meionorte.com/blogs/efremribeiro/bele-lidera-corrida-eleitoral-em-picos-199200,PI,PICOS,1,P,0.0,,,Belê Medeiros,17.33,Kleber Eulálio,9.67,Gil Paraibano ,7.67,Padre Valmir,4.33,Gleuton Portela ,2.33,Zé Nery ,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00014/2012,https://www.meionorte.com/blogs/efremribeiro/tres-pre-candidatos-estao-empatados-em-parnaiba-203201,PI,PARNAÍBA,1,P,1.0,,,João da Unimagem,25.67,Mão Santa,24.33,Florentino ,22.67,Tererê,10.67,Paulo Lages,6.33,Francisco Gomes ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00014/2012,https://www.meionorte.com/blogs/efremribeiro/tres-pre-candidatos-estao-empatados-em-parnaiba-203201,PI,PARNAÍBA,1,P,0.0,,,Mão Santa,13.0,Florentino,12.33,João da Unimagem,10.67,Zé Hamilton,5.0,Tererê,4.33,Paulo Lages,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00031/2014,https://gritador.com.br/noticia/2371/Nova-pesquisa-para-o-Senado-aponta-Wilsao-com-39--e-JVC-com-30-,PI,PIAUÍ,1,S,1.0,,,Wilson Martins,39.14,João Vicente Claudino,30.96,José Maia Filho (Mainha),9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00031/2014,https://portaldobikanca.blogspot.com/2014/04/pesquisa-amostragem-wellington-dias-tem.html,PI,PIAUÍ,1,G,1.0,,,Wellington Dias,51.28,Marcelo Castro,14.78,Mão Santa,14.25,QuemQuem,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00037/2014,https://blogdoprofessorjorgecamara.blogspot.com/2014/05/wellington-dias-lidera-nova-pesquisa-de.html,PI,PIAUÍ,1,G,,,,Wellington Dias,52.51,Mão Santa,13.9,Marcelo Castro,12.49,QuemQuem,1.67,Daniel Solon,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
