obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,RJ-04204/2018,https://noticias.bol.uol.com.br/ultimas-noticias/eleicoes/2018/10/07/boca-de-urna-pesquisa-ibope-rio.htm,RJ,RIO DE JANEIRO,1,S,,,,FLAVIO BOLSONARO,28.0,CESAR MAIA,18.0,AROLDE DE OLIVEIRA,14.0,LINDBERGH,12.0,CHICO ALENCAR,11.0,SENADOR EDUARDO LOPES,3.0,JOSE BONIFACIO,3.0,MIRO TEIXEIRA,3.0,ASPASIA,2.0,PASTOR EVERALDO,2.0,CYRO GARCIA,1.0,MATTOS NASCIMENTO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-05576/2016,http://jornalhorah.com.br/wp-content/uploads/2016/05/capa-2.pdf,RJ,NOVA IGUAÇU,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-05845/2016,https://veja.abril.com.br/brasil/ibope-boca-de-urna-mostra-aponta-crivella-como-prefeito-do-rio/,RJ,RIO DE JANEIRO,1,P,,,1.0,MARCELO CRIVELLA,57.0,MARCELO FREIXO,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-06174/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ibope/boca-de-urna-flavio-bolsonaro-lidera-disputa-para-o-senado-no-rj/,RJ,RIO DE JANEIRO,1,S,1.0,,1.0,FLAVIO BOLSONARO,28.0,CESAR MAIA,18.0,AROLDE DE OLIVEIRA,14.0,LINDBERGH,12.0,CHICO ALENCAR,11.0,JOSE BONIFACIO,3.0,MIRO TEIXEIRA,3.0,SENADOR EDUARDO LOPES,3.0,ASPASIA,2.0,PASTOR EVERALDO,2.0,CYRO CARGIA,1.0,MATTOS NASCIMENTO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-06174/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ibope/boca-de-urna-governo-rj-witzel-lidera-com-39-paes-tem-21/,RJ,RIO DE JANEIRO,1,G,1.0,,1.0,WILSON WITZEL,39.0,EDUARDO PAES,21.0,TARCISIO MOTTA,15.0,ROMARIO FARIA,9.0,INDIO,6.0,PEDRO FERNANDES,4.0,MARCIA TIBURI,4.0,MARCELO TRINDADE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-07788/2016,https://epocanegocios.globo.com/Brasil/noticia/2016/10/boca-de-urna-revela-marcelo-crivella-e-marcelo-freixo-na-disputa-do-segundo-turno.html,RJ,RIO DE JANEIRO,1,P,,,1.0,CRIVELLA,30.0,MARCELO FREIXO,20.0,PEDRO PAULO,15.0,FLAVIO BOLSONARO,12.0,INDIO DA COSTA,9.0,CARLOS ROBERTO OSORIO,7.0,JANDIRA FEGHALI,4.0,CARMEN MIGUELES,2.0,ALESSANDRO MOLEN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-00012/2014,http://www.ricardomorais.net/2014/08/,RN,RIO GRANDE DO NORTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-00215/2012,https://ultimosegundo.ig.com.br/politica/2012-10-06/ibope-candidato-do-pdt-venceria-no-1-turno-em-natal-com-51-dos-votos-validos.html,RN,NATAL,1,P,1.0,,,CARLOS EDUARDO,44.0,HERMANO MORAIS,18.0,FERNANDO MINEIRO,13.0,ROGERIO MARINHO,7.0,ROBERIO PAULINO,3.0,ROBERTO LOPES,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-05553/2018,https://wwwriachueloemacao.blogspot.com/2018/08/pesquisa-ibope-no-rn-fatima-bezerra-pt.html,RN,RIO GRANDE DO NORTE,1,G,0.0,,,FATIMA BEZERRA,20.0,CARLOS EDUARDO,9.0,ROBINSON FARIA,5.0,PROFESSOR CARLOS ALBERTO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-05553/2018,https://wwwriachueloemacao.blogspot.com/2018/08/pesquisa-ibope-no-rn-fatima-bezerra-pt.html,RN,RIO GRANDE DO NORTE,1,G,1.0,,,FATIMA BEZERRA,34.0,CARLOS EDUARDO,15.0,ROBINSON FARIA,8.0,PROFESSOR CARLOS ALBERTO,2.0,BRENNO QUEIROGA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
