obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,BR-05971/2018,https://www.youtube.com/watch?v=d0EZDjv2UcE,BR,BRASIL,1.0,PR,0.0,,,JAIR BOLSONARO,23,GERALDO ALCKMIN,5.0,JOAO AMOEDO,4.0,ALVARO DIAS,3.0,MARINA SILVA,3.0,CIRO GOMES,3.0,FERNANDO HADDAD,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05997/2018,https://media.infomoney.com.br/portal/XPPoll_%202018_06_01.pdf,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,21,FERNANDO HADDAD,11.0,MARINA SILVA,11.0,CIRO GOMES,9.0,GERALDO ALCKMIN,8.0,ALVARO DIAS,6.0,HENRIQUE MEIRELLES,2.0,MANUELA D'AVILA,2.0,GUILHERME BOULOS,1.0,FLAVIO ROCHA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05997/2018,https://media.infomoney.com.br/portal/XPPoll_%202018_06_01.pdf,BR,BRASIL,1.0,PR,1.0,,,LULA,30,JAIR BOLSONARO,20.0,MARINA SILVA,10.0,GERALDO ALCKMIN,7.0,CIRO GOMES,6.0,ALVARO DIAS,5.0,HENRIQUE MEIRELLES,2.0,JOAO AMOEDO,2.0,MANUELA D'AVILA,1.0,GUILHERME BOULOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05997/2018,https://media.infomoney.com.br/portal/XPPoll_%202018_06_01.pdf,BR,BRASIL,1.0,PR,0.0,,,JAIR BOLSONARO,14,LULA,14.0,CIRO GOMES,2.0,ALVARO DIAS,2.0,GERALDO ALCKMIN,2.0,MARINA SILVA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06002/2018,https://soldocarajas.blogspot.com/2018/10/pesquisa-da-tv-record-aponta-helder-com.html,BR,BRASIL,1.0,S,,,,JADER,40,ZEQUINHA,23.0,FLEXA,21.0,MARIO COUTO,16.0,ZE GERALDO,12.0,URSULA,11.0,SYDNEY,9.0,CORONEL OSMAR,6.0,JARBAS VASCONCELOS,5.0,WLAD,4.0,PROFESSOR GERSON,2.0,ANIVALDO VALE,2.0,FRANCISCO ALVES,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06002/2018,https://soldocarajas.blogspot.com/2018/10/pesquisa-da-tv-record-aponta-helder-com.html,BR,BRASIL,1.0,G,1.0,,,HELDER,50,MARCIO MIRANDA,19.0,PAULO ROCHA,11.0,FERNANDO CARNEIRO,2.0,CLEBER RABELO,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06233/2018,http://www.diariodigital.com.br/politica/eleicoes/175630/,BR,BRASIL,1.0,G,0.0,,,REINALDO AZAMBUJA,31,JUIZ ODILON,18.0,JUNIOR MOCHI,8.0,HUMBERTO AMADUCCI,1.0,MARCELO BLUMA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06233/2018,https://www.agorams.com.br/pesquisa-encomendada-pela-tv-record-mostra-azambuja-23-pontos-a-frente-de-odilon/,BR,BRASIL,1.0,G,1.0,,,REINALDO AZAMBUJA,44,JUIZ ODILON,21.0,JUNIOR MOCHI,10.0,HUMBERTO AMADUCCI,4.0,MARCELO BLUMA,2.0,JOAO ALFREDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06233/2018,https://www.bonitoinforma.com.br/cidades/confira-a-corrida-pelo-senado-em-pesquisa-de-hoje-04-de-outubro/26977/,BR,BRASIL,1.0,S,1.0,,,NELSON TRAD FILHO,33,ZECA DO PT,29.0,WALDEMIR MOKA,25.0,MARCELO MIGLIOLI,16.0,SERGIO HARFOUCHE,15.0,DELCIDIO AMARAL,13.0,SORAYA THRONICKE,13.0,ANISIO GUATO,2.0,THIAGO FREITAS,2.0,HUMBERTO FIGUEIRO,2.0,DORIVAL BETINI,2.0,GILMAR DA CRUZ,2.0,MARIO FONSECA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06509/2018,http://www.politicanarede.com/2018/10/em-pesquisa-xpipespe-bolsonaro-chega-41.html,BR,BRASIL,1.0,PR,0.0,,,JAIR BOLSONARO,33,FERNANDO HADDAD,16.0,CIRO GOMES,9.0,GERALDO ALCKMIN,4.0,JOAO AMOEDO,2.0,MARINA SILVA,2.0,ALVARO DIAS,1.0,HENRIQUE MEIRELLES,1.0,CABO DACIOLO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
