feito_por,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
FABRICIO,ES-02563/2018,https://www.aquinoticias.com/2018/06/em-disputa-acirrada-hartung-lidera-intencao-de-votos/,28500023000184,ES,ES,1,G,1.0,,,Paulo Hartung,0.305,Renato Casagrande,0.291,Rose de Freitas,0.068,Andre Moreira,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-02563/2018,https://www.elimarcortes.com.br/2018/06/29/pesquisa-enquetrede-sim-da-396-para/,28500023000184,ES,ES,1,G,1.0,,,Paulo Hartung,0.305,Renato Casagrande,0.291,Rose de Freitas,0.068,Andre Moreira,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-02563/2018,https://www.folhaonline.es/hartung-e-casagrande-empatados-tecnicamente-na-disputa-para-governo-do-estado/,28500023000184,ES,ES,1,G,1.0,,,Paulo Hartung,0.305,Renato Casagrande,0.291,Rose de Freitas,0.068,Andre Moreira,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-02563/2018,https://www.portal27.com.br/nova-pesquisa-confirma-empate-entre-hartung-e-casagrande/,28500023000184,ES,ES,1,G,1.0,,,Paulo Hartung,0.305,Renato Casagrande,0.291,Rose de Freitas,0.068,Andre Moreira,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-00011/2016,http://www.jornaldiariodonorte.com.br/noticias/junior-moreira-lidera-em-mambai-com-48-75-20090940,14538940000143,GO,94498,1,P,1.0,,,Junior Moreira,0.4875,Joaquim Barbosa,0.3781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-00011/2016,http://www.jornaldiariodonorte.com.br/noticias/junior-moreira-lidera-em-mambai-com-48-75-20090940,14538940000143,GO,94498,1,P,0.0,,,Junior Moreira,0.4188,Joaquim Barbosa,0.3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-01177/2016,http://www.hildodocandango.com.br/news/p:0/idp:601/nm:Hildo-do-Candango-lidera-pesquisa-para-Prefeitura-de-Aguas-Lindas/,14538940000143,GO,93343,1,P,1.0,,,Hildo do Candango,0.5076,Tullio,0.1973,Enio Tatico,0.1846, Geraldo,0.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-01177/2016,http://www.jornalaguaslindas.com.br/2016/09/jornal-opcao-divulga-pesquisa-e-hildo.html,14538940000143,GO,93343,1,P,1.0,,,Hildo do Candango,0.5076,Tullio,0.1973,Enio Tatico,0.1846, Geraldo,0.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-01177/2016,https://issuu.com/jornalprime/docs/jornal_prime_-_setembro_de_2016,14538940000143,GO,93343,1,P,1.0,,,Hildo do Candango,0.5076,Tullio,0.1973,Enio Tatico,0.1846, Geraldo,0.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-01177/2016,https://www.jornalopcao.com.br/ultimas-noticias/hildo-lidera-com-folga-disputa-pela-prefeitura-de-aguas-lindas-76421/,14538940000143,GO,93343,1,P,1.0,,,Hildo do Candango,0.5076,Tullio,0.1973,Enio Tatico,0.1846, Geraldo,0.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-02994/2016,http://www.jornaldiariodonorte.com.br/noticias/cristiano-lidera-de-ponta-a-ponta-e-tem-48-19-30091556,14538940000143,GO,94455,1,P,1.0,,,Cristiano Teixeira,0.4819,Agostinho,0.3659,Branco,0.1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
