tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MA-00029/2012,https://jornalpequeno.blog.br/johncutrim/pesquisa-exata-thalita-laci-lidera-com-vantagem-na-raposa/,63581458000100,MA,8168,1.0,P,0.0,,,TALITA LACI,23,CLODOMIR,19,MOREIRA,10,VALNEY,6,LACI,4,MARCIO GREIK,3,ASSUB,2,PARAIBA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00029/2012,https://jornalpequeno.blog.br/johncutrim/pesquisa-exata-thalita-laci-lidera-com-vantagem-na-raposa/,63581458000100,MA,8168,1.0,P,1.0,,,TALITA LACI,34,CLODOMIR,24,MOREIRA,15,VALNEY,10,ASSUB,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00034/2014,https://blogdozeorlando.blogspot.com/2014/08/dr-levi-pontes-lidera-as-intencoes-de.html,63581458000100,MA,MA,1.0,DE,,,,DR. LEVI,26,DANUBIA,19,PAULO NETO,15,CANDIDATO DO ISAIAS FORTES,13,ZE INACIO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00034/2014,https://foguinhomidia.blogspot.com/2014/08/rumo-vitoria-pesquisa-exata-mostra.html,63581458000100,MA,MA,1.0,DF,,,,DR. TALVANE,55,NONATO BALECO,14,CLEBER VERDE,6,CHIQUINHO ESCORCIO,3,SIMPLICIO ARAUJO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00034/2014,https://alexandre-pinheiro.blogspot.com/2014/08/flavio-dino-52-contra-19-de-edinho-em.html,63581458000100,MA,MA,1.0,G,,,,FLAVIO DINO,52,LOBAO FILHO,19,ANTONIO PEDROSA,1,JOSIVALDO CORREA,1,ZE LUIS LAGO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00034/2014,https://alexandre-pinheiro.blogspot.com/2014/08/flavio-dino-52-contra-19-de-edinho-em.html,63581458000100,MA,MA,1.0,S,,,,ROBERTO ROCHA,30,GASTAO VIEIRA,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00035/2014,https://jmcunhasantos.blogspot.com/2014_08_31_archive.html,63581458000100,BR,BR,1.0,G,0.0,,,FLAVIO DINO,30,LOBAO FILHO,13,ROSEANA SARNEY,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00035/2014,https://jmcunhasantos.blogspot.com/2014_08_31_archive.html,63581458000100,BR,BR,1.0,G,1.0,,,FLAVIO DINO,56,LOBAO FILHO,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00035/2014,http://www.willianmarinho.com.br/2014/08/,63581458000100,BR,BR,1.0,S,,,,ROBERTO ROCHA,28,GASTAO VIEIRA,21,HAROLDO SABOIA,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00038/2014,http://www.irmaoinaldo.com.br/2014_09_03_archive.html,63581458000100,BR,BR,1.0,G,0.0,,,FLAVIO DINO,34,LOBAO FILHO,14,ROSEANA SARNEY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
