url,tse_id,cidade,estado,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
http://www.jornaldodiase.com.br/noticias_ler.php?id=11835,BR-00263/2014,BRASIL,BR,1,S,,,,MARIA DO CARMO,53.0,ROGERIO CARVALHO,10.0,ANTONIO MARQUES,3.0,EDVALDO LEANDRO,2.0,MOACIR DA CRUZ SANTOS,1.0,,,,,,,,,,,,,,,,,,,,
http://www.jornaldodiase.com.br/noticias_ler.php?id=11835,BR-00263/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,51.0,AECIO NEVES,14.0,LUCIANA GENRO,1.0,JOSE MARIA,1.0,RUI COSTA PIMENTA,1.0,,,,,,,,,,,,,,,,,,,,
http://www.jornaldodiase.com.br/noticias_ler.php?id=11835,BR-00263/2014,BRASIL,BR,1,G,,,,JACKSON BARRETO,36.0,EDUARDO AMORIM,34.0,SONIA MEIRE,4.0,ALBERTO DOS SAANTOS,1.0,,,,,,,,,,,,,,,,,,,,,,
https://pesquisanaamazonia.blogspot.com/2014/09/cenario-das-pesquisas-eleitorais-na.html,BR-00355/2014,TOCANTINS,TO,1,PR,,,,DILMA ROUSSEFF,50.0,AECIO NEVES,17.0,EDUARDO CAMPOS,9.0,PASTOR EVERALDO,2.0,EDUARDO JORGE,1.0,ZÉ MARIA,0.0,LEVY FIDELIX,0.0,LUCIANA GENRO,0.0,RUI COSTA PIMENTA,0.0,EYMAEL,0.0,MAURO IASI,0.0,,,,,,,,
https://pesquisanaamazonia.blogspot.com/2014/09/cenario-das-pesquisas-eleitorais-na.html,BR-00355/2014,TOCANTINS,TO,1,S,,,,KATIA ABREU,44.0,EDUARDO GOMES,13.0,SARGENTO ARAGAO,11.0,JOEL MATOS,1.0,CELÇA,0.0,ELVIO QUIRINO,0.0,,,,,,,,,,,,,,,,,,
https://pesquisanaamazonia.blogspot.com/2014/09/cenario-das-pesquisas-eleitorais-na.html,BR-00355/2014,TOCANTINS,TO,1,G,,,,MARCELO MIIRANDA,52.0,SANDOVAL CARDOSO,22.0,ATAIDES OLIVEIRA,2.0,JOAQUIM ROCHA,1.0,POTENGY,0.0,LUIS CLAUDIO,0.0,,,,,,,,,,,,,,,,,,
https://www.ac24horas.com/2014/08/18/juiz-defere-liminar-para-suspender-a-divulgacao-de-nova-pesquisa-do-vox-populi/,BR-00384/2014,ACRE,AC,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://itnet.com.br/noticia/24828/dilma-lidera-pesquisa-em-sergipe-seguida-de-marina,BR-00509/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,47.0,MARINA SILVA,30.0,AECIO NEVES,6.0,PASTOR EVERALDO,3.0,,,,,,,,,,,,,,,,,,,,,,
https://www.ac24horas.com/2014/09/07/vox-populi-aponta-vitoria-de-sebastiao-no-primeiro-turno-glason-cameli-venceria-para-o-senado/,BR-00510/2014,BRASIL,BR,1,G,,,,SEBASTIAO VIANA,48.0,TIAO BOCALOM,18.0,MARCIO BITTAR,17.0,ANTONIO ROCHA,1.0,,,,,,,,,,,,,,,,,,,,,,
https://www.ac24horas.com/2014/09/07/vox-populi-aponta-vitoria-de-sebastiao-no-primeiro-turno-glason-cameli-venceria-para-o-senado/,BR-00510/2014,BRASIL,BR,1,S,,,,GLADSON CAMELI,40.0,PERPETUA ALMEIDA,32.0,ROBERTO DUARTE,3.0,FORTUNATO MARTINS,2.0,,,,,,,,,,,,,,,,,,,,,,
https://www.sul21.com.br/em-destaque/2014/09/dilma-vence-no-rs-e-disputa-para-governador-sera-decidida-no-segundo-turno/,BR-00557/2014,RIO GRANDE DO SUL,RS,1,S,1.0,,,LASTER MARTINS,28.0,OLIVIO DUTRA,27.0,SIMON,14.0,SIMONE LEITE,4.0,CIRO MACHADO,1.0,JULIO FLORES,1.0,,,,,,,,,,,,,,,,,,
https://www.sul21.com.br/em-destaque/2014/09/dilma-vence-no-rs-e-disputa-para-governador-sera-decidida-no-segundo-turno/,BR-00557/2014,RIO GRANDE DO SUL,RS,1,G,1.0,,,ANA AMELIA LEMOS,36.0,TARSO GENRO,26.0,JOSE IVO SARTORI,12.0,VIEIRA DA CUNHA,3.0,,,,,,,,,,,,,,,,,,,,,,
https://www.sul21.com.br/em-destaque/2014/09/dilma-vence-no-rs-e-disputa-para-governador-sera-decidida-no-segundo-turno/,BR-00557/2014,RIO GRANDE DO SUL,RS,1,PR,1.0,,,DILMA ROUSSEFF,38.0,MARINA SILVA,24.0,AECIO NEVES,20.0,,,,,,,,,,,,,,,,,,,,,,,,
https://noticias.r7.com/eleicoes-2014/minas-gerais/governo-de-mg-pimentel-tem-19-pontos-de-vantagem-sobre-pimenta-aponta-vox-brasil-09092014,BR-00569/2014,MINAS GERAIS,MG,1,PR,,,,DILMA ROUSSEFF,33.0,AECIO NEVES,25.0,MARINA SILVA,23.0,,,,,,,,,,,,,,,,,,,,,,,,
