obs,tse_id,url,,estado,sg_ue,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,DF-02176/2018,https://blogdopoliglota.com.br/2018/09/26/fraga-lidera-pesquisa-eleitoral-e-o-resultado-que-os-baroes-da-midia-recusam-a-divulgar/,3303870000128,DF,DF,1.0,PR,1.0,,,JAIR BOLSONARO,41.9,FERNANDO HADDAD,11.8,CIRO GOMES,9.4,MARINA SILVA,4.9,GERALDO ALCKMIN,4.2,JOAO AMOEDO,2.7,HENRIQUE MEIRELLES,2.3,ALVARO DIAS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-02709/2018,http://blogdofernandocorrea.com/2018/09/18/pesquisa-exclusiva-indica-eliana-pedrosa-na-frente-na-corrida-ao-buriti/,3303870000128,DF,DF,1.0,S,,,,CRISTOVAM BUARQUE,27.6,LEILA DO VOLEI,18.1,IZALCI LUCAS,13.6,CHICO LEITE,12.9,WASNY DE ROURE,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-02709/2018,http://blogdofernandocorrea.com/2018/09/18/pesquisa-exclusiva-indica-eliana-pedrosa-na-frente-na-corrida-ao-buriti/,3303870000128,DF,DF,1.0,G,0.0,,,ELIANA PEDROSA,5.9,FRAGA,5.0,ROLLEMBERG,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-02709/2018,http://blogdofernandocorrea.com/2018/09/18/pesquisa-exclusiva-indica-eliana-pedrosa-na-frente-na-corrida-ao-buriti/,3303870000128,DF,DF,1.0,G,1.0,,,ELIANA PEDROSA,17.2,FRAGA,13.1,ROLLEMBERG,11.5,ROGERIO ROSSO,9.9,IBANEIS ROCHA,5.7,GENERAL PAULO CHAGAS,3.4,ALEXANDRE GUERRA,2.9,JULIO MIRAGAYA,2.5,FATIMA SOUSA,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Todos os candidatos amostrados possuem conexão militar - ""corporação""",DF-04405/2018,https://aderivaldo23.com/noticias/pesquisa-apenas-5-de-pms-e-bombeiros-do-df-reelegeriam-rollemberg/,3303870000128,DF,DF,1.0,DE,1.0,,,SUBTENENTE ROOSEVELT VILELA,13.2,TENENTE RENILSON,8.2,SARGENTO TOMAZ,6.8,SARGENTO JABA,5.6,RICARDO PATO,4.1,SARGENTO JAIR DIAS,3.9,CABO WANDO LOBATO,2.7,SUBTENENTE JOAO HERMETO,2.3,GUARDA JANIO MARQUES,2.1,JOAO DE DEUS,1.7,SARGENTO AILTON MIRANDA,1.7,EDLEUZA PAIVA,1.7,SARGENTO ABRANTES,1.4,SARGENTO ADERIVALDO CARDOSO,1.0,SUBTENENTE REIS,1.0,SUBTENENTE GERALDO ALVES,1.0,SUBTENENTE SERGINHO DAMASCENO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Todos os candidatos amostrados possuem conexão militar - ""corporação""",DF-04405/2018,https://aderivaldo23.com/noticias/pesquisa-apenas-5-de-pms-e-bombeiros-do-df-reelegeriam-rollemberg/,3303870000128,DF,DF,1.0,DF,1.0,,,SARGENTO WILL GODOY,13.2,RICARDO PATO,6.0,MAJOR CRUZ,4.7,SARGENTO ELIOMAR RODRIGUES DE SOUZA,3.9,CORONEL ABOUD,3.7,SUBTENENTE PEDRO DANTAS,3.5,SARGENTO ADERIVALDO CARDOSO,3.1,CORONEL NEVITON SANGUE BOM,3.1,TENENTE RAJAO,2.9,SARGENTO ANGELICA,2.3,SARGENTO CLISTENES,1.9,SARGENTO ADRIANO,1.7,CABO WILSON NOBRE,1.6,SARGENTO ROBERTO TIM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-04405/2018,https://aderivaldo23.com/noticias/pesquisa-apenas-5-de-pms-e-bombeiros-do-df-reelegeriam-rollemberg/,3303870000128,DF,DF,1.0,G,1.0,,,FRAGA,28.5,JOFRAN FREJAT,21.7,GENERAL PAULO CHAGAS,9.9,RODRIGO ROLLEMBERG,5.0,IZALCI,2.3,CORONEL LEAO,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-04405/2018,https://aderivaldo23.com/noticias/pesquisa-apenas-5-de-pms-e-bombeiros-do-df-reelegeriam-rollemberg/,3303870000128,DF,DF,1.0,S,1.0,,,FRAGA,42.3,CRISTOVAM BUARQUE,23.5,JOFRAN FREJAT,19.4,WASNY DE ROURE,15.3,CHICO LEITE,7.2,CORONEL LEAO,3.9,JOE VALLE,3.1,PAULO OCTAVIO,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-04405/2018,https://aderivaldo23.com/noticias/pesquisa-apenas-5-de-pms-e-bombeiros-do-df-reelegeriam-rollemberg/,3303870000128,DF,DF,1.0,PR,1.0,,,JAIR BOLSONARO,74.0,LULA,5.4,CIRO GOMES,3.5,ALVARO DIAS,1.2,MARINA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-07395/2018,https://www.blogdoevandomoreira.com/pesquisa-ibope-no-distrito-federal-eliana-22-fraga-14-rollemberg-11-rosso-10/,3303870000128,DF,DF,1.0,G,0.0,,,ELIANA PEDROSA,12.0,ALBERTO FRAGA,10.0,RODRIGO ROLLEMBERG,7.0,ROGERIO ROSSO,7.0,IBANEIS,6.0,GENERAL PAULO CHAGAS,2.0,MIRAGAYA,2.0,FATIMA SOUSA,1.0,ALEXANDRE GUERRA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-07395/2018,https://www.blogdoevandomoreira.com/pesquisa-ibope-no-distrito-federal-eliana-22-fraga-14-rollemberg-11-rosso-10/,3303870000128,DF,DF,1.0,G,1.0,,,ELIANA PEDROSA,22.0,ALBERTO FRAGA,14.0,RODRIGO ROLLEMBERG,11.0,ROGERIO ROSSO,10.0,IBANEIS,9.0,GENERAL PAULO CHAGAS,5.0,ALEXANDRE GUERRA,3.0,MIRAGAYA,3.0,FATIMA SOUSA,1.0,RENAN SOUSA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-07395/2018,https://www.ibopeinteligencia.com/noticias-e-pesquisas/no-distrito-federal-disputa-permanece-estavel-com-eliana-pedrosa-na-lideranca-e-segundo-colocado-indefinido/,3303870000128,DF,DF,1.0,PR,0.0,,,JAIR BOLSONARO,35.0,CIRO GOMES,8.0,FERNANDO HADDAD,8.0,MARINA SILVA,4.0,LULA,3.0,GERALDO ALCKMIN,2.0,JOAO AMOEDO,2.0,HENRIQUE MEIRELLES,2.0,ALVARO DIAS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-07395/2018,https://www.ibopeinteligencia.com/noticias-e-pesquisas/no-distrito-federal-disputa-permanece-estavel-com-eliana-pedrosa-na-lideranca-e-segundo-colocado-indefinido/,3303870000128,DF,DF,1.0,PR,1.0,,,JAIR BOLSONARO,39.0,CIRO GOMES,12.0,FERNANDO HADDAD,11.0,MARINA SILVA,9.0,GERALDO ALCKMIN,4.0,HENRIQUE MEIRELLES,2.0,JOAO AMOEDO,2.0,ALVARO DIAS,1.0,JOAO GOULART,1.0,CABO DACIOLO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-07395/2018,https://www.ibopeinteligencia.com/noticias-e-pesquisas/no-distrito-federal-disputa-permanece-estavel-com-eliana-pedrosa-na-lideranca-e-segundo-colocado-indefinido/,3303870000128,DF,DF,1.0,S,0.0,,,LEILA DO VOLEI,13.0,CRISTOVAM BUARQUE,11.0,IZALCI,8.0,WASNY,5.0,CHICO LEITE,4.0,FADI FARAJ,3.0,PAULO ROQUE,1.0,JUIZ EVERALDO RIBEIRO,1.0,MARCELO NEVES,1.0,FERNANDO MARQUES,1.0,MARIVALDO PEREIRA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-07395/2018,https://www.ibopeinteligencia.com/noticias-e-pesquisas/no-distrito-federal-disputa-permanece-estavel-com-eliana-pedrosa-na-lideranca-e-segundo-colocado-indefinido/,3303870000128,DF,DF,1.0,S,1.0,,,LEILA DO VOLEI,25.0,CRISTOVAM BUARQUE,20.0,IZALCI,19.0,CHICO LEITE,11.0,WASNY,11.0,FADI FARAJ,7.0,MARCELO NEVES,4.0,PAULO ROQUE,3.0,HELIO QUEIROZ,2.0,JUIZ EVERALDO RIBEIRO,2.0,PROFESSORA AMABILE,2.0,CHICO SANT'ANNA,2.0,BRIGADEIRO ATILA MAIA,2.0,FERNANDO MARQUES,2.0,MARIVALDO PEREIRA,2.0,DANILO MATOSO,1.0,JOAO PEDRO FERRAZ,1.0,ROBSON,1.0,WALLISSON NASCIMENTO,1.0,ROMILDA TEIXEIRA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00183/2014,https://diariodegoias.com.br/em-questionario-empresa-de-pesquisa-erra-o-nome-de-candidato-ao-governo/,3303870000128,GO,GO,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00222/2012,https://issuu.com/jmunicipios1/docs/jmunicipios,3303870000128,GO,94730,1.0,P,0.0,,,ROGERIO,51.1,TIAGO,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00222/2012,https://issuu.com/jmunicipios1/docs/jmunicipios,3303870000128,GO,94730,1.0,P,1.0,,,ROGERIO,60.0,TIAGO,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00225/2012,https://vdocuments.mx/jornal-dos-municipios-edicao-de-setembro.html,3303870000128,GO,94595,1.0,P,1.0,,,AGENOR,49.8,DRA. IVANE,19.9,JUNIOR DA CINTRO CINCO,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00225/2012,https://vdocuments.mx/jornal-dos-municipios-edicao-de-setembro.html,3303870000128,GO,94595,1.0,P,0.0,,,AGENOR,43.4,JUNIOR DA CINTRO CINTO,15.3,DR. IVANE,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00255/2012,https://issuu.com/jmunicipios1/docs/jmunicipios,3303870000128,GO,92118,1.0,P,0.0,,,ALAN BARBOSA,46.9,EDMAR,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00255/2012,https://issuu.com/jmunicipios1/docs/jmunicipios,3303870000128,GO,92118,1.0,P,1.0,,,ALAN BARBOSA,52.6,EDMAR,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00300/2012,https://issuu.com/jmunicipios1/docs/jmunicipios,3303870000128,GO,95630,1.0,P,0.0,,,PAULO CESAR MARTINS,41.0,ODAIR REZENDE,34.7,STENIO RODRIGUES,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00300/2012,https://issuu.com/jmunicipios1/docs/jmunicipios,3303870000128,GO,95630,1.0,P,1.0,,,PAULO CESAR MARTINS,46.0,ODAIR REZENDE,36.9,STENIO RODRIGUES,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00453/2012,https://folhadegoias.blogspot.com/2012_09_30_archive.html,3303870000128,GO,93300,1.0,P,1.0,,,PROFESSORA LUCIMAR,46.0,LEDA BORGES,40.8,ADOLFO LOPES,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00453/2012,https://folhadegoias.blogspot.com/2012_09_30_archive.html,3303870000128,GO,93300,1.0,P,0.0,,,PROFESSORA LUCIMAR,38.3,LEDA BORGES,35.1,ADOLFO LOPES,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
