tse_id,instituto,estado,cidade,estimulada,vv,position,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
BR-00007/2014,DATAFOLHA,SP,SÃO PAULO,1.0,,PR,DILMA ROUSSEFF,23,AECIO NEVES,20,EDUARDO CAMPOS,6,PASTOR EVERALDO PEREIRA,4,MAGNO MALTA,3,JOSE MARIA,2,EDUARDO JORGE,1,DENISE ABREU,1,EYMAEL,1,LEVY FIDELIX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00007/2014,DATAFOLHA,SP,SÃO PAULO,1.0,,PR,LULA,33,AECIO NEVES,20,EDUARDO CAMPOS,6,PASTOR EVERALDO PEREIRA,3,MAGNO MALTA,3,JOSE MARIA,1,EDUARDO JORGE,1,LEVY FIDELIX,1,MAURO IASI,1,EYMAEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00064/2014,DATAFOLHA,BR,BRASIL,0.0,,PR,DILMA ROUSSEFF,20,MARINA SILVA,3,LULA,3,AECIO NEVES,3,EDUARDO CAMPOS,2,MENOS NO CANDIDATO DO PT/MENOS NA DILMA/,1,NO MESMO/NO QUE ESTÁ,1,JOAQUIM BARBOSA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00064/2014,DATAFOLHA,BR,BRASIL,1.0,,PR,DILMA ROUSSEFF,38,AECIO NEVES,16,EDUARDO CAMPOS,10,PASTOR EVERALDO PEREIRA,2,DENISE ABREU,1,JOSE MARIA,1,EDUARDO JORGE,1,LEVY FIDELIX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-08704/2016,DATAFOLHA,PE,RECIFE,0.0,,P,GERALDO JULIO,32,JOAO PAULO,19,DANIEL COELHO,10,PRISCILA KRAUSE,2,EDILSON SILVA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-08704/2016,DATAFOLHA,PE,RECIFE,1.0,,P,GERALDO JULIO,38,JOAO PAULO,26,DANIEL COELHO,14,PRISCILA KRAUSE,3,EDILSON SILVA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-04534/2016,DATAFOLHA,PE,RECIFE,0.0,,P,GERALDO JULIO,29,JOAO PAULO,22,DANIEL COELHO,8,PRISCILA KRAUSE,2,EDILSON SILVA,1,ATUAL PREFEITO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-04534/2016,DATAFOLHA,PE,RECIFE,1.0,,P,GERALDO JULIO,38,JOAO PAULO,29,DANIEL COELHO,13,PRISCILA KRAUSE,3,EDILSON SILVA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-05425/2016,DATAFOLHA,MG,BELO HORIZONTE,0.0,,P,JOAO LEITE,20,KALIL,13,DELIO MALHEIROS,3,RODRIGO PACHECO,3,REGINALDO LOPES,2,EROS BIONDINI,2,SARGENTO RODRIGUES,1,LUIS TIBE,1,MARIA DA CONSOLAÇÃO,1,MARCELO ALVARO ANTONIO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-05425/2016,DATAFOLHA,MG,BELO HORIZONTE,1.0,,P,JOAO LEITE,32,KALIL,18,DELIO MALHEIROS,6,RODRIGO PACHECO,5,REGINALDO LOPES,4,LUIS TIBE,3,EROS BIONDINI,3,MARIA DA CONSOLAÇÃO,3,SARGENTO RODRIGUES,2,MARCELO ALVARO ANTONIO,2,VANESSA PORTUGAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-00573/2016,DATAFOLHA,SP,SÃO PAULO,0.0,,P,JOAO DORIA,18,CELSO RUSSOMANO,14,MARTA,12,FERNANDO HADDAD,7,LUIZA ERUNDINA,3,MAJOR OLIMPIO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-00573/2016,DATAFOLHA,SP,SÃO PAULO,1.0,,P,JOAO DORIA,25,CELSO RUSSOMANO,22,MARTA,20,FERNANDO HADDAD,10,LUIZA ERUNDINA,5,MAJOR OLIMPIO,2,LEVY FIDELIX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
