tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MT-00077/2012,https://professoramariadalva.blogspot.com/2012/07/pivetta-lidera-intencao-de-votos-em.html,3973340000197,MT,90603,1.0,P,0.0,,,OTAVIANO PIVETTA,"31,7",ROGERIO FERRARIN ,"19,3",MARINO FRANZ,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00145/2012,https://issuu.com/almeidanetto/docs/multyclic,3973340000197,MT,90603,1.0,P,1.0,,,OTAVIANO PIVETTA,"47,07",ROGERIO FERRARIN ,"36,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00145/2012,https://issuu.com/almeidanetto/docs/multyclic,3973340000197,MT,90603,1.0,P,0.0,,,OTAVIANO PIVETTA,"38,8",ROGERIO FERRARIN ,"36,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00455/2012,https://docplayer.com.br/6863438-Pesquisa-eleitoral-nova-ubirata-mt-assunto-eleicoes-2012.html,3973340000197,MT,90883,1.0,P,0.0,,,VALDENIR SANTOS,"51,6",MARCO FELIPE,"27,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00455/2012,https://docplayer.com.br/6863438-Pesquisa-eleitoral-nova-ubirata-mt-assunto-eleicoes-2012.html,3973340000197,MT,90883,1.0,P,1.0,,,VALDENIR SANTOS,"55,6",MARCO FELIPE,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00885/2016,http://circuitomt.com.br/editorias/politica/93473-rosana-martinelli-e-roberto-dorner-estao-empatados-tecnicamente.html,3973340000197,MT,89850,1.0,P,1.0,,,ROSANA MARTINELLI,"35,1",ROBERTO DORNER,"31,1",DALTO MARTINI,"21,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00885/2016,http://circuitomt.com.br/editorias/politica/93473-rosana-martinelli-e-roberto-dorner-estao-empatados-tecnicamente.html,3973340000197,MT,89850,1.0,P,0.0,,,ROSANA MARTINELLI,"32,9",ROBERTO DORNER,"28,4",DALTO MARTINI,"19,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-01638/2016,http://www.gcnoticias.com.br/politica/pesquisa-real-dados-coloca-rosana-com-395-e-dorner-com-288/32066784,3973340000197,MT,89850,1.0,P,1.0,,,ROSANA MARTINELLI,"39,5",ROBERTO DORNER,"28,8",DALTO MARTINI,"12,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-01638/2016,https://matogrossomais.com.br/2016/09/15/distancia-de-rosana-martinelli-para-roberto-dorner-cai-para-10-e-eleicao-em-sinop-fica-indefenida/,3973340000197,MT,89850,1.0,P,0.0,,,ROSANA MARTINELLI,"36,5",ROBERTO DORNER,"25,9",DALTO MARTINI,"10,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-02630/2016,http://www.roteironoticias.com.br/2016/09/real-dados-aponta-erico-na-lideranca.html,3973340000197,MT,99058,1.0,P,1.0,,,ERICO ,"25,7",NABSON NATTAN,"23,7",LAURINHO,"19,7",MARCELAO,"13,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-03713/2016,https://www.expressomt.com.br/noticia/pesquisa-pivetta-aparece-com-50-4-das-intencoes-de-votos-e-binotti-com-38-4/164776,3973340000197,MT,90603,1.0,P,1.0,,,OTAVIANO PIVETTA,"50,4",LUIZ BINOTTI,"38,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-03713/2016,https://www.expressomt.com.br/noticia/pesquisa-pivetta-aparece-com-50-4-das-intencoes-de-votos-e-binotti-com-38-4/164776,3973340000197,MT,90603,1.0,P,0.0,,,OTAVIANO PIVETTA,"48,8",LUIZ BINOTTI,"35,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-04028/2016,https://www.expressomt.com.br/noticia/pesquisa-aponta-otaviano-pivetta-com-70-5-das-intencoes-de-votos/163153,3973340000197,MT,90603,1.0,P,1.0,,,OTAVIANO PIVETTA,"57,3",LUIZ BINOTTI,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-04028/2016,https://www.expressomt.com.br/noticia/pesquisa-aponta-otaviano-pivetta-com-70-5-das-intencoes-de-votos/163153,3973340000197,MT,90603,1.0,P,0.0,,,OTAVIANO PIVETTA,"50,3",LUIZ BINOTTI,"18,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-04139/2016,http://www.gcnoticias.com.br/politica/nova-pesquisa-aponta-rosana-46-dorner-24-e-dalton-10/31582272,3973340000197,MT,89850,1.0,P,1.0,,,ROSANA MARTINELLI,46,ROBERTO DORNER,24,DALTO MARTINI,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-04139/2016,http://www.gcnoticias.com.br/politica/nova-pesquisa-aponta-rosana-46-dorner-24-e-dalton-10/31582272,3973340000197,MT,89850,1.0,P,0.0,,,ROSANA MARTINELLI,"38,4",ROBERTO DORNER,19,DALTO MARTINI,"7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-04239/2016,http://www.altanoticias.com/2016/10/pesquisa-encomendada-por-site-aponta.html,3973340000197,MT,89877,1.0,P,1.0,,,MARIA IZAURA,"48,8",ASIEL BEZERRA,"30,6",OLIVEIRA DIAS,"6,4",EDINHO PAIVA,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-04239/2016,http://www.altanoticias.com/2016/10/pesquisa-encomendada-por-site-aponta.html,3973340000197,MT,89877,1.0,P,0.0,,,MARIA IZAURA,"44,8",ASIEL BEZERRA,"27,6",OLIVEIRA DIAS,"4,8",EDINHO PAIVA,"2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-05021/2016,https://www.sonoticias.com.br/politica/sinop-real-dados-divulga-nova-pesquisa-e-aponta-eleicao-indefinida-entre-rosana-e-dorner/,3973340000197,MT,89850,1.0,P,1.0,,,ROSANA MARTINELLI,38,ROBERTO DORNER,28,DALTON MARTINI,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-05021/2016,https://www.sonoticias.com.br/politica/sinop-real-dados-divulga-nova-pesquisa-e-aponta-eleicao-indefinida-entre-rosana-e-dorner/,3973340000197,MT,89850,1.0,P,0.0,,,ROSANA MARTINELLI,36,ROBERTO DORNER,24,DALTON MARTINI,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-05069/2016,https://www.calameo.com/books/00054504638f86dbaebc0,3973340000197,MT,90620,1.0,P,1.0,,,VALTINHO MIOTTO,"57,4",CELSO COSTIN,"18,6",PROFESSOR NEEMIAS,"6,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-05069/2016,https://www.calameo.com/books/00054504638f86dbaebc0,3973340000197,MT,90620,1.0,P,0.0,,,VALTINHO MIOTTO,47,CELSO COSTIN,"14,2",PROFESSOR NEEMIAS,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-06142/2016,https://www.sonoticias.com.br/politica/real-dados-aponta-rossato-com-46-e-lafin-com-397-em-sorriso/,3973340000197,MT,98930,1.0,P,1.0,,,DILCEU ROSSATO,46,ARI LAFIN,"39,7",JUNIOR PE NO CHAO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-06142/2016,https://www.sonoticias.com.br/politica/real-dados-aponta-rossato-com-46-e-lafin-com-397-em-sorriso/,3973340000197,MT,98930,1.0,P,0.0,,,DILCEU ROSSATO,"42,7",ARI LAFIN,37,JUNIOR PE NO CHAO,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07645/2016,https://www.sonoticias.com.br/politica/real-dados-aponta-rodrigo-com-61-e-olidio-315-das-intencoes-de-votos-em-santa-carmem/,3973340000197,MT,90107,1.0,P,1.0,,,RODRIGO DO POSTO ,61,OLIDIO BORTOLAS,"31,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07645/2016,https://www.sonoticias.com.br/politica/real-dados-aponta-rodrigo-com-61-e-olidio-315-das-intencoes-de-votos-em-santa-carmem/,3973340000197,MT,90107,1.0,P,0.0,,,RODRIGO DO POSTO ,60,OLIDIO BORTOLAS,"31,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07720/2018,https://www.sonoticias.com.br/politica/real-dados-aponta-empate-em-sinop-para-governador-nilson-lidera-ao-senado-e-juarez-a-federal/,3973340000197,MT,MT,1.0,G,0.0,,,MAURO MENDES,13,WELLINGTON FAGUNDES,"10,2",PEDRO TAQUES,"3,6",ARTHUR NOGUEIRA,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07720/2018,https://www.sonoticias.com.br/politica/real-dados-aponta-empate-em-sinop-para-governador-nilson-lidera-ao-senado-e-juarez-a-federal/,3973340000197,MT,MT,1.0,G,1.0,,,MAURO MENDES,"25,4",WELLINGTON FAGUNDES,21,PEDRO TAQUES,9,ARTHUR NOGUEIRA,2,MOISES FRANZ,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07720/2018,https://www.sonoticias.com.br/politica/real-dados-aponta-empate-em-sinop-para-governador-nilson-lidera-ao-senado-e-juarez-a-federal/,3973340000197,MT,MT,1.0,S,1.0,,,LEITAO ,"24,1",JAYME CAMPOS,"10,2",PROFESSORA MARIA LUCIA,"6,9",CARLOS FAVARO,"5,3",JUIZA SELMA ARRUDA,"4,4",PROCURADOR MAURO,"3,1",ADILTON SACHETTI,"2,9",SEBASTIAO CARLOS,"0,9",GILBERTO LOPES FILHO,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07720/2018,https://www.sonoticias.com.br/politica/real-dados-aponta-empate-em-sinop-para-governador-nilson-lidera-ao-senado-e-juarez-a-federal/,3973340000197,MT,MT,1.0,DF,1.0,,,JUAREZ ,"25,8",DILMAIR CALLEGARO,"4,2",VICTORIO GALLI,"1,4",JOSE MEDEIROS,"0,8",JUIZA SELMA ARRUDA,"4,4",PROCURADOR MAURO,"3,1",ADILTON SACHETTI,"2,9",SEBASTIAO CARLOS,"0,9",GILBERTO LOPES FILHO,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
