outro_id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
RN-08199/2018,BR-04763/2018,https://politicanapauta.blogspot.com/2018/07/,BR,BRASIL,1.0,G,0.0,,,CARLOS EDUARDO,"6,1",ROBINSON FARIA,"2,91",FATIMA BEZERRA,"8,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-04763/2018,https://rabiscosdosamueljunior.blogspot.com/2018/07/pesquisa-fierncertus-fatima-bezerra.html,BR,BRASIL,1.0,PR,1.0,,,ALVARO DIAS,"1,13",CIRO GOMES,"5,39",GERALDO ALCKMIN,"1,06",JAIR BOLSONARO,"8,16",LULA,"47,02",MARINA SILVA,"2,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-08199/2018,BR-04763/2018,https://rabiscosdosamueljunior.blogspot.com/2018/07/pesquisa-fierncertus-fatima-bezerra.html,BR,RIO GRANDE DO NORTE,1.0,G,1.0,,,Fátima Bezerra,29.15,Carlos Eduardo ,15.39,Robinson Faria,6.31,Fabia Dantas,1.7,Carlos Alberto,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-04070/2018,BR-05145/2018,https://guamarenews.com/pesquisas-confira-os-numeros-das-cinco-ultimas-pesquisas-eleitorais-no-rn-para-governo-e-presidencia/,BR,RIO GRANDE DO NORTE,1.0,G,1.0,,1.0,Fátima Bezerra,"53,5",Carlos Eduardo ,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05145/2018,https://guamarenews.com/pesquisas-confira-os-numeros-das-cinco-ultimas-pesquisas-eleitorais-no-rn-para-governo-e-presidencia/,BR,BRASIL,1.0,PR,,,1.0,FERNANDO HADDAD,"56,5",JAIR BOLSONARO,"43,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,BR-07862/2018,http://www.blogdosilverioalves.com/2018/09/pesquisa-fierncertus-fatima-lidera-com.html,BR,RIO GRANDE DO NORTE,1.0,G,1.0,,,Fátima Bezerra,"32,84",Carlos Eduardo ,"15,74",Robinson Faria,8.37,Queiroga,"1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,BR-07862/2018,https://defato.com/cesarsantos/60970/certus-ftima-mantm-liderana-e-carlos-eduardo-o-segundo,BR,BRASIL,1.0,G,0.0,,,Fátima Bezerra,"16,88",CARLOS EDUARDO,"7,16",ROBINSON FARIA,"3,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-06196/2018,BR-07862/2018,https://fernando-averdade.blogspot.com/2018/09/pesquisa-certusfiern-senado-disputa.html,BR,BRASIL,1.0,S,1.0,,,CAP. STYVENSON,"10,85",GARIBALDI FILHO,"10,39",GERALDO MELO,"7,41",ZENAIDE MAIA,"8,48",ANTONIO JACOME,"3,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-07862/2018,https://www.rosaliearruda.com/2018/09/pesquisa-fiern-59-dos-eleitores-de-lula.html,BR,BRASIL,1.0,PR,1.0,,,LULA,"50,21",JAIR BOLSONARO,"13,62",CIRO GOMES,"4,61",MARINA SILVA,"3,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01096/2018,BR-08786/2018,http://www.caraubasnews.com/2018/05/pesquisa-certusfiern-fatima-lidera-para.html,BR,RIO GRANDE DO NORTE,1.0,G,1.0,,,Fátima Bezerra,25.6,Carlos Eduardo ,14.5,Robinson Faria,8.8,Geraldo Melo ,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-08786/2018,http://www.radarhoje.com/2018/05/pesquisa-mostra-fatima-garibaldi-e-ciro.html,BR,BRASIL,1.0,PR,1.0,,,CIRO GOMES,"11,43",CANDIDATO DO PT,"11,59",MARINA SILVA,"9,02",JAIR BOLSONARO,"3,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01096/2018,BR-08786/2018,http://www.radarhoje.com/2018/05/pesquisa-mostra-fatima-garibaldi-e-ciro.html,BR,BRASIL,1.0,S,1.0,,,GARIBALDI ALVES,25.18,JOSE AGRIPINO,23.259999999999998,ZENAIDE MAIA,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-08786/2018,https://blogdachris.com/post/coluna-da-chris/1461/,BR,BRASIL,1.0,PR,1.0,,,LULA,"40,07",JAIR BOLSONARO,"7,73",CIRO GOMES,"2,98",MARINA SILVA,"2,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-02652/2016,https://ambrosiosantos.blogspot.com/2016/09/duas-pesquisas-registradas-em-barbalha.html,CE,BARBALHA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00033/2014,https://chiquinhodornas.blogspot.com/2014/08/pesquisa-verita-marina-silva-venceria.html,DF,DISTRITO FEDERAL,1.0,G,,,1.0,JOSE ROBERTO ARRUDA,"44,5",RODRIGO ROLLEMBERG,"23,2",AGNELO QUEIROZ,"22,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00412/2014,DF-00033/2014,https://chiquinhodornas.blogspot.com/2014/08/pesquisa-verita-marina-silva-venceria.html,DF,DISTRITO FEDERAL,1.0,PR,,,1.0,MARINA SILVA,"43,8",DILMA ROUSSEFF,"26,6",AECIO NEVES,"25,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00033/2014,https://liranoticias.blogspot.com/2014/,DF,DISTRITO FEDERAL,1.0,DE,0.0,,,JORDENES,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00048/2014,https://www.brasil247.com/regionais/brasilia/verita-reguffe-tem-23-pontos-a-frente-de-magela,DF,DISTRITO FEDERAL,1.0,S,1.0,,,Reguffe,40.4,Magela,17.5,Argello,14.2,Quezado,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00076/2014,https://www.brasil247.com/regionais/brasilia/rollemberg-abre-23-pontos-da-vantagem-sobre-frejat,DF,DISTRITO FEDERAL,1.0,G,1.0,,1.0,Rollemberg,61.7,Frejat,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
