obs,outro id,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,GO-00065/2014,BR-00380/2014,https://www.jornalopcao.com.br/reportagens/tendencia-de-crescimento-de-marconi-e-estagnacao-dos-demais-candidatos-abre-chance-de-vitoria-1o-turno-12726/,5850850000100,BR,BRASIL,1,G,1.0,,,MARCONI PERILLO,38,IRIS REZENDE,26,VANDERLAN CARDOSO,8,ANTONIO GOMIDE,7,MARTA JANE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00065/2014,BR-00380/2014,https://www.jornalopcao.com.br/reportagens/tendencia-de-crescimento-de-marconi-e-estagnacao-dos-demais-candidatos-abre-chance-de-vitoria-1o-turno-12726/,5850850000100,BR,BRASIL,1,G,0.0,,,MARCONI PERILLO,24,IRIS REZENDE,12,VANDERLAN CARDOSO,4,ANTONIO GOMIDE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00117/2014,BR-00599/2014,https://www.emaisgoias.com.br/marconi-cresce-4-pontos-e-tem-41-diante-de-26-de-iris-rezende-aponta-pesquisa-fortiori/,5850850000100,BR,BRASIL,1,G,0.0,,,MARCONI PERILLO,30,IRIS REZENDE,17,VANDERLAN CARDOSO,6,ANTONIO GOMIDE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00117/2014,BR-00599/2014,https://www.emaisgoias.com.br/marconi-cresce-4-pontos-e-tem-41-diante-de-26-de-iris-rezende-aponta-pesquisa-fortiori/,5850850000100,BR,BRASIL,1,G,1.0,,,MARCONI PERILLO,41,IRIS REZENDE,26,VANDERLAN CARDOSO,8,ANTONIO GOMIDE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00131/2014,BR-00728/2014,http://www.blogdosergiovieira.com.br/2014/09/,5850850000100,BR,BRASIL,1,G,1.0,,,MARCONI PERILLO,41,IRIS REZENDE,23,VANDERLAN CARDOSO,10,ANTONIO GOMIDE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00193/2014,BR-00865/2014,https://portalcorrente.com.br/noticia/2063/datamax-divulga-nova-pesquisa,11186543000161,BR,BRASIL,1,G,,,,WELLINGTON DIAS,"49,95",ZE FILHO,"38,8",MAO SANTA,"6,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-03282/2018,https://www.jagostinho.com.br/2018/08/30/parana-pesquisas-ibope-e-radar-saem-semana-que-vem/,481961000165,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-08653/2018,https://issuu.com/jornalpaginaum/docs/paginaum3183,481961000165,BR,BRASIL,1,PR,1.0,,,JAIR BOLSONARO,"31,9",ALVARO DIAS,"12,3",FERNANDO HADDAD,"11,8",CIRO GOMES,"5,6",GERALDO ALCKMIN,"4,1",JOAO AMOEDO,3,MARINA SILVA,"2,9",HENRIQUE MEIRELLES,"1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PR-05041/2018,BR-08653/2018,https://issuu.com/jornalpaginaum/docs/paginaum3183,481961000165,BR,BRASIL,1,G,1.0,,,RATINHO JR.,"40,1",CIDA BORGHETTI,17,JOAO ARRUDA,"7,4",DR. ROSINHA,"4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PR-05041/2018,BR-08653/2018,https://issuu.com/jornalpaginaum/docs/paginaum3183,481961000165,BR,BRASIL,1,S,1.0,,,REQUIAO,"31,2",FLAVIO ARNS,"16,5",BETO RICHA,"13,1",ALEX CANZIANI,13,PROFESSOR ORIOVISTO,"9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
