"company_id","pretty_name"
REALIDADE,Instituto Realidade
VOX POPULI,Vox Populi
GERP,Gerp
MULTIPLA,Múltipla Pesquisa (PE)
MULTIDADOS,Multidados
PROMIDIA,Promídia
FUTURA,Futura
RANKING,Ranking Pesquisa
DGABC,DGABC Pesquisas
DATAMETRICA,Datamétrica
ARBEIT,Arbeit Pesquisas
AGORASEI,Agorasei Pesquisa
LONDON,London Pesquisas
AMPLACE,Ampla Pesquisa (CE)
TDL,TDL Pesquisa
ANGULO,Ângulo Pesquisas
TENDENCIAMS,Tendência Pesquisa (MS)
"12032011000132",Ampla Consultoria (BA)
"11671785000140",Metrópole Pesquisa
"22526278000130",Objetiva Pesquisa
"10730923000152",Intake
"24977635000101",Região Oeste Pesquisas
"93807485000100",Bureau Pesquisas
"08733243000140",LGLUZ Consultoria
"10425289000144",Idealis Pesquisa
"21649194000120",Painel Brasil
"24681699000160",Open Data
"06118009000188",Conpeom
"22445600000104",Quaest
"05643737000146",Eleva
"29550908000150",DataPoder360
"17590594000130",Correio do Povo Tocantinense
"16096182000186",P & A
"18605544000142",Vertude
"28780441000172",Instituto Haverroth
"00189806000170",Lupi Associados
"23529695000107",Data Basee
"01269029000136",Boas e Boas
"09045102000106",Cipec
"10595124000110",Ibrape
"13475743000160",Ideia Big Data
"13845495000100",IFT.com
"22267969000166",Projeta Pesquisa
"09078962000138",Instituto Signates
"09219131000139",Método Pesquisa
"47985577000163",Associação do Comércio e Indústria de Franca
"24089028000105",F5 Atualiza Dados
"00794068000270",Virtu Analise
"20503000000111",Dattamarketing
"23148627000190",Alô Sergipe
"18365789000140",Mentor Inteligência
"05706042000166",Ecos Pesquisa
"00081933000150",Vetor Assessoria
"01864538000107",IPEN
"03764491000135",Perfil Estatística (BA)
"04209958000148",Badra Comunicação
"05394365000161",Data Fato
"05693586000130",Sensatus Pesquisa
"07217379000135",Vox Data Pesquisa
"07804258000190",Advise
"09170122000109",IMAPE
"09415165000107",Govnet
"09471067000189",Census Pesquisas
"09610985000141",Agili Pesquisas
"11134397000120",Jornal O Eco
"11460605000181",Zaak Consultoria
"11661310000173",Compasso Consultoria
"12282147000109",Palpe Pesquisas
"12843917000137",AGRJPEL
"14293213000163",Agora Pesquisa
"14861123000121",Naipes Marketing
"15271808000180",IPP
"15444186000145",Foco Pesquisa
"15514430000107",Sensor Pesquisas
"17159578000198",Instituto Datasensus
"17442390000152",Simplex Consultoria
"18372420000164",Interativa Pesquisas
"19306841000150",Jornal Correio Continental
"19442446000102",IPEC
"19731315000137",Tulipa Pesquisas
"23340485000168",Vox Opinião Pública (SP)
"24374946000186",Seculus Consultoria
"24520398000155",Instituto Intenção
"24699726000122",Data Alpha Pesquisas
"26114657000173",Destak Publicidade
"27747772000148",Contatos Serviços
"29833202000104",AR7 Pesquisa
"30788583000128",Disan Empreendimentos
"30849183000185",Grupo JP
"32288122000111",Diálogo Consultoria
"33513194000188",M S Passos Comunicação
"34607808000153",Instituto Orbis
"34972238000109",American Analytics
"34988073000155",Tony Brand Comunicação
"34996802000115",Instituto Exclusivo
"35206251000101",RadarNE Pesquisas
"35572214000117",Equação Pesquisas
"35575890000144",Instituto Estimativa
"35751297000101",G3 Soluções
"36228743000160",IBOP (BA)
"36348794000126",IPOP (GO)
"36433619000137",Data Populi
"36443527000138",Big Vox Pesquisas
"36443750000185",Exatus Consultoria (RN)
"36633930000120",V2 Data
"37025897000118",Jornal O+Positivo
"37293913000153",Folha de Caiaponia
"01191743000159",Decisão Pesquisa
"03348102000190",Brâmane Comunicação
"04116046000121",Statsol
"05949626000162",IBEL
"07277330000178",Ipersena Publicidades
"07854132000120",Strategya Publicidades
"08210871000222",Âncora Pesquisa (Irecê/BA)
"08337378000197",Dominiun Filmes
"09255395000148",Quallity Serviços Inteligente
"10175843000182",Instituto Perfil (ES)
"11604837000166",Global Consulting
"12537338000166",Rádio Maracu
"13006073000132",Sistema Centro Norte
"13663840000186",Ipopes
"14209994000165",Mesquita Produções
"14255299000130",Compope
"14602960000136",Solução Treinamento
"15426716000122",ICAPES
"15692490000101",Datamédia
"16176992000142",Terra Viva
"16945085000110",IMMAPEQ
"19548987000101",Play Comunicação
"19738088000171",Plural Assessoria
"20128172000152",RF Consultoria
"20592128000107",Malujoa Comunicaçõs
"20917622000196",Instituto Cristão Brasileiro
"22946223000189",Attitude Consultoria
"23723322000164",Morais & Dias
"24357977000129",Jornal O Coletivo
"26757039000141",Instituto Lupa
"31367504000178",Instituto Idealize
"32626743000168",Instituto EMET
"33000681000147",Laura Aparecida do Amaral
"33303114000160",ABC Dados
"33509397000109",Fernandes Consultoria
"33661095000143",Studio 4
"34402034000124",EAS Consultoria
"35703538000147",CEPRAJUR
"35830530000141",Exata GO
"36143137000142",Instituto Vision Survey
"36241367000144",Editora Azul
