"new_tse_id","CNPJ","url","tse_id","util","position","estimulada","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","person","suspensa","vv","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","SG_UE","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul40","cand41","resul41","cand42","resul42","cand43","resul43","instituto","scenario","total","NM_UE","for_patch_1","for_patch_4","year","for_patch_2","for_patch_3","OBS","ID","for_patch_5","for_patch_6","obs"
,"22642565000105","https://www.otempo.com.br/hotsites/elei%C3%A7%C3%B5es-2016/pesquisa-aponta-que-betim-pode-ter-decisao-ja-no-1-turno-1.1375538","MG-03289/2016","TRUE","p","1","VITTORIO MEDIOLI","51.7","IVAIR NOGUEIRA","10.7","WELINTON SAPAO","6.6","EUTAIR SANTOS","3.5","BETO DEPOSITO","2.4","WENCESLAU MOURA","1.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2263","76.7","BETIM","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"22642565000105","https://www.otempo.com.br/hotsites/elei%C3%A7%C3%B5es-2016/pesquisa-aponta-que-betim-pode-ter-decisao-ja-no-1-turno-1.1375538","MG-03289/2016","TRUE","p","0","VITTORIO MEDIOLI","39.5","IVAIR NOGUEIRA","6.1","WELINTON SAPAO","3.5","EUTAIR SANTOS","2.2","BETO DEPOSITO","1.2","WENCESLAU MOURA","1.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2261","53.7","BETIM","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"22642565000105","https://www.otempo.com.br/hotsites/elei%C3%A7%C3%B5es-2016/datatempo-aponta-empate-tecnico-entre-joao-leite-e-kalil-1.1374228","MG-04004/2016","TRUE","p","0","JOAO LEITE","15.5","ALEXANDRE KALIL","14","DELIO MALHEIROS","3.2","REGINALDO LOPES","2.3","LUIS TIBE","1.4","EROS BIONDINI","1.3","MARIA CONSOLACAO","1.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2277","39","BELO HORIZONTE","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"22642565000105","https://www.otempo.com.br/hotsites/elei%C3%A7%C3%B5es-2016/datatempo-aponta-empate-tecnico-entre-joao-leite-e-kalil-1.1374228","MG-04004/2016","TRUE","p","1","JOAO LEITE","24.7","ALEXANDRE KALIL","19.9","LUIS TIBE","3.3","EROS BIONDINI","3.1","DELIO MALHEIROS","5.1","REGINALDO LOPES","3.3","MARIA CONSOLACAO","2.2","SARGENTO RODRIGUES","1.9","MARCELO ALVARO ANTONIO","1.1","VANESSA PORTUGAL","1","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2278","65.6","BELO HORIZONTE","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"68802370000186","http://177.47.5.246/noticias-e-pesquisas/renato-casagrande-cresce-e-segue-liderando-com-ampla-vantagem-a-disputa-pelo-governo-do-espirito-santo/","BR-08894/2018","TRUE","pr","1","JAIR BOLSONARO","24","MARINA SILVA","15","CIRO GOMES","13","GERALDO ALCKMIN","9","FERNANDO HADDAD","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","985","66","BRASIL","FALSE","NA","2018","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"68802370000186","http://177.47.5.246/noticias-e-pesquisas/renato-casagrande-cresce-e-segue-liderando-com-ampla-vantagem-a-disputa-pelo-governo-do-espirito-santo/","BR-08894/2018","TRUE","pr","0","JAIR BOLSONARO","21","LULA","21","CIRO GOMES","4","GERALDO ALCKMIN","3","MARINA SILVA","3","JOAO AMOEDO","2","HENRIQUE MEIRELLES","1","FERNANDO HADDAD","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","983","56","BRASIL","FALSE","NA","2018","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"24899123000174","PDF","SE-09141/2016","TRUE","p","0","CHICO","60.4","CIANE IRMA JAIRO","21.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4984","82","NA","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"24899123000174","PDF","SE-09141/2016","TRUE","p","1","CHICO","62.7","CIANE IRMA JAIRO","22.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4985","84.8","NA","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"9256171000150","https://issuu.com/gazetaicara/docs/01_capa_gazeta_14-09-2016_combine","SC-07121/2016","TRUE","p","NA","FABIO BREZOLA","4.2","CLEITON SALVARO","4.3","MARCIO BURIGO","14.2","CLESIO SALVARO","64.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CLARA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4880","86.9","CRICIUMA","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"68802370000186","https://www.slideshare.net/SindicatoSETCESP/1-pesquisa-eleitoral-ibopesetcesp-apresentao","SP-00908/2016","TRUE","p","0","CELSO RUSSOMANNO","4","MARTA SUPLICY","2","FERNANDO HADDAD","5","JOAO DORIA","2","LUIZA ERUNDINA","2","ANDREA MATARAZZO","1","PAULO MALUF","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CLARA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5098","17","SAO PAULO","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
