cannot_find_id,tse_id_new,tse_id,url,SG_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,person,NM_UE,instituto,scenario
NA,TO-00052/2014,BR-01025/2014,http://g1.globo.com/to/tocantins/eleicoes/2014/noticia/2014/10/marcelo-miranda-lidera-com-504-sandoval-tem-372-aponta-serpes.html,NA,TRUE,g,1,NA,NA,MARCELO MIRANDA,50.4,SANDOVAL CARDOSO,37.2,ATAIDES OLIVEIRA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,677
NA,SP-05611/2018,BR-01843/2018,http://cliqueabc.com.br/marcio-franca-dispara-nas-pesquisas-e-alcanca-doria-e-skaf/,NA,TRUE,g,NA,NA,NA,MARCIO FRANCA,18,JOAO DORIA,24,PAULO SKAF,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,738
NA,RS-00021/2014,BR-00784/2014,"https://www.terra.com.br/noticias/eleicoes/rio-grande-do-sul/datafolha-rs-tarso-reage-e-empata-com-ana-amelia-lemos,fc54d72fcf3b8410VgnVCM5000009ccceb0aRCRD.html",NA,TRUE,s,NA,NA,NA,OLIVIO DUTRA,31,LASIER MARTINS,29,PEDRO SIMON,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,609
NA,SP-03011/2018,BR-05804/2018,https://noticias.r7.com/eleicoes-2018/realtime-big-data-em-sp-paulo-skaf-tem-25-e-joao-doria-22-02102018,NA,TRUE,g,NA,NA,NA,PAULO SKAF,25,JOAO DORIA,22,MARCIO FRANCA,15,LUIZ MARINHO,7,LISETE ARELARO,2,MAJOR COSTA E SILVA,2,ROGERIO CHEQUER,1,MARCELO CANDIDO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,905
NA,GO-00023/2014,BR-00033/2014,https://www.opopular.com.br/polopoly_fs/1.503893.1395533243!/menu/standard/file/230314-gert_serpes1.pdf,NA,TRUE,g,1,NA,NA,PERILLO,34.5,IRIS,26.6,VANDERLAN,12.9,ANTONIO GOMIDE,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,358
NA,GO-00023/2014,BR-00033/2014,https://www.opopular.com.br/polopoly_fs/1.503893.1395533243!/menu/standard/file/230314-gert_serpes1.pdf,NA,TRUE,g,1,NA,NA,PERILLO,37.5,VANDERLAN CARDOSO,12.9,JUNIOR FRIBOI,12.2,ANTONIO GOMIDE,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,358
NA,MS-09808-2018,BR-00430/2018,http://vocenanoite.com/noticia-526-1-na_vespera_da_eleicao_azambuja_esta_na_frente.html,NA,TRUE,g,1,NA,NA,REINALDO AZAMBUJA,47,ODILON DE OLIVEIRA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,488
NA,MS-09855-2018,BR-00918/2018,https://agazetaconesul.com/noticia/indice/azambuja-mantem-lideranca-no-segundo-turno,NA,TRUE,g,0,NA,1,REINALDO AZAMBUJA,55,JUIZ ODILON,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,652
NA,MA-00011/2014,BR-00113/2014,http://www.blogdosilvio.com.br/2014/05/em-sao-jose-de-ribamar-flavio-dino.html,BR,TRUE,s,NA,NA,NA,ROBERTO ROCHA,31,GASTAO VIEIRA,18.3,ARNALDO MELO,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RODRIGO,NA,NA,386
NA,MA-00015/2014,BR-00183/2014,https://blogdeluizrocha.blogspot.com/2014/,BR,TRUE,s,NA,NA,NA,ROBERTO ROCHA,35.8,GASTAO VIEIRA,19.2,HAROLDO SABOIA,10,CLAUDICEIA DURANS,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RODRIGO,NA,NA,410
