new_tse_id;tse_id;url;NM_UE;util;position;estimulada;suspensa;vv;cand1;resul1;cand2;resul2;cand3;resul3;cand4;resul4;cand5;resul5;cand6;resul6;cand7;resul7;cand8;resul8;cand9;resul9;cand10;resul10;cand11;resul11;cand12;resul12;cand13;resul13;cand14;resul14;cand15;resul15;cand16;resul16;cand17;resul17;cand18;resul18;cand19;resul19;cand20;resul20;cand21;resul21;cand22;resul22;cand23;resul23;cand24;resul24;cand25;resul25;cand26;resul26;cand27;resul27;cand28;resul28;cand29;resul29;cand30;resul30;cand31;resul31;cand32;resul32;cand33;resul33;cand34;resul34;cand35;resul35;cand36;resul36;cand37;resul37;cand38;resul38;cand39;resul39;cand40;resul40;cand41;resul41;cand42;resul42;cand43;resul43;manual_filename;SG_UE;obs;instituto;total;CNPJ
;BR-02443/2018;https://www.jpnews.com.br/tres-lagoas/pesquisa-aponta-preferencias-de-eleitores-em-30-cidades-do-estado/113659/;BRASIL;0;pr;1;NA;NA;JAIR BOLSONARO;32.66;LULA SILVA;30.58;CIRO GOMES;8.91;MARINA SILVA;2.66;GERALDO ALCKMIN;2.5;ALVARO DIAS;2.41;VALERIA MONTERIO;1.41;RODRIGO MAIA;1.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;BR;NA;NA;82.21;26968293000199
;AC-00042/2014;https://www.ac24horas.com/2014/09/18/vox-populi-sebastiao-aparece-com-51-bocalom-tem-21-bittar-17-e-rocha-1/;ACRE;1;g;1;NA;NA;SEBASTIAO VIANA;51;TIAO BOCALOM;21;MARCIO BITTAR;17;ANTONIO ROCHA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/devonthinkoutput_oscar_vp_fmt.csv.csv;NA;NA;NA;90;NA
;AC-00042/2014;https://www.ac24horas.com/2014/09/18/vox-populi-sebastiao-aparece-com-51-bocalom-tem-21-bittar-17-e-rocha-1/;ACRE;1;s;1;NA;NA;GLADSON CAMELI;52;PERPETUA ALMEIDA;31;ROBERTO DUARTE;3;PROFESSOR FORTUNATO;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/devonthinkoutput_oscar_vp_fmt.csv.csv;NA;NA;NA;87;NA
;AC-02237/2018;http://www.oriobranco.net/noticia/politica/21-02-2018-a-oito-meses-da-eleicao-pesquisa-aponta-empate-tecnico-para-o-governo-e-disputa-acirrada-para-o-senado;NA;1;s;1;NA;NA;SERGIO PETECAO;22.8;JORGE VIANA;21.3;MARA ROCHA;20.1;NEY AMORIM;14.4;MINORU KIMAPARA;9.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv;ACRE;NA;NA;88;NA
;AC-02237/2018;http://www.oriobranco.net/noticia/politica/21-02-2018-a-oito-meses-da-eleicao-pesquisa-aponta-empate-tecnico-para-o-governo-e-disputa-acirrada-para-o-senado;NA;1;s;1;NA;NA;SERGIO PETECAO;23.7;JORGE VIANA;21.1;MARCIO BITTAR;20.2;NEY AMORIM;13;MINORU KIMAPARA;8.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv;ACRE;NA;NA;86.9;NA
;BA-00016/2012;https://iguateminoticiasonline.blogspot.com/2012/05/divulgada-pesquisa-eleitoral-dos-pre.html;NA;1;p;1;0;0;DR PAULO CARDOSO AZEVEDO;46;RICARDO RIBEIRO;27;GERARDO AZEVEDO JUNIOR;15;PAULO LESSA PEREIRA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/8-(yasmin_leva1)-yasmin1-entrega.xlsx.csv;NA;NA;NA;91;NA
;BA-00016/2012;https://iguateminoticiasonline.blogspot.com/2012/05/divulgada-pesquisa-eleitoral-dos-pre.html;NA;1;p;0;0;0;DR PAULO CARDOSO AZEVEDO;53;RICARDO RIBEIRO;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/8-(yasmin_leva1)-yasmin1-entrega.xlsx.csv;NA;NA;NA;88;NA
;BA-04075/2016;https://reportercoragem.com.br/politica/pesquisa-do-instituto-futura-aponta-timoteo-brito-com-355-e-joao-bosco-com-208/;TEIXEIRA DE FREITAS;1;p;0;NA;NA;TIMOTEO BRITO;32.3;JOAO BOSCO;18;MARTA HELENA;12;CAIO CHECON;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/37-(leva-geral1(1700-1))-pedro18-entrega.csv.csv;NA;NA;NA;69.3;NA
;BA-04075/2016;https://reportercoragem.com.br/politica/pesquisa-do-instituto-futura-aponta-timoteo-brito-com-355-e-joao-bosco-com-208/;TEIXEIRA DE FREITAS;1;p;1;NA;NA;TIMOTEO BRITO;35.5;JOAO BOSCO;20.8;MARTA HELENA;17.5;CAIO CHECON;10.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/37-(leva-geral1(1700-1))-pedro18-entrega.csv.csv;NA;NA;NA;84.3;NA
;BA-07552/2016;https://www.jornaldosudoeste.com/emerson-leal-lidera-disputa-pela-prefeitura-de-livramento-de-nossa-senhora/;NA;1;p;0;NA;NA;EMERSON LEAL;49.5;RICARDINHO;38.48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87.98;NA
