candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,wrong
CARLOS MADEIRA,JOSE CARLOS VALE MADEIRA,MADEIRA,
RUBENS,RUBENS PEREIRA E SILVA JUNIOR,RUBENS JUNIOR,
YGLESIO,YGLESIO LUCIANO MOYSES SILVA SOUZA,YGLESIO MOYSES,
FRANKLIN DOUGLAS,FRANKLIN DOUGLAS FERREIRA,PROFESSOR FRANKLIN,
BRAIDE,EDUARDO SALIM BRAIDE,EDUARDO BRAIDE,
NETO,JOSE ARIMATEA LIMA NETO EVANGELISTA,NETO EVANGELISTA,
RIBAMAR,JOSE RIBAMAR SALES FILHO,DR RIBAMAR,
ROBERTH COELHO,ROBERTH CLEYDSON MARTINS COELHO,DR ROBERTH,
REGINALDA VIEIRA,MARIA REGINALDA SILVA SALES VIEIRA,REGINALDA,
ANTONIO BORBA,ANTONIO BORBA LIMA,DR ANTONIO BORBA,
SOCORRO WAQUIM,MARIA SOCORRO ALMEIDA WAQUIM,PROFESSORA SOCORRO,
HORMANN SCHNNEYDER,HORMANN SCHNNEYDER ALMEIDA SILVA,COMANDANTE SCHNNEYDER,
DINAIR,DINAIR SEBASTIANA VELOSO SILVA,DINAIR VELOSO,
ELIVALDO RAMOS,ELIVALDO RAMOS LIMA,PROFESSOR ELIVALDO RAMOS,
LUCIMAR,LUCIMAR GONCALVES MORAIS,PROFESSORA LUCIMAR GONCALVES,
MAGRADO,MAGRADO AROUCHA BARROS,MAGRADO BARROS,
ALUISIO SOUSA,ALUISIO SILVA SOUSA,ALUISIO,
SAMARA,SAMARA MORAIS SOUSA BENICIO,SAMARA BENICIO,
ALUISIO SILVA,ALUISIO SILVA SOUSA,ALUISIO,
JACKSON P,JACKSON DOUGLAS FONTINELE PEREIRA,JACKSON PEREIRA,
BRUNO F,BRUNO FLORENTINO BRITO SANTOS,BRUNO FLORENTINO,
CARMEN GEAN,CARMEN GEAN VERAS MENESES,DRA CARMEN GEAN,
BELAUTO,BELAUTO MOREIRA TORRES,BELAUTO BIGODE,
NETO,ARCENIO DELMIRO OLIVEIRA NETO,NETO DELMIRO,
RAIMUNDO,RAIMUNDO FERNANDES LIMA,RAIMUNDO MUNIZ,
LUCAS MATHEUS,LUCAS MATHEUS RESENDE FEITOSA,LUCAS MATHEUS FEITOSA,
MAURICIO PARENTE,MAURICIO NETO PARENTE LACERDA,MAURICIN,
NESTOR,NESTOR RENATO PINHEIRO ELVAS,NESTOR ELVAS,
VALNEIDE,VALNEIDE LOPES OLIVEIRA SANTOS,VALNEIDE LOPES,
MURILO BANDEIRA,MURILO BANDEIRA SILVA,PROFESSOR MURILO BANDEIRA,
EUDES AGRIPINO,EUDES AGRIPINO RIBEIRO,EUDES,
LAERCIO LUZ,JOSE LAERCIO LUZ,DR LAERCIO LUZ,
WALLEM,WALLEM RODRIGUES MOUSINHO,WALLEM MOUSINHO,
MAVIO,MAVIO SILVEIRA CARVALHO,MAVIO SILVEIRA,
BENE ALENCAR,BENEDITO ALENCAR SILVEIRA,BENEDITO ALENCAR,
MESSIAS,JOAO MESSIAS COSTA,MESSIAS PORTEIRAS,
SIRLENE,SIRLENE LOPES,SIRLENE LOPES,
BALTAZAR,JOSE BALTAZAR OLIVEIRA,BALTAZAR CAMPOS,
HELIO,JOSE HELIO CARVALHO OLIVEIRA,DR HELIO,
SILAS,SILAS NORONHA MOTA,SILAS NORONHA,
JOVE,JOVENILIA ALVES OLIVEIRA MONTEIRO,JOVE OLIVEIRA,
MENEZES,LUIZ CAVALCANTE E MENEZES,LUIZ MENEZES,
ABRAAO,ABRAAO XIMENDES TRINDADE,PROFESSOR ABRAAO,
LUCIRENE FERNANDES,LUCIRENE FERNANDES CARVALHO,PROFESSORA LUCIRENE FERNANDES,
EDNEI AMORIM,EDNEI MODESTO AMORIM,EDNEI,
EDUARDO MOURA,EDUARDO REIS MOURA,DR EDUARDO MOURA,
EDCARLOS,EDCARLOS COELHO RODRIGUES,PROFESSOR EDCARLOS,
DIEGO MELO,DIEGO GOMES MELO,MAJOR DIEGO MELO,
JEOVA,JEOVA BARBOSA CARVALHO ALENCAR,JEOVA ALENCAR,
RICARDO,RICARDO AUGUSTO MELO REGO MONTEIRO,DR RICARDO,
NEERIAS CAVALCANTE,NEERIAS CAVALCANTE LIMA,DR NEERIAS CAVALCANTE,
ANTONIA MARIA,ANTONIA MARIA GUILHERME SANTOS,PROFESSORA ANTONIA MARIA,
ANA PAULA,ANA PAULA MENDES ARAUJO,ANA PAULA SANTANA,
MARY,LUZIMARY VIEIRA OLIVEIRA LACERDA,DRA MARY,
ALCIONE,ALCIONE BARBOSA VIANA,DR ALCIONE,
NAERTON MOURA,NAERTON SILVA MOURA,DR NAERTON MOURA,
GERONIMO,GERONIMO MANOEL SILVA,DR GERONIMO,
UBIRATAN MARTINS,UBIRATAN MARTINS SANTOS SEGUNDO,DR UBIRATAN SEGUNDO,
UBIRATAN,UBIRATAN MARTINS SANTOS SEGUNDO,DR UBIRATAN SEGUNDO,
JOAO CARLOS,JOAO CARLOS ALVES SANTOS SILVA,DR JOAO CARLOS,
JOSE JOENI,JOSE JOENI HOLANDA ARAUJO,JOENI,
MARQUINELIO,JOSE MARQUINELIO TAVARES,DR MARQUINELIO,
CESAR,CESAR COLACO NOGUERA,CESAR COLACO,
STELA MACLA,STELA MACLA FEITOSA MATOS RODRIGUES,MACLA,
SERGIO CORDEIRO,PAULO SERGIO FEITOSA CORDEIRO,PAULO SERGIO CORDEIRO,
ALOISIO,ALOISIO ANTONIO GOMES MATOS BRASIL,DOUTOR ALOISIO,
ZULEIDE QUEIROZ,ZULEIDE FERNANDES QUEIROZ,PROFESSORA ZULEIDE QUEIROZ,
JOSE SARTO,JOSE SARTO NOGUEIRA MOREIRA,SARTO,
ANIZIO MELO,ANIZIO SANTOS MELO,ANIZIO,
AUGUSTO LIMA CORREIA,CARLOS AUGUSTO CORREIA LIMA,AUGUSTO CORREIA LIMA,
DEMONTIEUX,FRANCISCO DEMONTIEUX FERNANDES,DEMONTIEUX CINQUENTINHA,
ROGER,ROGER NEVES AGUIAR,ROGER AGUIAR,
ISAAC JUNIOR,ISAAC GOMES SILVA JUNIOR,JUNIOR,
SAVIO MARTINS,JOSE SAVIO MARTINS SAMPAIO,DR SAVIO MARTINS,
FELIZARDO,FELIZARDO BARBOSA BRITO,PROFESSOR FELIZARDO,
PEDRO XIMENES,FRANCISCO PEDRO GONCALVES SOUZA XIMENES,DR PEDRO XIMENES,
MARCOS NORJOSA,MARCOS VENICIOS NORJOSA GONZAGA,DR MARCOS,
MOISES FERNANDES,ANTONIO MOISES FERNANDES COSTA,DELEGADO MOISES FERNANDES,
JOHN SILVA,FRANCISCO JOHN SILVA,FRANCISCO JOHN SILVA,
NATHIZAEL LEANDRO,NATHIZAEL GONCALVES LEANDRO,NATHIZAEL,
GUSTAVO MOREIRA,CARLOS GUSTAVO MONTEIRO MOREIRA,GUSTAVO,
MARCOS PRADO,MARCOS HENRIQUE FERREIRA PRADO,DR MARCOS PRADO,
RIBAMAR,JOSE RIBAMAR ALMEIDA DIAS,RIBAMAR TOPIC,
FRANCISCO MOURA,FRANCISCO RIBEIRO MOURA,PROF FRANCISCO MOURA,
CARLOS EDUARDO,CARLOS EDUARDO GOMES SILVA,PROFESSOR CARLOS EDUARDO,
GILSON,GILSON BEZERRA MEDEIROS,GILSON FARMACIA,
JOSIVAN BIBIANO,JOSIVAN BIBIANO AZEVEDO,BIBIANO,
GUSTAVO SOARES,GUSTAVO MONTENEGRO SOARES,DR GUSTAVO,
GUSTAVO,GUSTAVO MONTENEGRO SOARES,DR GUSTAVO,
SANDRA,SANDRA JAQUELINE JOTA RIBEIRO,SANDRA JAQUELINE,
ALAN,ALAN JEFFERSON SILVEIRA PINTO,ALAN SILVEIRA,
IRANEIDE,IRANEIDE XAVIER CORTEZ RODRIGUES REBOUCAS,IRANEIDE REBOUCAS,
BERGSON,BERGSON IDUINO OLIVEIRA,BERGSON IDUINO,
JOAO,JOAO ELIAS MATOS NETO,JOAO ELIAS,
TADEU,JUDAS TADEU ALVES SANTOS,DR TADEU,
DIEGO,DIEGO VALE,DIEGO VALE,
WELLINSON RIBEIRO,WELLINSON CARLOS DANTAS RIBEIRO,WELLISON,
CAIO BRUNO,CAIO BRUNO ANDRADE,DR CAIO BRUNO,
RENATA REGO,RENATA COSTA BRITO TORQUATO REGO,DRA RENATA REGO,
CARLOS ALBERTO,CARLOS ALBERTO SILVA,MAJOR ALBERTO,
BERG,RUDEMBERG HONORIO LISBOA,BERG LISBOA,
APARECIDA,MARIA APARECIDA SILVA,PROFESSORA APARECIDA,
CLORISA,CLORISA LINHARES VASCONCELOS VALE,CLORISA LINHARES,
CINTHIA,CINTHIA SONALE SILVA ALVES E SOUZA,CINTHIA SONALE,
FERNANDO DAMASCENO,FERNANDO BATISTA DAMASCENO,FERNANDO CANTO MOCA,
FERNANDO,FERNANDO BATISTA DAMASCENO,FERNANDO CANTO MOCA,
ROSSANE,ROSSANE MARQUES LIMA PATRIOTA,ROSSANE GERMANO,
THALES MARINHO,THALES COSME MARINHO,DR THALES MARINHO,
DR ANDRE,FRANCISCO ANDRE REGIS JUNIOR,ANDRE JUNIOR,
ALEX,ALEX BRUNO BRASIL FREITAS,ALEX BRASIL,
MARINA,MARINA DIAS MARINHO,MARINA DIAS MARINHO,
WDAGNO,WDAGNO SANDRO BEZERRA CAMARA,WDAGNO SANDRO,
LEONCIO,LEONCIO PEREIRA SILVA,LEONCIO PEREIRA,
PABLO,PABLO RONIELLE CASSIANO ARAUJO,PABLO CASSIANO,
VALDIR,VALDIR MEDEIROS AZEVEDO,VALDIR MEDEIROS,
SHIRLEY TARGINO,FRANCISCA SHIRLEY FERREIRA TARGINO,SHIRLEY,
DAVID JALES,DAVID FILGUEIRAS ALMEIDA JALES,DAVID,
SONYARA RIBEIRO,SONYARA SOUZA RIBEIRO FERREIRA,SONYARA,
LUCIANO SANTOS,LUCIANO SILVA SANTOS,LUCIANO,
GIN,GIN CLARK GOMES FERNANDES COLACO,GIN DOUTOR EDMAR,
NORMANDO,JOSE NORMANDO FEITOSA LIRA,DELEGADO NORMANDO,
NORMANDO FEITOSA,JOSE NORMANDO FEITOSA LIRA,DELEGADO NORMANDO,
EMIDIO,EDIVALDO EMIDIO SILVA JUNIOR,EMIDIO JUNIOR,
MARILIA,MARILIA PEREIRA DIAS,MARILIA DIAS,
JANSSEN CORTES,JANSSEN BEZERRA CORTES,JANSSEN MOTOS,
JOSE ALDENIR,JOSE ALDENIR SILVA,BOLINHA FEDERAL,
JANSSEN,JANSSEN BEZERRA CORTES,JANSSEN MOTOS,
ALDENIR,JOSE ALDENIR SILVA,BOLINHA FEDERAL,
CORTES,JANSSEN BEZERRA CORTES,JANSSEN MOTOS,
ZE ANTONIO,JOSE ANTONIO MENEZES SOUSA,DR ZE ANTONIO,
EVANIO,EVANIO PEDRO NASCIMENTO,EVANIO PEDRO,
ROBSON,ROBSON CORREIA COSTA,ROBSON CORREIA,
RAFAEL,JOAO MARIA ALVES RAFAEL,RAFAEL BAIL,
CRIZALDO,CRIZALDO MEIRA ARAUJO,CRIZALDO MEIRA,
MOREIRA,MARCOS ANTONIO JESUS MOREIRA,CORONEL MOREIRA,
GEORGE MARQUES,GEORGE LUIZ MARQUES SILVA,GEORGE,
ALLYSON BEZERRA,ALLYSON LEANDRO BEZERRA SILVA,ALLYSON,
ISOLDA,MARIA ISOLDA DANTAS MOURA,ISOLDA DANTAS,
ALVARO DIAS,ALVARO COSTA DIAS,ALVARO,
CARLOS ALBERTO,CARLOS ALBERTO FREIRE MEDEIROS,CARLOS ALBERTO (BETO),
JEAN PAUL PRATES,JEAN PAUL TERRA PRATES,SENADOR JEAN,
CORONEL HELIO,CORONEL HELIO OLIVEIRA,CORONEL HELIO OLIVEIRA,
JAIDY OLIVEIRA,JAIDY OLIVEIRA SOUSA,JAIDY OLIVEIRA SOUSA,
JEAN PAUL,JEAN PAUL TERRA PRATES,SENADOR JEAN,
HELIO OLIVEIRA,CORONEL HELIO OLIVEIRA,CORONEL HELIO OLIVEIRA,
ALVARO COSTA,ALVARO COSTA DIAS,ALVARO,
JEAN,JEAN PAUL TERRA PRATES,SENADOR JEAN,
LEOCADIO,SERGIO FERNANDO LEOCADIO TEIXEIRA,DELEGADO SERGIO LEOCADIO,
KELPS,KELPS OLIVEIRA LIMA,KELPS LIMA,
HERMANO,HERMANO COSTA MORAES,HERMANO MORAIS,
SERGIO LEOCADIO,SERGIO FERNANDO LEOCADIO TEIXEIRA,DELEGADO SERGIO LEOCADIO,
ALEXANDRE,ALEXANDRE CARLO MEDEIROS DANTAS,ALEXANDRE PETRONILO,
AURELIO,AURELIO BURITI MACEDO,AURELIO MACEDO,
ROSANO TAVEIRA,ROSANO TAVEIRA CUNHA,TAVEIRA,
NILDA,RAIMUNDA NILDA SILVA CRUZ,PROFESSORA NILDA,
DOLVIM,JOSE ORI DOLVIM DANTAS,CORONEL DOLVIM,
FLAUDIVAN MARTINS,FLAUDIVAN MARTINS CABRAL,FLAUDIVAN,
WALDEMAR,WALDEMAR HORACIO GOIS NETO,VALDEMAR GOIS,
SIGMA OLIVEIRA,FRANCISCO SIGMA OLIVEIRA,SIGMA,
WILTON,FRANCISCO WILTON CAVALCANTE MONTEIRO,LILITO MONTEIRO,
GENILSON,GENILSON MEDEIROS MAIA,GENILSON MAIA,
LUCIANO,REGIO LUCIANO XAVIER ALVES,LUCIANO HONORIO,
MARCELO,MARCELO FREIRE CARVALHO,MARCELO FREIRE,
MARIA DALVA,MARIA DALVA MEDEIROS ARAUJO,MIUDA,
EUGENIO PACELLI,EUGENIO PACELLI ARAUJO SOUTO,PACELLI,
PACELLI SOUTO,EUGENIO PACELLI ARAUJO SOUTO,PACELLI,
IVAN DANTAS,IVAN DANTAS FARIAS,DR IVAN,
JOSE ARIMATEIA,JOSE ARIMATEIA BRAZ,ZE ARIMATEIA,
MACIEL,MACIEL GOMES SILVA,MACIEL GOMES,
EDUARDA,EDUARDA GRACIELY ROCHA CARDOSO,EDUARDA CARDOSO,
CAYLA,CAYLA SANTOS RODRIGUES,CAYLA RODRIGUES,
RENAN FERNANDES,RENAN MENDONCA FERNANDES,RENAN MENDONCA,
MANOEL CARLOS,MANOEL CARLOS OLIVEIRA,MANEZINHO,
ROBERTA,ROBERTA SOUSA ANDRADE,ROBERTA NEPOMUCENO,
MATHEUS,MATHEUS MELO BEZERRA CAVALCANTI,MATHEUS BEZERRA,
FRANCISCO MACEDO,FRANCISCO RICHARD NIXON MACEDO CAMPOS,DR FRANCISCO MACEDO,
NADJA,NADJA DIOGENES PALITOT,NADJA PALITOT,
JOAO DEUS,JOAO DEUS SOUSA,DAO CABELELEIRO,
CICERO ANTONIO,CICERO ANTONIO PAULO,CICERO PAULO,
SEBASTIAO,SEBASTIAO ESTRELA BATISTA,BASTIM ALBUINO,
RUY,ALLISSON RUY SANTOS TOME,PROFESSOR RUY,
ANDRE LIMA,ANDRE LUIZ BARBOSA BEZERRA LIMA,DR ANDRE,
ANA CLAUDIA VITAL REGO,ANA CLAUDIA OLIVEIRA NOBREGA VITAL REGO,ANA CLAUDIA,
BRUNO CUNHA,BRUNO CUNHA LIMA BRANCO,BRUNO CUNHA LIMA,
ANA CLAUDIA VITAL,ANA CLAUDIA OLIVEIRA NOBREGA VITAL REGO,ANA CLAUDIA,
EUDA,EUDA FABIANA FARIAS PALMEIRA VENANCIO,EUDA FABIANA,
ELIU,ELIU JAVA SILVA SANTOS FURTADO,ELIU PESSOA,
ROSANGELA,ROSANGELA FATIMA LEITE,ROSANGELA LEITE,
ARNALDO MONTEIRO,ARNALDO MONTEIRO COSTA,ARNALDO,
ANTONIO TEOTONIO,ANTONIO TEOTONIO ASSUNCAO,TEOTONIO,
RAONI MENDES,RAONI BARRETO MENDES,RAONI,
MICHEILA HENRIQUE,MICHEILA SILVESTRE HENRIQUE SENA,DRA MICHEILA HENRIQUE,
MICHEILA,MICHEILA SILVESTRE HENRIQUE SENA,DRA MICHEILA HENRIQUE,
AUGUSTO VALADARES,AUGUSTO SANTA CRUZ VALADARES,DR AUGUSTO VALADARES,
MANOEL JUNIOR,MANOEL ALVES SILVA JUNIOR,DR JUNIOR,
MARINES PAULA,MARINES PAULA SILVA NICOLAU,MARINES BEM TOMAZ,
OLIVANIO REMIGIO,OLIVANIO DANTAS REMIGIO,OLIVANIO,
ALAN MOURA,JOSE ALAN SOUSA MOURA,DR ALAN MOURA,
VERA SOARES,VERA LUCIA SOARES OLIVEIRA CLAUDINO,VERA,
EMERSON PANTA,EMERSON FERNANDES ALVINO PANTA,DR EMERSON PANTA,
FLAVIANO QUINTO,FLAVIANO QUINTO RIBEIRO COUTINHO,QUINTO FILHO MARCUS ODILON,
HELDER TRAJANO,JOSE HELDER TRAJANO QUEIROZ,HELDER,
JOSE MANGUEIRA,JOSE MANGUEIRA TORRES,ZE MANGUEIRA,
ALESSANDRO PALMEIRA,ALESSANDRO PALMEIRA VASCONCELOS LEITE,SANDRINHO PALMEIRA,
SIDNEY CRUZ,SIDNEY PEREIRA CRUZ,CAPITAO SIDNEY CRUZ,
ELTON MARTINS,JOSE ELTON MARTINS SOUZA,DR ELTON MARTINS,
WELLINGTON,JOSE WELLINGTON CORDEIRO MACIEL,WELLINGTON LW,
EUDO JUNIOR,EUDO MAGALHAES LYRA JUNIOR,EUDO MAGALHAES,
GILVANDRO,GILVANDRO ESTRELA OLIVEIRA,GILVANDRO ESTRELA,
EDEZIO,EDEZIO FERREIRA SANTOS FILHO,DR EDEZIO,
GIVALDO,GIVALDO CAVALCANTE FERREIRA,GIVALDO SINDICATO,
ANTONIO RESENDE,ANTONIO GABRIEL HONORATO RESENDE,DELEGADO RESENDE,
ELIAS GOMES,ELIAS GOMES SILVA,ELIAS,
ERICK LESSA,ERICK SILVA LESSA,DELEGADO LESSA,
RAFFIE,RAFFIE DELLON JORDAO BARBOSA,RAFFIE DELLON,
HUGO CESAR,HUGO CESAR GOMES GALVAO,HUGO BAHIA,
SILVINO,SILVINO ANDRADE DUARTE,DR SILVINO,
SIVALDO,SIVALDO RODRIGUES ALBINO,SIVALDO ALBINO,
JOAO LINS,JOSE JOAO OLIVEIRA LINS,DELEGADO JOAO LINS,
SILVINO DUARTE,SILVINO ANDRADE DUARTE,DR SILVINO,
ZAQUEU LINS,ZAQUEU NAUM LINS,ZAQUEU,
ELCIONE,ELCIONE SILVA RAMOS PEDROZA BARBOSA,PROFESSORA ELCIONE,
ERNANDES,ERNANDES OLIVEIRA SILVA,ERNANDES BOB ESPONJA,
ANDERSON,ANDERSON ANDRE ALMEIDA LOPES,ANDERSON LOPES,
MAIRA,MAIRA ARAUJO VILAR,MAIRA VILAR,
SEVERINO JESUS,SEVERINO ANTONIO JESUS,PASTOR SEVERINO,
EDUARDO PORTO,EDUARDO PORTO BARROS,DELEGADO EDUARDO PORTO,
RUBEN LIMA,RUBEN LIMA BARBOSA,RUBEN,
ZELANDYO,ZELANDYO SANTOS SILVA,ZELANDYO MONTE HOREBE,
JOAO BATISTA,JOAO BATISTA LEAL,JOAO BATISTA JOTA,
LOSSIO FILHO,JULIO EMILIO LOSSIO MACEDO FILHO,JULIO LOSSIO FILHO,
JULIO LOSSIO,JULIO EMILIO LOSSIO MACEDO FILHO,JULIO LOSSIO FILHO,
PATRICIA DOMINGOS,PATRICIA OLIVEIRA DOMINGOS,DELEGADA PATRICIA,
ALBERTO FEITOSA,ALBERTO JORGE NASCIMENTO FEITOSA,CORONEL FEITOSA,
MARCO AURELIO,MARCO AURELIO MEDEIROS LIMA,MARCO AURELIO MEU AMIGO,
PATRICIA,PATRICIA OLIVEIRA DOMINGOS,DELEGADA PATRICIA,
MENDONCA,JOSE MENDONCA BEZERRA FILHO,MENDONCA FILHO,
CARLOS ANDRADE,CARLOS ANTONIO GOMES ANDRADE LIMA,CARLOS,
MARCONES SA,MARCONES LIBORIO SA,DR MARCONES SA,
SOCORRO BRITO,MARIA SOCORRO CORDEIRO BRITO PEREIRA,SOCORRO CARLOS EVANDRO,
SOCORRO,MARIA SOCORRO CORDEIRO BRITO PEREIRA,SOCORRO CARLOS EVANDRO,
ULISSES FELINTO,ULISSES FELINTO FILHO,ULISSES,
JEFFERSON LEAL,JEFFERSON LUIZ FIGUEIREDO LEAL,DR JEFFERSON LEAL,
ANDSON NUNES,ANDSON NUNES SILVA,PROFESSOR ANDSON NUNES,
EUDES,EUDES TENORIO CAVALCANTI,DR EUDES,
ADRIANNO,ADRIANNO ALEXANDRE GALINDO BEZERRA,ADRIANO POSTO,
NADEGI QUEIROZ,NADEGI ALVES QUEIROZ,DRA NADEGI,
ANTONIO CINTRA,ANTONIO FONTES CINTRA NETO,TOINHO CINTRA,
DALMO AUGUSTO,DALMO AUGUSTO ALMEIDA JUNIOR,DALMINHO,
FEIJO,BRUNO FEIJO TEIXEIRA,BRUNO FEIJO,
VINICIUS,VINICIUS JOSE MARIANO LIMA,VINICIUS FILHO ZE HERMES,
SILVANA CAVALCANTE,SILVANA MARIA CAVALCANTE COSTA PINTO,SILVANA,
ADALBERON EMILIANO,ADALBERON EMILIANO SILVA,BERON,
ADALBERON,ADALBERON EMILIANO SILVA,BERON,
ALFREDO GASPAR,ALFREDO GASPAR MENDONCA NETO,ALFREDO GASPAR MENDONCA,
DAVI DAVINO FILHO,DAVID CABRAL DAVINO FILHO,DAVI FILHO,
DAVI DAVINO,DAVID CABRAL DAVINO FILHO,DAVI FILHO,
THEOBALDO,THEOBALDO CAVALCANTI LINS NETTO,THEOBALDO CINTRA,
ADRIANO CALACA,ADRIANO CALACA LIMA,PROFESSOR ADRIANO,
JULIO BRANDAO,JOSE JULIO GOMES BRANDAO,JULIO HELIO,
WASHINGTON MOURA,WASHINGTON LUIS MOURA GALVAO,DR WASHINGTON,
DENYSE,TACIA DENYSE SIQUEIRA NOBRE,DENYSE DONA TELMA,
CICERO MESSIAS,CICERO MESSIAS LIMA,CICERO MESSIAS LIMA,
GILBERTO,GILBERTO GONCALVES SILVA,GILBERTO GONCALVES,
ALYSSON,ALYSSON REIS SARDINHA,ALYSSON REIS,
PACHECO,JOSE PACHECO FILHO,ZE PACHECO,
ADEILTON,ADEILTON QUERINO SOUZA,ADEILTON QUERINO,
DAVI TEOFILO,DAVI TEOFILO CASTRO AMORIM,DAVI,
GERALDO,GERALDO CICERO SILVA,GERALDO CICERO,
CORDELIA,CORDELIA TORRES ALMEIDA,CORDELIA TORRES,
ADERBAL,ADERBAL OLIVEIRA RIOS,ADERBAL ADISBAL,
ANDREIA XAVIER,ANDREIA XAVIER CAJADO SAMPAIO,ANDREIA,
EDVALDO NOGUEIRA,EDVALDO NOGUEIRA FILHO,EDVALDO,
DANIELLE GARCIA,DANIELLE GARCIA ALVES SOARES,DELEGADA DANIELLE,
PAULO MARCIO,PAULO MARCIO RAMOS CRUZ,DELEGADO PAULO MARCIO,
RODRIGO VALADARES,RODRIGO SANTANA VALADARES,RODRIGO,
ERALDO ANDRADE,ERALDO ANDRADE SANTOS,ERALDO CABECA DANTAS,
ERALDO,ERALDO ANDRADE SANTOS,ERALDO CABECA DANTAS,
GILTON,GILTON CESAR FRANCA TRINDADE,GILTON TONHO GILENO,
GILSON ANDRADE,GILSON ANDRADE OLIVEIRA,DR GILSON ANDRADE,
ZETE,GILZETE DIONIZA MATOS,ZETE JANJAO,
EDSON PASSOS,EDSON VIEIRA PASSOS,EDSON ITABAIANA,
OLIVIER CHAGAS,OLIVIER FERREIRA CHAGAS,DR OLIVIER,
GLEINYSON FONSECA,GLEINYSON FONSECA SANTOS,PROFESSOR GLEINYSON,
PAULO AFONSO,PAULO AFONSO ALMEIDA,DR PAULO AFONSO,
HILDA,HILDA ROLLEMBERG RIBEIRO,HILDA RIBEIRO,
IBRAIN MONTEIRO,IBRAIN SILVA MONTEIRO,IBRAIN VALMIR,
VALDIRENE,MARIA VALDIRENE ANDRADE ARAGAO,VALDIRENE ARAGAO,
ACRISIO,ACRISIO ALVES PEREIRA,ACRISIO PEREIRA,
AROLDO,HAROLDO JOSE SILVA,HAROLTPO PT,
LIDIANE,LIDIANE OLIVEIRA,LIDIANE ZE ALMEIDA,
MARIO CESAR,MARIO CESAR SILVA CONSERVA,MARIO SANDRA,
MARIA CRISTINA,MARIA CRISTINA WILLMERSDORF FRANCO,CRISTINA FRANCO,
CRISTINA,MARIA CRISTINA WILLMERSDORF FRANCO,CRISTINA FRANCO,
JUNIOR CHAGAS,ADEMILSON CHAGAS JUNIOR,DR JUNIOR CHAGAS,
GEDALVA,MARIA GEDALVA SOBRAL ROSA,GEDALVA UMBAUBA,
LEANDRO,LEANDRO SANTOS,LEANDRO RENOVACAO,
PAULO JUNIOR,PEDRO PAULO ROLEMBERG JUNIOR,PROFESSOR PEDRO ROLEMBERG,
ERICO,ERICO CARDOSO AZEVEDO,DR ERICO,
ERALDO,ERALDO FELIX SILVA,ERALDO FELIX,
ADEMIR,ADEMIR AQUINO GOMES,ADEMIR GOMES,
JOSE AUGUSTO,JOSE AUGUSTO ARAUJO FREITAS,ZE AUGUSTO,
MANOEL,MANOEL COSTA NUNES,MANOEL NUNES,
ARILSON,ARILSON SUEMAR ROCHA SANTOS,ARILSON SUEMAR,
JOSE LUIZ,JOSE LUIZ FRANCO RAMOS COSTA,DR JOSE LUIZ,
DANILO,DANILO VASCONCELOS OLIVEIRA SANTOS,DANILO VASCONCELOS,
LUCIANO,LUCIANO OLIVEIRA E SILVA,LUCIANO FARMACIA,
M TULIO,MARCO TULIO VILASBOAS,MARCO TULIO,
GERALDO AZEVEDO,GERALDO LEITE AZEVEDO,DR GERALDO,
SUELI FERNANDES,SUELI FERNANDES SOUZA NOVAIS,SUELI NOVAIS,
HILDECIO,HILDECIO ANTONIO MEIRELES FILHO,HILDECIO MEIRELES,
SOCRATES,SOCRATES MAGNO TORRES,EDUCADOR SOCRATES MAGNO,
ANTONIO ELINALDO,ANTONIO ELINALDO ARAUJO SILVA,ELINALDO,
ELINALDO ARAUJO,ANTONIO ELINALDO ARAUJO SILVA,ELINALDO,
OZIEL ARAUJO,OZIEL SANTOS ARAUJO,OZIEL,
SOCRATES MAGNO,SOCRATES MAGNO TORRES,EDUCADOR SOCRATES MAGNO,
CAETANO,IVONEIDE SOUZA CAETANO,IVONEIDE CAETANO,
MARLEIDE,MARLEIDE BARBOSA OLIVEIRA,MARLEIDE OLIVEIRA,
ELZIMAR,ELZIMAR PIMENTA DOURADO,ELZIMAR DOURADO,
LUCIMEIRE MAGALHAES,LUCIMEIRE JESUS MAGALHAES NASCIMENTO,LUCIMEIRE,
PITAGORAS IBIAPINA,PITAGORAS ALVES SILVA IBIAPINA,DR PITAGORAS,
CLOVES,CLOVES ROCHA OLIVEIRA,CLOVES ROCHA,
PAULO MENDONCA,PAULO HUMBERTO NEVES MENDONCA,PAULO HUMBERTO,
KAEL,KAEL XAVIER,KAEL XAVIER,
RICARDO ALMEIDA,RICARDO ALMEIDA NUNES SILVA,DR RICARDO,
JADSON,JADSON ALBANO GALVAO,JADSON ALBANO,
SILVAN,SILVAN BALEEIRO SOUSA,SILVAN BALEEIRO,
ANGELA CRUZ,ANGELA MARIA CRUZ SANTOS,PROFESSORA ANGELA CRUZ,
ROBERVAL,ROBERVAL CASSIA MEIRA,ROBERVAL GALEGO,
COLBERT,COLBERT MARTINS SILVA FILHO,COLBERT MARTINS,
DAYANE PIMENTEL,DAYANE JAMILLE CARNEIRO SANTOS PIMENTEL,PROFESSORA DAYANE PIMENTEL,
ROBERTO TOURINHO,ROBERTO LUIS SILVA TOURINHO,BETO TOURINHO,
