candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,wrong
EVANDRO VALADRES,EVANDRO PERAZZO VALADARES,EVANDRO VALADARES,
MARICA CONRADO,MARCIA CONRADO LORENA E SA,MARCIA CONRADO,
KIM CARANGUEIJO,FRANCISCO ARAUJO GALENO,KIM CARANGUEJO,
KARYBE RODRIGAO,KARYNE ARAGAO CANSANCAO,KARYNE RODRIGAO,
AROLDINHO,MANOEL AROLDO BARREIRA FILHO,AROLDIN,
FRED LUIZ,FREDERICO DERZIE LUZ,FRED LUZ,
LUIS LIMA,LUIZ EDUARDO CARNEIRO SILVA SOUZA LIMA,LUIZ LIMA,
CIRO GARCIA,CYRO GARCIA,CYRO GARCIA,
DR RENAN,RENAM LUIZ ALENCAR CARVALHO,DR RENAM,
MARCELO BARROSO,MARCELO ANDRE AZEVEDO VERAS BARROZO,MARCELO BARROZO,
PEDRO ALMEIDA,PEDRO CEZAR ALMEIDA NETO,PEDRO ALMEIRA,
SERGIO CECHIN,SERGIO ROBERTO CECCHIN,SERGIO CECCHIN,
MANUEL LIMA,MANOEL GONCALVES LIMA,MANOEL LIMA,
BENEZINHO CORROCHEL,MARIO COROCHEL NETO,BONEZINHO CORROCHEL,
VICENTE CASCIONI,VICENTE FERNANDES CASCIONE,VICENTE CASCIONE,
LEVI FIDELIX,JOSE LEVY FIDELIX CRUZ,LEVY FIDELIX,
ARTUR VAL,ARTHUR MOLEDO VAL,ARTHUR VAL,
PAULINHO VALENCA,PAULO GUILHERME FRANZIN,PAULINHO VALLENCA,
OSMAR FLICK,OSMAR AUGUSTO FICK JUNIOR,OSMAR FICK,
ANDREA MODIN,ANDREA NAVARRO MONDIN,ANDREA MONDIN,
SALVADOR KURIEH,SALVADOR GEORGE DONIZETI KHURIYEH,SALVADOR KHURIYEH,
SAULO MILHOMEN,SAULO SARDINHA MILHOMEM,SAULO MILHOMEM,
THIAGO AMASTHA ANDRINO,TIAGO PAULA ANDRINO,TIAGO AMASTHA ANDRINO,
MAX S GERALDO,MAX DENNER COSTA CRUZ,MAX SAO GERALDO,
CARDOSAO,SEBASTIAO JOSE CARDOSO,CARDOZAO,
LENIELDA ELDO,LINIELDA NUNES CUNHA,LINIELDA ELDO,
CARLOS MAI,ANTONIO CARLOS MAIA,CARLOS MAIA,
PAULO BONFIM,MARCUS PAULO ALCANTARA BOMFIM,PAULO BOMFIM,
CARLINHOS MATO,JOSE CARLOS MATOS SOARES,CARLINHOS MATOS,
LUCAS WILLIAM,LUCAS WILLIAN SILVA SANTOS,LUCAS WILLIAN,
BACEALAR,JOAO CARLOS BACELAR BATISTA,BACELAR,
SANDOR LOCUTOR,SANDRO HELENO GOMES SOUZA,SANDRO LOCUTOR,
CAPITAO ASSUNCAO,LUCINIO CASTELO ASSUMCAO,CAPITAO ASSUMCAO,
FERNANDO PELOZO,FERNANDO PELLOZO,FERNANDO PELLOZO,
JARDSON BRASIL,JADSON NASCIMENTO,JADSON BRASIL,
AMAURI MAZZUCATO,AMAURI MAZZUCATTO,AMAURI MAZZUCATTO,
KATIA MELO,KATYA CECILIA MELO,KATYA MELO,
WILLIAM POTENCIA,JOSE WILLIAN GONCALVES OLIVEIRA,WILLIAN POTENCIA,
OSMARIO PORTELLA,OSMARIO LIMA PORTELA,OSMARIO PORTELA,
RONALDO CAZELLA,JURACI RONALDO CAZELA,RONALDO CAZELA,
HOMERO MARCHES,HOMERO FIGUEIREDO LIMA E MARCHESE,HOMERO MARCHESE,
LAZARO,JEANN LAZZARO RODRIGUES DANTAS SANTOS,LAZZARO,
HELTON VAGNO,HELTHON VAGNO SILVA SOUZA,HELTHON VAGNO,
GAZZETA,CLODOALDO ARMANDO GAZZETTA,GAZZETTA,
ADIANA AFONSO,ADRIANA RAMOS AFONSO,ADRIANA AFONSO,
ANDREA MONDIM,ANDREA NAVARRO MONDIN,ANDREA MONDIN,
DRA MAYRA,MAYRA ROSANNA GAMA ARAUJO SILVA COSTA,DR MAYRA,
ALAN BARBIEIRO,ALAN KARDEC MARTINS BARBIERO,ALAN BARBIERO,
MAX DORNELYS,MAX DORNELLYS BORGES OLIVEIRA,MAX DORNELLYS,
WAGNER RODRIGUES,WAGNER RODRIGUES BARROS,WAGNER ROGRIGUES,
RENATA SOUSA,RENATA SILVA SOUZA,RENATA SOUZA,
MARCOS D'AVILA,MARCOS ONESIMO D AVILA,MARCOS D AVILA,
FERNANDO PELLOSO,FERNANDO PELLOZO,FERNANDO PELLOZO,
RENIN,RENIS EUSTAQUIO GONCALVES,RENIM,
VANDERLI COMERCIO,VANDERLY GOMES MIRANDA,VANDERLY COMERCIO,
DRA ROSELI,ROSELIS ALVES CARVALHO SANTOS,DRA ROSELIS,
LINELDA ELDO,LINIELDA NUNES CUNHA,LINIELDA ELDO,
DR ERMANO,EMANOEL RODRIGUES TRAVASSOS,DR EMANO,
DEYVISON POSTO,DAYVISON RIBEIRO SOARES,DAYVISON POSTO,
WELMA FARMACIA,WHELMA SILVA SOBRINHO ALENCAR,WHELMA FARMACIA,
ENOQUE MOTTA,ENOQUE FERREIRA MOTA NETO,ENOQUE MOTA,
LUCIANA GENESIO,JOAO LUCIANO SILVA SOARES,LUCIANO GENESIO,
JARRY ADRIANE,JERRY ADRIANE TELES MAGALHAES,JERRY ADRIANE,
MARCELO STACHIM,MARCELO STACHIN,MARCELO STACHIN,
EDIVAN DAMASCENO,EDIVAM SOUSA DAMASCENO,EDIVAM DAMASCENO,
EDUARDO PIO,EDUARDO SAMPAIO GOMES LEITE,EDUARDO PIO X,
TALITA VALE,TALITA KARINE LUSTOSA LIMA VALLE MELLO,TALITA VALLE,
LUIZ MENESES,LUIZ CAVALCANTE E MENEZES,LUIZ MENEZES,
LUIS MENEZES,LUIZ CAVALCANTE E MENEZES,LUIZ MENEZES,
MARCIO MOTA,CLAUDIO MARCIO TEIXEIRA MOTTA,MARCIO MOTTA,
HILDA RIBERIO,HILDA ROLLEMBERG RIBEIRO,HILDA RIBEIRO,
IBRAIM VALMIR,IBRAIN SILVA MONTEIRO,IBRAIN VALMIR,
EVALDO BRITO,JOSE EDVALDO BRITO,EDVALDO BRITO,
CAROLINA ANGELELI,CAROLINA ANGELELLI,CAROLINA ANGELELLI,
JOAO VILELA,JOAO AUGUSTO LOPES VILLELA SOUSA,JOAO VILLELA,
ERIKA PEDORSA,ERIKA FERNANDES PEDROSA,ERIKA PEDROSA,
JOAO VILELLA,JOAO AUGUSTO LOPES VILLELA SOUSA,JOAO VILLELA,
ANDRE MATARAZZO,ANGELO ANDREA MATARAZZO,ANDREA MATARAZZO,
PROF WAMISTON,WAMISTON GOMES SILVA,PROF WAMISTOM,
HAGAUS NETTO,HAGAHUS ARAUJO E SILVA NETTO,HAGAHUS NETTO,
JAMYL ASFURI,JAMYL ASFURY MARTINS OLIVEIRA,JAMYL ASFURY,
KEILA CRISTINA,KEYLA CRISTINA FERNANDES SILVA,KEYLA CRISTINA,
BURNO LAMAS,BRUNO LAMAS SILVA,BRUNO LAMAS,
ALEXANDRE XAMIBNHO,ALEXANDRE ARAUJO MARCAL,ALEXANDRE XAMBINHO,
ELAINE CORRE,ELANE APARECIDA GARCIA LEAO CORREA,ELANE CORREA,
DORIOS RIOS,DORIS FATIMA RIBEIRO PEARCE,DORIS RIOS,
FILIPE CARLELO,FILIPE CARDOSO CARIELO,FILIPE CARIELO,
HACIB HARB,RACIB PANAGE HARB,RACIB HARB,
MARCELINHO BEM ESTAR,MARCELO VIEIRA VITORAZZI,MARCELINHO BEM STAR,
RUI CARNEIRO,RUY MANUEL CARNEIRO BARBOSA ACA BELCHIOR,RUY CARNEIRO,
GUSTAVO MATO,GUSTAVO MATOS RIBEIRO,GUSTAVO MATOS,
RAFAELA LOSSI,RAFAELA MARTINS LOSI,RAFAELA LOSI,
OTACCI,JOSE OTACI BARROSO NASCIMENTO,OTTACI,
JILMA TATTO,JILMAR AUGUSTINHO TATTO,JILMAR TATTO,
FILLIPI,JOSE FILIPPI JUNIOR,FILIPPI,
PROFESSOR AGILBERTO,AGLIBERTO SOCORRO CHAGAS,PROFESSOR AGLIBERTO,
HAGAHUS NETO,HAGAHUS ARAUJO E SILVA NETTO,HAGAHUS NETTO,
CESINHA,AUGUSTO CEZAR PEREIRA SANTOS,CEZINHA,
DR GIOVANI,GIOVANNI TADEU SOUZA CASTRO,DR GIOVANNI,
SOCORRO NERY,MARIA SOCORRO NERI MEDEIROS SOUZA,SOCORRO NERI,
JAMIL ASFURY,JAMYL ASFURY MARTINS OLIVEIRA,JAMYL ASFURY,
BRUNOS REIS,BRUNO SOARES REIS,BRUNO REIS,
CLAUDIA SENNA,CLAUDIO MUHAMMAD JABER,CLAUDIO SENNA,
NERILDO PENNA,NERILDA APARECIDA PENNA,NERILDA PENNA,
MATHISAS BERTRAM,MATHIAS EMILIO BERTRAM,MATHIAS BERTRAM,
JUCLEIDE,JOCILEIDE SOUZA RODRIGUES,JUCILEIDE,
EDUARDO ZIMMERMAN,EDUARDO ZIMMERMANN E SILVA,EDUARDO ZIMMERMANN,
PROFESSOR RODOLGO,RODOLFO WILSON RODRIGUES BRAGA,PROFESSOR RODOLFO,
JUNIOR APRILLANTI,JOSE ROBERTO APRILLANTI JUNIOR,JUNIOR APRILANTI,
MAYRTON BARRETO,JOSE MAIRTON PEREIRA BARRETO,MAIRTON BARRETO,
MARCELO BRADAO,MARCELO ANTONIO SANTOS BRANDAO,MARCELO BRANDAO,
RO BENTO,JOSE ROBERTO SANTOS TOLENTINO,RO BETO,
VALCIR,VALCYR ALMEIDA RIOS,VALCYR,
DANIEL SANATANA,DANIEL SANTANA BARBOSA,DANIEL SANTANA,
ELIVIS SANTOS,ELVIS SOUZA SANTOS,ELVIS SANTOS,
CARLOS ITAPAUA,CARLOS ALBERTO SILVA,CARLOS ITAPUA,
ALLYSON LIMA,ALYSSON FRANCISCO LIMA,ALYSSON LIMA,
GUSTAO GAYER,GUSTAVO GAYER MACHADO ARAUJO,GUSTAVO GAYER,
SELINTON MIRANDA,SELITON MIRANDA MELO,SELITON MIRANDA,
MAURICIO CAVALCANTE,JOSE MAURICIO ANDRADE CAVALCANTI JUNIOR,MAURICIO CAVALCANTI,
HERMANO MORAES,HERMANO COSTA MORAES,HERMANO MORAIS,
LUCAS FOLADOR,LUCAS FOLLADOR,LUCAS FOLLADOR,
JOHSON,LINDON JONSON COSTA,JONSON,
PROFESSOR WELLITON,WELITON PEREIRA CAMPOS,PROFESSOR WELITON,
LUIZ TEGAMY,LUIZ JOSE TEGAMI,LUIZ TEGAMI,
RAFAEL PIOVESAN,RAFAEL PIOVEZAN,RAFAEL PIOVEZAN,
GUILHEME PRADO,GUILHERME PRADO ALMEIDA SOUZA,GUILHERME PRADO,
CORACY MLO,CORACY PAULA MELO LOPES,CORACY MELO,
AMAZONINO MENDEA,AMAZONINO ARMANDO MENDES,AMAZONINO MENDES,
MOISES BARBOSA,MOIZES BARBOSA COSTA,MOIZES BARBOSA,
ERIKSON,ERIKSSON SANTOS SILVA,ERIKSSON,
DR GULHERME,GUILHERME SAMPAIO SARAIVA,DR GUILHERME,
RENATO FIORIO,RENATA SABRA BAIAO FIORIO NASCIMENTO,RENATA FIORIO,
ELIEAZAR LOPES,ELEAZAR FERREIRA LOPES,ELEAZAR LOPES,
VANDERLAN CARODOSO,VANDERLAN VIEIRA CARDOSO,VANDERLAN CARDOSO,
JOAO CESAR,JOAO CEZAR FONSECA,JOAO CEZAR,
MAURIVAN TAVARES,MAURIVAN ALMEIDA TAVARES,MAURIVAM TAVARES,
PPROFESSOR BARTOLOMEU,BARTOLOMEU GOMES ALVES,PROFESSOR BARTOLOMEU,
ANTONIO COEHO,ANTONIO COELHO RODRIGUES,ANTONIO COELHO,
GERALDO RODRIGUS,GERALDO CRUZ RODRIGUES,GERALDO RODRIGUES,
RODRIGO ASSECOM,RODRIGO DOMINGOS RAMOS,RODRIGO ASSECON,
ICA DOMINGOS,ILCA CORRAL MENDES DOMINGOS,ILCA DOMINGOS,
IZAILTON SOUZA,IZAILTON SOUSA,IZAILTON SOUSA,
NEI SANTANA,ORLANEI AMARAL SANTANA,NEY SANTANA,
DARCI LEMEN,DARCI JOSE LERMEN,DARCI LERMEN,
DR ROLANDO,ROLAND JOSE POVOAS CARVALHO,DR ROLAND,
FLAVINHO FERRAZ,FAVIO LUCIO SA FERRAZ,FAVINHO FERRAZ,
ADRIANNO POSTO,ADRIANNO ALEXANDRE GALINDO BEZERRA,ADRIANO POSTO,
PROFESSORA JEQUEBEDE,JOQUEBEDE DIAS SANTOS NUNES,PROFESSORA JOQUEBEDE,
