info_muni,candidate,correction,,,,,,
PORTO DA FOLHA,MIGUEL DOUTOR MARCOS,NA,,,,,,
PORTO DA FOLHA,DR JULIO,NA,,,,,,
PORTO DA FOLHA,MANOEL LIMA,NA,,,,,,
PORTO VELHO,LEO MORAES,NA,,,,,,
PORTO VELHO,CRISTIANE LOPES,NA,,,,,,
PORTO VELHO,HILDON CHAVES,NA,,,,,,
PORTO VELHO,LINDOMAR GARCOM,NA,,,,,,
PORTO VELHO,VINICIUS MIGUEL,NA,,,,,,
PORTO VELHO,DR FERNANDO MAXIMO,NA,,,,,,
PORTO VELHO,SAMUEL COSTA,NA,,,,,,
PORTO VELHO,BRENO MENDES,NA,,,,,,
PORTO VELHO,EDVALDO SOARES,NA,,,,,,
PORTO VELHO,WANDERLEI ORIANI,NA,,,,,,
PORTO VELHO,ZEQUINHA ARAUJO,NA,,,,,,
PORTO VELHO,EDWILSON NEGREIROS,NA,,,,,,
PORTO VELHO,ADA DANTAS,NA,,,,,,
PORTO VELHO,JOELNA HOLDER,NA,,,,,,
PORTO VELHO,IRINEU DER,NA,,,,,,
PORTO VELHO,ROSINALDO GUEDES,NA,,,,,,
PORTO VELHO,ISAC MACHADO,NA,,,,,,
PORTO VELHO,MARCELO REIS,NA,,,,,,
PORTO VELHO,SARGENTO GUSMAO,NA,,,,,,
PORTO VELHO,NILTON SOUZA,NA,,,,,,
PORTO VELHO,MAURO ZANIF,NA,,,,,,
PORTO VELHO,PIMENTA RONDONIA,NA,,,,,,
PORTO VELHO,EYDER BRASIL,NA,,,,,,
PORTO VELHO,ALAN QUEIROZ,NA,,,,,,
PORTO VELHO,HERMINIO COELHO,NA,,,,,,
PORTO VELHO,RONALDO FLORES,NA,,,,,,
PORTO VELHO,LEONEL BERTOLIN,NA,,,,,,
PORTO VELHO,ALEX PALITOT,NA,,,,,,
PORTO VELHO,EDMILSON DOURADO,NA,,,,,,
PORTO VELHO,ALISSON SANDUBAS,NA,,,,,,
PORTO VELHO,GILBER,NA,,,,,,
PORTO VELHO,BOSCO FEDERAL,NA,,,,,,
PORTO VELHO,EDEVALDO NEVES,NA,,,,,,
PORTO VELHO,JUNIOR QUEIROZ,NA,,,,,,
PORTO VELHO,WILIAMES PIMENTEL,NA,,,,,,
PORTO VELHO,CORONEL RONALDO,NA,RONALDO FLORES,,,,,
PORTO VELHO,CHICO HOLANDA,NA,,,,,,
PRINCESA ISABEL,RICARDO PEREIRA,NA,,,,,,
PRINCESA ISABEL,ALAN MOURA,NA,,,,,,
PRINCESA ISABEL,SIDNEY FILHO,NA,,,,,,
SANTANA DO ARAGUAIA,ZE QUINCA,NA,,,,,,
SANTANA DO ARAGUAIA,EDUARDO MACHADO,NA,,,,,,
SANTANA DO ARAGUAIA,NILTON MILTAO,NA,,,,,,
SANTANA DO ARAGUAIA,GOIANINHO,NA,,,,,,
SANTO ANTÔNIO DE LISBOA,DR KARLAO,NA,,,,,,
SANTO ANTÔNIO DE LISBOA,ASSIS CIPRIANO,NA,,,,,,
SANTO ANTÔNIO DE LISBOA,WELLINGTON CARLOS,NA,,,,,,
SANTOS,PROF KENNY,PROFESSOR KENNY,,,,,,
SANTOS,TELMA SOUZA,NA,,,,,,
SANTOS,ROSANA VALLE,NA,,,,,,
SANTOS,JOAO PAULO PAPA,NA,,,,,,
SANTOS,PAULO CORREA JUNIOR,NA,,,,,,
SANTOS,BANHA,ANTONIO CARLOS BANHA,,,,,,
SANTOS,JUNIOR BOZZELLA,NA,,,,,,
SANTOS,IVAN SARTORI,NA,,,,,,
SANTOS,JOAO VILLELA,NA,,,,,,
SANTOS,ROGERIO SANTOS,NA,,,,,,
SANTOS,JOSE RENATO QUARESMA,NA,,,,,,
SANTOS,PAULO ALEXANDRE,PAULO ALEXANDRE BARBOSA,,,,,,
SANTOS,RUI ROSIS,NA,,,,,,
SANTOS,DOUGLAS MARTINS,NA,,,,,,
SANTOS,PAULO ALEXANDRE BARBOSA,NA,,,,,,
SANTOS,PROFESSOR KENNY,NA,,,,,,
SANTOS,VICENTE CASCIONE,NA,,,,,,
SANTOS,MARCELO COELHO,NA,,,,,,
SANTOS,ANTONIO CARLOS BANHA,NA,,,,,,
SANTOS,DELEGADO ROMANO,NA,,,,,,
SANTOS,BAYARD UMBUZEIRO,NA,,,,,,
SANTOS,GUILHERME PRADO,NA,,,,,,
SÃO GONÇALO DO AMARANTE,JAIME,JAIME CALADO,,,,,,
SÃO GONÇALO DO AMARANTE,POTI NETO,NA,,,,,,
SÃO GONÇALO DO AMARANTE,PAULINHO,NA,,,,,,
SÃO GONÇALO DO AMARANTE,AILTON,AILTON FAGUNDES,,,,,,
SÃO GONÇALO DO AMARANTE,CHANXE,NA,,,,,,
SÃO GONÇALO DO AMARANTE,JUNIOR DEPOSITO,NA,,,,,,
SÃO GONÇALO DO AMARANTE,AILTON FAGUNDES,NA,,,,,,
SÃO GONÇALO DO AMARANTE,JAIME CALADO,NA,,,,,,
SÃO JOSÉ DE RIBAMAR,JULINHO,DR JULINHO,,,,,,
SÃO JOSÉ DE RIBAMAR,EUDES SAMPAIO,NA,,,,,,
SÃO JOSÉ DE RIBAMAR,JOTA PINTO,NA,,,,,,
SÃO JOSÉ DE RIBAMAR,BETO VILAS,NA,,,,,,
SÃO JOSÉ DE RIBAMAR,EDSON JUNIOR,NA,,,,,,
SÃO JOSÉ DE RIBAMAR,TIAGO FERNANDES,NA,,,,,,
SÃO JOSÉ DE RIBAMAR,DR JULINHO,NA,,,,,,
SÃO JOSÉ DO CAMPESTRE,NENEM BORGES,NA,,,,,,
SÃO JOSÉ DO CAMPESTRE,LUCIANO,NA,,,,,,
SÃO JOSÉ DO CAMPESTRE,MARCELO,NA,,,,,,
SÃO LUÍS,EDUARDO BRAIDE,NA,,,,,,
SÃO LUÍS,DUARTE JUNIOR,NA,,,,,,
SÃO LUÍS,ROSEANA SARNEY,NA,,,,,,
SÃO LUÍS,WELLINGTON CURSO,NA,,,,,,
SÃO LUÍS,JEISAEL MARX,NA,,,,,,
SÃO LUÍS,BIRA PINDARE,NA,,,,,,
SÃO LUÍS,NETO EVANGELISTA,NA,,,,,,
SÃO LUÍS,RUBENS JUNIOR,NA,,,,,,
SÃO LUÍS,TADEU PALACIO,NA,,,,,,
SÃO LUÍS,OSMAR FILHO,NA,,,,,,
SÃO LUÍS,JEFFERSON PORTELA,NA,,,,,,
SÃO LUÍS,ADRIANO SARNEY,NA,,,,,,
SÃO LUÍS,CARLOS MADEIRA,NA,,,,,,
SÃO LUÍS,YGLESIO MOISES,NA,,,,,,
SÃO LUÍS,MADEIRA,DR MADEIRA,,,,,,
SÃO LUÍS,DR YGLESIO,YGLESIO MOISES,,,,,,
SÃO LUÍS,DETINHA,NA,,,,,,
SÃO LUÍS,JEISAEL,JEISAEL MARX,,,,,,
SÃO LUÍS,RUBENS,RUBENS JUNIOR,,,,,,
SÃO LUÍS,YGLESIO,YGLESIO MOISES,,,,,,
SÃO LUÍS,DR MADEIRA,NA,,,,,,
SÃO LUÍS,BIRA PANDARE,BIRA PINDARE,,,,,,
SÃO LUÍS,FRANKLIN DOUGLAS,NA,,,,,,
SÃO PAULO,CELSO RUSSOMANNO,NA,,,,,,
SÃO PAULO,BRUNO COVAS,NA,,,,,,
SÃO PAULO,MARCIO FRANCA,NA,,,,,,
SÃO PAULO,GUILHERME BOULOS,NA,,,,,,
SÃO PAULO,ANDREA MATARAZZO,NA,,,,,,
SÃO PAULO,ARTHUR VAL,NA,,,,,,
SÃO PAULO,JILMAR TATTO,NA,,,,,,
SÃO PAULO,JOICE HASSELMANN,NA,,,,,,
SÃO PAULO,FERNANDO HADDAD,NA,,,,,,
SÃO PAULO,JOAO DORIA,NA,,,,,,
SÃO PAULO,JAIR BOLSONARO,NA,,,,,,
SÃO PAULO,LULA,NA,,,,,,
SÃO PAULO,MARTA SUPLICY,NA,,,,,,
SÃO PAULO,JOSE LUIZ DATENA,NA,,,,,,
SÃO PAULO,TABATA AMARAL,NA,,,,,,
SÃO PAULO,FILIPE SABARA,NA,,,,,,
SÃO PAULO,PAULO SKAFF,PAULO SKAF,,,,,,
SÃO PAULO,ARTHUR MAMAE FALEI,ARTHUR VAL,,,,,,
SÃO PAULO,ORLANDO SILVA,NA,,,,,,
SÃO PAULO,PAULO SKAF,NA,,,,,,
SÃO PAULO,LEVY FIDELIX,NA,,,,,,
SÃO PAULO,MARINA HELOU,NA,,,,,,
SÃO PAULO,VERA LUCIA,NA,,,,,,
SONORA,ENELTO RAMOS,NA,,,,,,
SONORA,CLARICE,NA,,,,,,
SONORA,EZEQUIEL,NA,,,,,,
TERESINA,DR PESSOA,NA,,,,,,
TERESINA,FABIO ABREU,NA,,,,,,
TERESINA,SILVIO MENDES,NA,,,,,,
TERESINA,FABIO NOVO,NA,,,,,,
TERESINA,SILAS FREIRE,NA,,,,,,
TERESINA,KLEBER MOTEZUMA,KLEBER MONTEZUMA,,,,,,
TERESINA,GEORGIANO NETO,NA,,,,,,
TERESINA,ZE NITO,NA,,,,,,
TERESINA,DUDU,NA,,,,,,
TERESINA,JONINHA,NA,,,,,,
TERESINA,GRACA AMORIM,NA,,,,,,
TERESINA,SAMUEL SILVEIRA,NA,,,,,,
TERESINA,JEOVA,NA,,,,,,
TERESINA,EDSON MELO,NA,,,,,,
TERESINA,CIDA SANTIAGO,NA,,,,,,
TERESINA,FIRMINO FILHO,NA,,,,,,
TERESINA,KLEBER MONTEZUMA,NA,,,,,,
TERESINA,MAJOR DIEGO,NA,,,,,,
TERESINA,VALTER ALENCAR,NA,,,,,,
TERESINA,FABIO SERVIO,NA,,,,,,
TERESINA,JOAO VICENTE CLAUDINO,NA,,,,,,
TERESINA,PEDRO LAURENTINO,NA,,,,,,
TERESINA,LOURDES MELO,NA,,,,,,
TUNTUM,FERNANDO PESSOA,NA,,,,,,
TUNTUM,DIDA TIO LUIS,NA,,,,,,
TUNTUM,DIDA,DIDA TIO LUIS,,,,,,
