NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
MATO GROSSO,DILMAR BOSCO,DILMAR DAL BOSCO,DILMAR DALBOSCO,,
MATO GROSSO,SEBASTIAO REZENDE,SEBASTIAO MACHADO REZENDE,ENG SEBASTIAO MACHADO REZENDE,,
MATO GROSSO,ADRIANO SILVA,ADRIANO APARECIDO SILVA,PROFº ADRIANO SILVA,,
PARÁ,JATENE,SIMAO ROBISON OLIVEIRA JATENE,SIMAO JATENE,,
PARÁ,HELDER,HELDER ZAHLUTH BARBALHO,HELDER BARBALHO,,
PARÁ,HELENILSON,HELENILSON CUNHA PONTES,HELENILSON PONTES,,
PARÁ,EDER MAURO,EDER MAURO CARDOSO BARRA,DELEGADO EDER MAURO,,
PARÁ,WLADIMIR COSTA,WLADIMIR AFONSO COSTA RABELO,WLAD,,
PARÁ,ARNALDO JORDY,ARNALDO JORDY FIGUEIREDO,JORDY,,
PARÁ,SINOE,ARSINOE VEIGA AVANZINI,SINOE AVANZINI,,
PARÁ,NILCE,JANILCE SOUZA FIGUEIREDO,NILCE FIGUEIREDO,,
PARAÍBA,RICARDO,RICARDO VIEIRA COUTINHO,RICARDO COUTINHO,,
PARAÍBA,VITAL REGO,VITAL REGO FILHO,VITAL,,
PERNAMBUCO,ARMANDO,ARMANDO QUEIROZ MONTEIRO NETO,ARMANDO MONTEIRO,,
PERNAMBUCO,PAULO,PAULO HENRIQUE SARAIVA CAMARA,PAULO CAMARA,,
PERNAMBUCO,FERNANDO BEZERRA,FERNANDO BEZERRA SOUZA COELHO,FERNANDO BEZERRA COELHO,,
PIAUÍ,MAKLANDEL AQUINO,MAKLANDEL AQUINO MATOS,MAKLANDEL,,
PIAUÍ,HERACLITO FORTES,HERACLITO SOUSA FORTES,HERACLITO,,
PIAUÍ,MERLONG,MERLONG SOLANO NOGUEIRA,MERLONG SOLANO,,
PIAUÍ,FABIO ABREU,FABIO ABREU COSTA,CAPITAO FABIO ABREU,,
PIAUÍ,RODRIGO MARTINS,RODRIGO RODRIGUES SOUZA MARTINS,RODRIGO,,
PIAUÍ,FLAVIO,FLAVIO RODRIGUES NOGUEIRA,FLAVIO NOGUEIRA,,
PIAUÍ,LANDIM,JOSE FRANCISCO PAES LANDIM,PAES LANDIM,,
PIAUÍ,JULIO CESAR LIMA,JULIO CESAR CARVALHO LIMA,JULIO CESAR,,
PIAUÍ,JULIANA,JULIANA MELO FALCAO MORAES SOUZA,JULIANA MORAES SOUZA,,
PIAUÍ,SA JUNIOR,JOAO HENRIQUE FURTADO ORSANO JUNIOR,JOAO HENRIQUE ORSANO,1,
PIAUÍ,NOGUEIRA JUNIOR,FLAVIO RODRIGUES NOGUEIRA JUNIOR,FLAVIO NOGUEIRA JUNIOR,,
PIAUÍ,FLAVIO JUNIOR,FLAVIO RODRIGUES NOGUEIRA JUNIOR,FLAVIO NOGUEIRA JUNIOR,,
PIAUÍ,PABLO SANTOS,PABLO DANTAS MOURA SANTOS,DR PABLO SANTOS,,
PIAUÍ,FERNANDO,FERNANDO ALBERTO BRITO MONTEIRO,FERNANDO MONTEIRO,,
PIAUÍ,ELIESIO,ELIESIO SILVA FERNANDES,ELIESIO FERNANDES,,
PIAUÍ,RUBEM,RUBEM NUNES MARTINS,RUBEM MARTINS,,
PIAUÍ,CICERO,CICERO MAGALHAES OLIVEIRA,CICERO MAGALHAES,,
PIAUÍ,MADISON,JOAO MADISON NOGUEIRA,JOAO MADISON,,
PIAUÍ,GEORGIANO NETO,GEORGIANO FERNANDES LIMA NETO,GEORGIANO,,
PIAUÍ,ENEAS,ENEAS MAIA SANTOS,ENEAS MAIA,,
PIAUÍ,ANTONIO UCHOA,ANTONIO UCHOA OLIVEIRA,UCHOA,,
PIAUÍ,SALOMAO HOLANDA,SALOMAO HOLANDA SOARES,SALOMAO,,
PARANÁ,GLEISI,GLEISI HELENA HOFFMANN,GLEISI HOFFMANN,,
PARANÁ,OGIER,OGIER ALBERGE BUCHI,OGIER BUCHI,,
PARANÁ,ROBERTO REQUIAO,ROBERTO REQUIAO MELLO E SILVA,REQUIAO,,
RIO DE JANEIRO,CRIVELLA,MARCELO BEZERRA CRIVELLA,MARCELO CRIVELLA,,
RIO DE JANEIRO,LINDBERG,LUIZ LINDBERGH FARIAS FILHO,LINDBERG FARIAS,,
RIO DE JANEIRO,LINDBERGH,LUIZ LINDBERGH FARIAS FILHO,LINDBERG FARIAS,,
RIO GRANDE DO NORTE,ROBINSON,ROBINSON MESQUITA FARIA,ROBINSON FARIA,,
RIO GRANDE DO NORTE,HENRIQUE,HENRIQUE EDUARDO LYRA ALVES,HENRIQUE ALVES,,
RIO GRANDE DO NORTE,SIMONE,VERONICA SIMONE DUTRA VERAS,SIMONE DUTRA,,
RIO GRANDE DO NORTE,ROBERIO,ROBERIO PAULINO RODRIGUES,PROFESSOR ROBERIO PAULINO,,
RIO GRANDE DO NORTE,LAILSON,LAILSON ALMEIDA,PROFESSOR LAILSON,,
RIO GRANDE DO NORTE,RONCONI,CARLOS ROBERTO RONCONI,ROBERTO RONCONI,,
RIO GRANDE DO NORTE,KELPS,KELPS OLIVEIRA LIMA,KELPS LIMA,,
RIO GRANDE DO NORTE,EZEQUIEL,EZEQUIEL GALVAO FERREIRA SOUZA,EZEQUIEL FERREIRA,,
RIO GRANDE DO NORTE,VALERIA BARBALHO,ANA VALERIA BARBALHO CAVALCANTI,VALERIA BARBALHO CAVALCANTI,,
RONDÔNIA,EVERALDO FOGACA,EVERALDO ALVES FOGACA,FOGACA SITE O OBSERVADOR,,
RONDÔNIA,GUILHERME ERSE,GUILHERME ERSE MOREIRA MENDES,GUILHERME MOREIRA MENDES,,
RONDÔNIA,GUILHERME MOREIRA,GUILHERME ERSE MOREIRA MENDES,GUILHERME MOREIRA MENDES,,
RONDÔNIA,RIBAMAR ARAUJO,JOSE RIBAMAR ARAUJO,DR RIBAMAR ARAUJO,,
RONDÔNIA,PAULO MARQUEZINI,PAULO SERGIO MARQUEZINI,DR PAULO MARQUEZINI,,
RONDÔNIA,LUIZ CLAUDIO,LUIZ CLAUDIO SILVA,DJ CARIOCA,,
RONDÔNIA,BESSA,FRANCISCO EDWILSON BESSA HOLANDA NEGREIROS,EDVILSON NEGREIROS,,
RIO GRANDE DO SUL,ANA AMELIA,ANA AMELIA LEMOS,ANA AMELIA LEMOS,,
SERGIPE,AMORIM,EDUARDO ALVES AMORIM,EDUARDO AMORIM,,
SERGIPE,SONIA MEIRE,SONIA MEIRE SANTOS AZEVEDO JESUS,PROF SONIA MEIRE,,
SERGIPE,ROGERIO CARVALHO,ROGERIO CARVALHO SANTOS,ROGERIO,,
SERGIPE,MARQUES,JOSE ANTONIO MARQUES OLIVEIRA,PROFESSOR MARQUES,,
SERGIPE,ANTONIO MARQUES,JOSE ANTONIO MARQUES OLIVEIRA,PROFESSOR MARQUES,,
SÃO PAULO,PAULO SKAF,PAULO ANTONIO SKAF,SKAF,,
SÃO PAULO,ALEXANDRE PADILHA,ALEXANDRE ROCHA SANTOS PADILHA,PADILHA,,
SÃO PAULO,ALCKMIN,GERALDO JOSE RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,,
SÃO PAULO,SERRA,JOSE SERRA,JOSE SERRA,,
SÃO PAULO,SUPLICY,EDUARDO MATARAZZO SUPLICY,EDUARDO SUPLICY,,
SÃO PAULO,KASSAB,GILBERTO KASSAB,GILBERTO KASSAB,,
SÃO PAULO,MACHADO,MARLENE OLIVEIRA CAMPOS MACHADO,MARLENE CAMPOS MACHADO,,
SÃO PAULO,LUCAS,LUIZ FERNANDO AMARAL LUCAS,FERNANDO LUCAS,,
SÃO PAULO,JORGE WILSON,JORGE WILSON GONCALVES MATTOS,JORGE WILSON XERIFE CONSUMIDOR,,
SÃO PAULO,KAMEI,EDUARDO KAMEI YUKISAKI,EDUARDO KAMEI,,
SÃO PAULO,CARLOS BEZERRA,CARLOS ALBERTO QUADROS BEZERRA JUNIOR,CARLOS BEZERRA JUNIOR,,
TOCANTINS,CARLOS POTENGY,CARLOS POTENGY BARBOSA RIBEIRO,POTENGY,,
TOCANTINS,MARIA CONCEICAO,MARIA CONCEICAO SILVA OLIVEIRA,CEICA,,
DISTRITO FEDERAL,FREJAT,JOFRAN FREJAT,JOFRAN FREJAT,,
PORTO VELHO,WILLIAMES PIMENTEL,WILLIAMES PIMENTEL OLIVEIRA,PIMENTEL,,
PORTO VELHO,RIBAMAR ARAUJO,JOSE RIBAMAR ARAUJO,DR RIBAMAR ARAUJO,,
PORTO VELHO,MAURO NAZIF,MAURO NAZIF RASUL,DR MAURO,,
PORTO VELHO,EVERALDO FOGACA,EVERALDO ALVES FOGACA,FOGACA SITE O OBSERVADOR,,
PORTO VELHO,ELIS REGINA,ELISSANDRA REGINA CAVALCANTE,NENE,,
PORTO VELHO,LUAN COSTA,LUAN WENDEL MARTINS COSTA,LUAN TV,,
PORTO VELHO,MARCIO PACELE,MARCIO PACELE VIEIRA SILVA,MARCIO SITETUPERON,,
PORTO VELHO,FOGACA,EVERALDO ALVES FOGACA,FOGACA SITE O OBSERVADOR,,
PORTO VELHO,ELLIS REGINA,ELLIS REGINA BATISTA LEAL OLIVEIRA,ELLIS REGINA SINDEPROF,,
PORTO VELHO,CLODOALDO,FRANCISCO CLODOALDO MATOS,CLODOALDO NEGACO,,
PORTO VELHO,INGRID,INGRIDE TELASSIN GURGEL BARRETO,INGRIDE GURGEL,,
JI-PARANA,MARCIA REGINA,MARCIA REGINA SOUZA,PROFESSORA MARCIA REGINA,,
JI-PARANA,MARCELO,MARCELO JOSE LEMOS,MARCELO LEMOS,,
JI-PARANA,ADAIAS,ADAIAS JOSE ALMEIDA,ADAIAS ALMEIDA,,
PIMENTA BUENO,ALEXANDRE,ALEXANDRE APARECIDO OLIVEIRA,ALEXANDRE OLIVEIRA,,
PIMENTA BUENO,SERGIO,SERGIO APARECIDO TOBIAS,SERGIO TOBIAS SERJAO,,
PIMENTA BUENO,ROSANGELA,ROSANGELA BARBOSA OLIVEIRA,ROSANGELA OLIVEIRA,,
VILHENA,ROGERIO GOLFETTO,ROGERIO SIDINEI GOLFETTO,ROGERIO DISTRIBUIDORA,,
VILHENA,ADAO LOPES,ADAO TEOTONIO LOPES,ADAO CONSTRUTOR,,
VILHENA,VALERIA,VALERIA PEREIRA LOPES SILVA,VALERIA LOPES,,
VILHENA,JOSE GARCIA,JOSE GARCIA SILVA,GARCIA,,
VILHENA,MIGUEL CAMARA,MIGUEL CAMARA NOVAES,PROFESSOR MIGUEL CAMARA,,
VILHENA,SAMIR,SAMIR MAHMOUD ALI,SAMIR ALI,,
JARU,JEAN,EDERJEAN CARDOSO SANTOS,DJ MANIA,,
PRESIDENTE MEDICI,ALFREDO,ALFREDO ALMEIDA GENELHU NETO,ALFREDO GENELHU,,
PRESIDENTE MEDICI,LUCAS,LUCAS ROSSONI COSTA,LUCAS ROSSONI,,
COLORADO DO OESTE,RIBAMAR,JOSE RIBAMAR OLIVEIRA,PROFESSOR RIBAMAR,,
ALVORADA DO OESTE,DEMI,ALDEMIRO LEANDRO PEREIRA TOSTE,DEMI OITAVINHA,,
ALVORADA DO OESTE,DELLUANA,DELLUANA VITOTIA RODRIGUES,DELLUANA TANCREDOPOLIS,,
ALVORADA DO OESTE,JOAO PAULO,JOAO PAULO FAMBRE SANTOS,JOAO PAULO TERRA BOA,,
ALVORADA DO OESTE,CLEISE,CLEISE MIRANDA CAVALCANTI PEREIRA,CLEISE ASSISTENTE SOCIAL,,
ALVORADA DO OESTE,JONAS,JONAS PEREIRA FREITAS,JONAS 72,,
SAO MIGUEL DO GUAPORE,CORNELIO,CORNELIO DUARTE CARVALHO,CORNELIO DUARTE,,
SAO MIGUEL DO GUAPORE,JAIME,JAIME DELCI PURPER,JAIME PURPER,,
CABIXI,SILVENIO,SILVENIO ANTONIO ALMEIDA,SILVENIO ALMEIDA,,
CANDEIAS DO JAMARI,NEILTON BENTO,NEILTON BENTO SANTOS,NEILTON,,
RIO CRESPO,EUDES,EUDES SOUSA E SILVA,EUDES SOUSA,,
CORUMBIARA,LEANDRO,LEANDRO TEIXEIRA VIEIRA,LEANDRO VIEIRA,,
CUJUBIM,FRANCIANE,FRANCIANE BRITO ALVES SAMPAIO SOUZA,FRANCIANE SAMPAIO,,
VALE DO ANARI,ANILDO,ANILDO ALBERTON,ANILDO MADEIREIRO,,
PIMENTEIRAS DO OESTE,JOAO MIRANDA,JOAO MIRANDA ALMEIDA,PROF JOAO MIRANDA,,
COARI,RAIMUNDO MAGALHAES,RAIMUNDO NONATO ARAUJO MAGALHAES,MAGALHAES,,
MANAUS,MARCELO,MARCELO RAMOS RODRIGUES,MARCELO RAMOS,,
MANAUS,ARTHUR,ARTHUR VIRGILIO CARMO RIBEIRO NETO,ARTUR NETO,,
GOIANESIA DO PARA,ITAMAR,ITAMAR CARDOSO NASCIMENTO,ITAMAR CARDOSO,,
TAILANDIA,ROBERTO,ROBERTO CARLOS GAMBIN,ROBERTO GAMBIN,,
ALTAMIRA,JUVENIL,DOMINGOS JUVENIL NUNES SOUSA,DOMINGOS JUVENIL,,
AGUA AZUL DO NORTE,RENAN LOPES,RENAN LOPES SOUTO,RENAN,,
AGUA AZUL DO NORTE,CATIA PATRICIA,CATIA PATRICIA FERREIRA,DRA CATIA,,
BELÉM,MANESCHY,CARLOS EDILSON ALMEIDA MANESCHY,PROFESSOR MANESCHY,,
BELÉM,URSULA,URSULA VIDAL SANTIAGO MENDECA,URSULA VIDAL,,
BELEM,EDMILSON RODRIGUES,EDMILSON BRITO RODRIGUES,EDMILSON,,
BELEM,CARLOS MANESCHY,CARLOS EDILSON ALMEIDA MANESCHY,PROFESSOR MANESCHY,,
BREU BRANCO,ADIMILSON,ADIMILSON LUIS MEZZOMO,ADIMILSON MEZZOMO,,
BREU BRANCO,DIEGO,DIEGO KOLLING,DIEGO ALEMAO,,
PLACAS,RAQUEL,LEILA RAQUEL POSSIMOSER BRANDAO,RAQUEL BRANDAO,,
PLACAS,VOLMIR,VOLMIR CONTO,VOLMIR CONTO,,
JURUTI,JOSE NUNES,JOSE NUNES JUNIOR,JOSE NUNES JUNIOR,,
PICARRA,LUNARDI,JAIRO LUIZ LUNARDI,JAIRO,,
MARABA,MANOEL VELOSO,MANOEL CLAUDIO FURTADO VELOSO,DR VELOSO,,
MARABA,JORGE BICHARA,JORGE BICHARA NETO,DR JORGE BICHARA,,
MUANA,ROGER,ROGERS GUIMARAES MARTINS CUNHA,ROGERS CUNHA,,
MUANA,DURVAL,DURVAL BARBOSA,DURVAL PT,,
OBIDOS,MARIO HENRIQUE GUERREIRO,MARIO HENRIQUE SOUZA GUERREIRO,PROFESSOR MARIO HENRIQUE,,
SANTARÉM,NELIO AGUIAR,FRANCISCO NELIO AGUIAR SILVA,NELIO,,
SÃO MIGUEL DO GUAMÁ,CARLOS VAZ,CARLOS SOCORRO GUERREIRO VAZ,PROFESSOR CARLOS VAZ,,
TOME-ACU,JONAS,JONAS DABES BRAZ SANTANA,JONAS RADAR,,
REDENCAO,CARLO IAVE,CARLO IAVE FURTADO ARAUJO,IAVE,,
XINGUARA,AMARILDO PAULINO,AMARILDO PAULINO SILVA,AMARILDO PAULINO SILVA,,
XINGUARA,ARI NASCIMENTO,ARIVALDO SANTOS NASCIMENTO,ARI,,
XINGUARA,RIBAMAR PINHEIRO,RIBAMAR GONCALVES PINHEIRO,DR RIBAMAR,,
PARAUAPEBAS,DARCI LERMEN,DARCI JOSE LERMEN,DARCI,,
PARAUAPEBAS,HIPOLITO REIS,HIPOLITO CONSTANCIO SILVA REIS NETO,DOUTOR HIPOLITO,,
PARAUAPEBAS,HIPOLITO,HIPOLITO CONSTANCIO SILVA REIS NETO,DOUTOR HIPOLITO,,
RUROPOLIS,PABLO,PABLO RAPHAEL GOMES GENUINO,PABLO GENUINO,,
RUROPOLIS,ANESIO,ANESIO SOUZA COELHO,IRMAO ANESIO,,
RUROPOLIS,HENRIQUE,HENRIQUE PEREIRA SILVA FILHO,HENRIQUE HP,,
OURILANDIA DO NORTE,ROMILDO VELOSO,ROMILDO VELOSO E SILVA,DR VELOSO,,
ALCÂNTARA,ANDERSON WILKER,ANDERSON WILKER ABREU ARAUJO,ANDERSON,,
BACABEIRA,ALAN LINHARES,ALAN JORGE SANTOS LINHARES,ALAN,,
BARÃO DE GRAJAÚ,GLEYDSON RESENDE,GLEYDSON RESENDE SILVA,GLEYDSON,,
BARÃO DE GRAJAÚ,CLAUDIME ARAUJO,CLAUDIME ARAUJO LIMA,CLAUDIME,,
BOA VISTA DO GURUPI,ANTONIO BATISTA,ANTONIO BATISTA OLIVEIRA,BATISTA,,
CAPINZAL DO NORTE,ROBERVAL CAMPELO,ROBERVAL CAMPELO SILVA,ROBERVAL,,
CANTANHEDE,IANALDO PIMENTEL,IANALDO PIMENTEL FERREIRA,PROFESSOR IANALDO PIMENTEL,,
CANTANHEDE,ABRAAO,ABRAAO SILVA TEXEIRA,ABRAAO FARMACIA,,
CARUTAPERA,CORDEIRO,JOAO ALVES CORDEIRO FILHO,CORDEIRO DEUS,,
CHAPADINHA,MAGNO BACELAR,MAGNO AUGUSTO BACELAR NUNES,DR MAGNO,,
COELHO NETO,AMERICO,AMERICO SOUSA SANTOS,AMERICO SOUSA,,
JUNCO DO MARANHÃO,ALDIR CUNHA,ALDIR CUNHA RODRIGUES,ALDIR,,
LAGOA GRANDE DO MARANHÃO,ANA PAULA,ANA PAULA VIEIRA SILVA OLIVEIRA,ANA PAULA PAULINO,,
IMPERATRIZ,ASSIS RAMOS,FRANCISCO ASSIS ANDRADE RAMOS,DELEGADO ASSIS,,
PRESIDENTE MEDICI,ILVANE,ILVANE FREIRE PINHO,IVONE ANTONIO PARAENSE,,
MATA ROMA,RAIMUNDO IVALDO SILVA,RAIMUNDO IVALDO NASCIMENTO SILVA,BODE,,
OLHO D ÁGUA DAS CUNHÃS,GLAUBER,GLAUBER CARDOSO AZEVEDO,GLAUBER AZEVEDO,,
PAÇO DO LUMIAR,DUTRA,DOMINGOS FRANCISCO DUTRA FILHO,DOMINGOS DUTRA,,
PAÇO DO LUMIAR,JOSEMAR SOBREIRO,JOSEMAR SOBREIRO OLIVEIRA,PREFEITO JOSEMAR,,
PAÇO DO LUMIAR,MORAES,WENDEL DORNELES MORAES,MORAES MANINHO,,
PAÇO DO LUMIAR,INALDO,INALDO ALVES PEREIRA,INALDO PEREIRA,,
SAO LUIS,EDIVALDO JUNIOR,EDIVALDO HOLANDA BRAGA JUNIOR,EDIVALDO HOLANDA JUNIOR,,
SAO LUIS,ELIZIANE,ELIZIANE PEREIRA GAMA,ELIZIANE GAMA,,
SAO LUIS,EDIVALDO HOLANDA,EDIVALDO HOLANDA BRAGA JUNIOR,EDIVALDO HOLANDA JUNIOR,,
SÃO LUÍS,PEDRO LUCAS,PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,PEDRO LUCAS FERNANDES,,
SÃO MATEUS DO MARANHÃO,IRIOMAR,IRIOMAR TEIXEIRA LIMA,DR IRIOMAR,,
VITORINO FREIRE,JUSIMAR,JUSIMAR LIMA RODRIGUES,JUSIMAR RODRIGUES,,
VITORINO FREIRE,CIRINEU,CIRINEU CUTRIM SANTOS NETO,CIRINEU CUTRIM,,
AÇAILÂNDIA,MELGACO CHAVES,JOSE MELGACO CHAVES,MELGACO,,
AGUA BRANCA,MARINALVA,MARINALVA FERREIRA CHAVES E SILVA,ENFERMEIRA MARINALVA,,
AGUA BRANCA,RICARDO MACEDO,RICARDO MACEDO MOURA,PROFESSOR RICARDO MACEDO,,
BAIXA GRANDE DO RIBEIRO,OZIRES,OZIRES CASTRO SILVA,OZIRES CASTRO,,
BAIXA GRANDE DO RIBEIRO,ALVIMAR,ALVIMAR MEDEIROS SANTOS,ALVIMAR MEDEIROS,,
ALTOS,PATRICIA,PATRICIA MARA SILVA LEAL PINHEIRO,PATRICIA LEAL,,
BERTOLINIA,RODRIGO MARTINS,RODRIGO ROCHA MARTINS,RODRIGO,,
BOM JESUS,ALCINDO PIAUILINO,ALCINDO PIAUILINO BENVINDO ROSAL,ALCINDO,,
BOM JESUS,NESTOR,NESTOR RENATO PINHEIRO ELVAS,NESTOR ELVAS,,
BOM JESUS,COSME CLEMENTINO,COSME CLEMENTINO CAVALCANTE,COSME,,
BOM JESUS,SALVADOR DIAS,SALVADOR DIAS REIS,PROFESSOR SALVADOR,,
BOM JESUS,JANUARIO,JANUARIO MENDES MEDRADO,JANUARIO MEDRADO,,
BOM JESUS,ODAIR JOSE,ODAIR JOSE FONSECA CASTRO,ODAIR,,
BOM JESUS,LUCIA,MARIA LUCIA SOUSA LOPES SANTOS,LUCIA COSTUREIRA,,
CAMPO MAIOR,MARCO PEREIRA,MARCO ANTONIO MIRANDA PEREIRA,DR MARCO,,
CAMPO MAIOR,JOAO FELIX,JOAO FELIX ANDRADE FILHO,JOAOZINHO FELIX,,
CAMPO MAIOR,PAIVA,FRANCISCO RIBEIRO PAIVA FILHO,PAIVA LASQUEIRAO,,
CAMPO MAIOR,MANOEL ALVARENGA,MANOEL IBIAPINA ALVARENGA,PROFESSOR MANOEL ALVARENGA,,
CAMPO MAIOR,REGINA,REGINA MARIA FREIRE ARAUJO OLIVEIRA,REGINA ZE CHICO,,
CAMPO MAIOR,SEVERINO,SEVERINO OLIVEIRA,MARRUA,,
CAMPO MAIOR,ANTONIO JOSE,ANTONIO JOSE ROCHA OLIVEIRA,ANTONIO JOSE ROCHA,,
CAMPO MAIOR,IDELFONSO,IDELFONSO ALVES PEREIRA,IDELFONSO ALVES,,
CAMPO MAIOR,JOAO HENRIQUE,JOAO HENRIQUE MELO NASCIMENTO,PROFESSOR JOAO HENRIQUE,,
CAMPO MAIOR,ARISTIDES,ARISTIDES PEREIRA SANTOS,ARISTIDES PEREIRA,,
CAMPO MAIOR,SEGUNDO,HAMILTON REIS SANTIAGO MATOS SEGUNDO,HAMILTON SEGUNDO,,
SANTA ROSA DO PIAUI,EDGAR,EDGAR CASTELO BRANCO,EDGAR CASTELO BRANCO,,
CRISTALANDIA DO PIAUI,ARIANO,ARIANO MESSIAS NOGUEIRA PARANAGUA,ARIANO MESSIAS,,
CRISTALANDIA DO PIAUI,SANTO,EUGENIO SANTOS SILVA,EUGENIO (SANTO),,
CRISTALANDIA DO PIAUI,ITALIVIO,ITALIVIO MAIA LEMOS ASCENSO,ITALIVIO ASCENSO,,
GUARIBAS,CLAUDINE MATIAS,CLAUDINE MATIAS MAIA,CLAUDINE,,
GUARIBAS,ERCILIO ANDRADE,ERCILIO MATIAS ANDRADE,ERCILIO,,
ISAÍAS COELHO,TERESINHA,TERESINHA JESUS PINHEIRO CARVALHO,DRA TERESINHA,,
JAICOS,MAVIO SILVEIRA,MAVIO SILVEIRA CARVALHO,MAVIO,,
JOSE DE FREITAS,MONTE,FRANCISCO ROCHA MONTE,KALANGO,,
JOSE DE FREITAS,ALFREDO,ALFREDO ALVES HOLANDA,ALFREDO HOLANDA,,
LUIS CORREIA,EDUARDO FERREIRA,EDUARDO ALVES FERREIRA,DR EDUARDO,,
LUIS CORREIA,FRANCILDA,FRANCILDA MARIA PAZ CONCEICAO,FRANCILDA PAZ,,
LUIS CORREIA,FRANCINETE,FRANCINETE MAIA SARAIVA,FRANCINETE KYLDARE,,
LUIS CORREIA,RIBAMAR,JOSE RIBAMAR GOMES SANTOS,RIBAMAR GOMES,,
LUIS CORREIA,ZE MARIA,DEBORA MARIA AZEVEDO OLIVEIRA,DEBORA,1,
MIGUEL ALVES,OLIVEIRA,MIGUEL BORGES OLIVEIRA JUNIOR,OLIVEIRA JUNIOR,,
MIGUEL ALVES,CARLUCIO,JOSE CARLUCIO CRUZ,CARLUCIO CRUZ,,
MIGUEL ALVES,CLEO,CLEONILDO SILVA CARVALHO,PROFESSOR CLEO,,
MONTE ALEGRE DO PIAUI,DAVINELSON SOARES,DAVINELSON SOARES ROSAL,DAVI,,
NOVO ORIENTE DO PIAUÍ,AMANDA SOBREIRA,AMANDA CAROLINE SANTANA SOBREIRA LIRA,AMANDA,,
PADRE MARCOS,VALDINAR SILVA,JOSE VALDINAR SILVA,VALDINAR,,
PEDRO II,NEUMA,NEUMA MARIA CAFE BARROSO,NEUMA CAFE,,
PICOS,VALDIVIA,VALDIVIA SANTOS MARTINS SILVA,VALDIVIA SANTOS,,
PICOS,ADONAI,ADONAI VENANCIO SOUSA CASTRO,ADONAI VENANCIO,,
PICOS,FABIANO,JOSE FABIANO OLIVEIRA,FABIANO OLIVEIRA,,
PICOS,JOAO PEREIRA,JOAO PEREIRA SOUSA,PENA OURO,,
PICOS,JOAO BOSCO,JOAO BOSCO MEDEIROS,BOSQUIM,,
PICOS,IATA,IATA ANDERSON RODRIGUES ALENCAR COELHO,IATA RODRIGUES,,
PIMENTEIRAS,ROGERIO,ROGERIO TOMAZ MOTA,ROGERIO CAETANO,,
PIMENTEIRAS,JANDER,JANDER MARTINS NOGUEIRA,JANDER NOGUEIRA,,
PIRIPIRI,CRISTINA,TERESA CRISTINA GOMES SILVA TEIXEIRA,CRISTINA EVENTOS,,
PIRIPIRI,REVETRIO,REVETRIO SANTOS SOUZA,REVETRIO SOUZA,,
SAO JOAO DO PIAUI,GIL CARLOS,GIL CARLOS MODESTO ALVES,DR GIL CARLOS,,
TERESINA,FRANCISCO CHAGAS,FRANCISCO CHAGAS COSTA OLIVEIRA,QUEMQUEM,,
UNIAO,PAULO HENRIQUE,PAULO HENRIQUE MEDEIROS COSTA,DR PAULO HENRIQUE,,
URUCUI,RENATA COELHO,DEBORA RENATA COELHO ARAUJO,RENATA,,
FRANCISCO MACEDO,NONATO,RAIMUNDO NONATO ALENCAR,NONATO ALENCAR,,
CAMOCIM,MONICA AGUIAR,MONICA GOMES AGUIAR,MONICA,,
CAMOCIM,PAULO ROGER,PAULO ROGER VIEIRA ARAUJO,PAULO FUNERARIA,,
MARCO,ROGER,ROGER NEVES AGUIAR,ROGER AGUIAR,,
VARZEA ALEGRE,HOMERO FIUZA,HOMERO FIUZA SOUSA,HOMERO,,
ASSU,GUSTAVO SOARES,GUSTAVO MONTENEGRO SOARES,DR GUSTAVO,,
APODI,ALAN SILVEIRA,ALAN JEFFERSON SILVEIRA PINTO,ALAN,,
APODI,LAETE OLIVEIRA,ANTONIO LAETE OLIVEIRA SOUZA,LAETE,,
CAICARA DO RIO DO VENTO,CEICA LISBOA,CONCEICAO MARIA GOMES LISBOA ROCHA,CEICA,,
CAICO,NILDSON,NILDSON MEDEIROS DANTAS,NILDSON DANTAS,,
CRUZETA,SALLY,JOSE SALLY ARAUJO,SALLY ARAUJO,,
DOUTOR SEVERIANO,NERI OLIVEIRA,FRANCISCO NERI OLIVEIRA,NERI,,
DOUTOR SEVERIANO,ALVANEIDE,MARIA ALVANEIDE BESSA OLIVEIRA,ALVANEIDE BESSA,,
DOUTOR SEVERIANO,LAECIO,MANOEL LAECIO NOGUEIRA,LAECIO NOGUEIRA,,
DOUTOR SEVERIANO,JANDUI,JANDUI PIRES DANTAS,JANDUI PIRES,,
DOUTOR SEVERIANO,IVANILDO,IVANILDO MARQUES DIAS,IVANILDO DIAS,,
DOUTOR SEVERIANO,ERINALDO,ERINALDO CORREIA REGO,ERINALDO CORREIA,,
GALINHOS,FABIO RODRIGUES,FABIO RODRIGUES ARAUJO,FABIO,,
LAGOA NOVA,ERIVAN COSTA,ERIVAN SOUZA COSTA FILHO,ERIVAN,,
LAGOA NOVA,LUCIANO SANTOS,LUCIANO SILVA SANTOS,LUCIANO,,
LAGOA NOVA,IVAMAR DOMINGOS,JOSE IVAMAR DOMINGOS,IVAMAR,,
