NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
ACRE,JANE PETECA,JOSE JANES GOMES SILVA,JANES PETECA,,
ACRE,MIRIAM CARVALHO,MARIA LUZEMIRA AGUIAR CARVALHO,MIRIA CARVALHO,,
ACRE,ELIANE SINHAZIQUE,ELIANE PEREIRA SINHASIQUE,ELIANE SINHASIQUE,,
ACRE,FRAM ARAUJO,FRANCISCA NASCIMENTO ARAUJO SOUSA,FRAN ARAUJO,,
RIO GRANDE DO NORTE,TOMA,LUIZ ANTONIO LOURENCO FARIAS,TOMBA,,
GOIÁS,MARIA SANT'ANNA,MARINA PIGNATARO SANT'ANNA,MARINA SANT'ANNA,,
BRASIL,JAIR BOLSNARO,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,,
PIAUÍ,MARDEN MENESES,MARDEN LUIS BRITO CAVALCANTE E MENESES,MARDEN MENEZES,,
RIO GRANDE DO NORTE,FLIPE MAIA,FELIPE CATALAO MAIA,FELIPE MAIA,,
MARANHÃO,ZE RINALDO,JOSE REINALDO CARNEIRO TAVARES,ZE REINALDO,,
PIAUÍ,JANNAINA MARQUES,JANAINNA PINTO MARQUES,JANAINNA MARQUES,,
PIAUÍ,ZE LUIS,JOSE LUIZ SOUSA,ZE LUIZ,,
PIAUÍ,MARDEN MENEZES,MARDEN LUIS BRITO CAVALCANTE E MENESES,MARDEN MENESES,,
PIAUÍ,ELISEU AGUIAR,ELIZEU MORAIS AGUIAR,ELIZEU AGUIAR,,
PERNAMBUCO,JULIO LOSSO,JULIO EMILIO LOSSIO MACEDO,JULIO LOSSIO,,
MINAS GERAIS,EDSON ANDRE,EDSON ANDRE REIS,EDSON ANDRE P,,
DISTRITO FEDERAL,CHICO SANT'ANNA,FRANCISCO CLAUDIO CORREA MEYER SANT ANNA,CHICO SANT ANNA,,
DISTRITO FEDERAL,JUIZ EVERALDO RIBEIRO,EVERARDO ALVES RIBEIRO,JUIZ EVERARDO RIBEIRO,,
DISTRITO FEDERAL,JULIO MIARAGAYA,JULIO FLAVIO GAMEIRO MIRAGAYA,JULIO MIRAGAYA,,
DISTRITO FEDERAL,CHICO SANTANA,FRANCISCO CLAUDIO CORREA MEYER SANT ANNA,CHICO SANT ANNA,,
DISTRITO FEDERAL,FADI FAFAJ,FADI FAYEZ FARAJ,FADI FARAJ,,
GOIÁS,MARTA JANTE,MARTA JANE SILVA,MARTA JANE,,
GOIÁS,WESLEY GARCIA,WESLEI GARCIA PAULO,WESLEI GARCIA,,
RIO GRANDE DO SUL,"DRA, SANDRA WEBER",SANDRA REGINA MARCOLLA WEBER,DRA SANDRA WEBER,,
RIO GRANDE DO SUL,MIGUEL ROSETTO,MIGUEL SOLDATELLI ROSSETTO,MIGUEL ROSSETTO,,
MATO GROSSO,ROMUALDO JUNIOR,ROMOALDO ALOIZIO BORACZYNSKI JUNIOR,ROMOALDO JUNIOR,,
MATO GROSSO,ROGERIO SALES,JOSE ROGERIO SALLES,ROGERIO SALLES,,
MATO GROSSO,VALTER RABELLO,WALTER MACHADO RABELLO JUNIOR,WALTER RABELLO,,
MATO GROSSO,ADILSON LAVANTE,ADILSON AMERICO MACHADO OLIVEIRA,ADILSON LEVANTE,,
MATO GROSSO,XUXU DALMOLIN,EDERSON DAL MOLIN,XUXU DAL MOLIN,,
MATO GROSSO,ADILTON SACHETI,ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,,
MATO GROSSO,ALLAN ZANATA,ALAN FABIO PRADO ZANATTA,ALAN ZANATTA,,
MATO GROSSO,NILTON LEITAO,NILSON APARECIDO LEITAO,NILSON LEITAO,,
MINAS GERAIS,DINIZ PINHEIRO,DINIS ANTONIO PINHEIRO,DINIS PINHEIRO,,
MINAS GERAIS,VANESSA PORTUGAL BARNOSA,VANESSA PORTUGAL BARBOSA,VANESSA PORTUGAL BARBOSA,,
MINAS GERAIS,FABIO CHEREN,LUIZ FABIO CHEREM,FABIO CHEREM,,
ESPÍRITO SANTO,NEUCIMA FRAGA,NEUCIMAR FERREIRA FRAGA,NEUCIMAR FRAGA,,
SÃO MIGUEL DO ALEIXO,EDIVALDO ROCHA,EDVALDO CRUZ SANTOS,EDVALDO ROCHA,,
SERGIPE,JOAO TARANTELA,JOAO PAES COSTA,JOAO TARANTELLA,,
SERGIPE,REINALDO NUNES,REYNALDO NUNES MORAIS,REYNALDO NUNES,,
MACEIÓ,JEFFERSON MORAIS,JEFERSON GOES MORAIS,JEFERSON MORAIS,,
SÃO LUÍS,TADEU OALACIO,CARLOS TADEU D'AGUIAR SILVA PALACIO,TADEU PALACIO,,
BOA VISTA,TEMARIO MOTA,TELMARIO MOTA OLIVEIRA,TELMARIO MOTA,,
BRASIL,MARINAS SILVA,MARIA OSMARINA MARINA SILVA VAZ LIMA,MARINA SILVA,,
BRASIL,HENRIQUE MEIRELLLES,HENRIQUE CAMPOS MEIRELLES,HENRIQUE MEIRELLES,,
ESPÍRITO SANTO,ROGERIO BERBARDO,ROGERIO BERNARDO,ROGERIO BERNARDO,,
PARANÁ,BERNANDO PILOTTO,BERNARDO SEIXAS PILOTTO,BERNARDO PILOTTO,,
PARÁ,EDUARDO TODDY,EDUARDO TODDE KANEKIYO CALIMAN,EDUARDO TODDE,,
PARÁ,MAYCON DELFINO,MAYKON HENRIQUE DELFINO BORGES CRUZ,MAYKON DELFINO,,
PARÁ,PAULO BENGSTON,PAULO EDUARDO MAESTRI BENGTSON,PAULO BENGTSON,,
PARÁ,CELSON SABINO,CELSO SABINO OLIVEIRA,CELSO SABINO,,
