"NR_CNPJ_EMPRESA","NM_EMPRESA"
"10590815000121","Gabriel & Gabriel, Consultoria, Projetos e Serviços - LTDA"
"13206947000103","Jairo Soares de Sousa"
"10818753000162","CONSTAT PESQUISAS LTDA"
"67662494000140","Instituto de Pesquisa Realidade"
"07742623000189","Full Marketing e Pesquisa S/S Ltda"
"14931054000185","Rose Mary Moreno de Araujo"
"09045102000106","CIPEC-CENTRO INTEGRADO DE PESQUISA E COMUNICAÇÃO LTDA"
"09636807000190","Instituto de Pesquisa dataAZ Ltda"
"11186543000161","RÓGÉRIO M P MOURA"
"09629388000169","IPNE - INSTITUTO DE PESQUISAS DO NORDESTE LTDA ME"
"07174779000100","PREMIUM SOLUÇÃO EM GESTÃO LTDA EPP"
"23297294000160","Panorama Comunicação, Pesquisa e Assessoria LTDA- ME"
"01269029000136","BOAS & BOAS CONSULTORIA E PESQUISA LTDA"
"08182687000135","Luciana Aparecida Martins ME"
"14543704000115","VISÃO PESQUISA DE OPINIÃO PÚBLICA E MARKETING"
"10962375000277","TELESCÓPIO PESQUISA INTELIGÊNTE DE OPINIÃO PÚBLICA"
"08488158000164","Preview Consultoria de Marketing, Pesquisa de Mercado e de Opinião Pública Ltda"
"11047803000118","Sinfor - Consultoria e Pesquisa Rio Preto LTDA"
"07854132000120","STRATEGYA COMUNICAÇÃO PUBLICIDADES E EVENTOS LTDA"
"10335763000147","PRAXIS PESQUISA E MERCADO LTDA"
"22642565000105","CP2 CONSULTORIA, PESQUISA E PLANEJAMENTO LTDA."
"09656847000101","PROMÍDIA PESQUISA INTELIGENTE"
"06154093000195","Multidados comunicação Ltda"
"08695087000170","i9 AGENCIA DE ASSESSORIA & CONSULTORIA POLITICA E SOCIAL LTDA"
"03866435000101","IPO - INSTITUTO DE PESQUISA DE OPINIÃO E  ASSESSORIA LTDA"
"09028982000102","Instituto Ver Pesquisa e Comunicação Ltda"
"08581382000104","Instituto de Pesquisa Soberano Ltda."
"19090489000168","MDA PESQUISA DE OPINIÃO PÚBLICA E CONSULTORIA ESTATÍSTICA LTDA"
"02221552000155","Cenário Pesquisa e Consultoria Rural e Urbana Ltda"
"09065585000100","Sophos Consultoria Marketing e Pesquisa LTDA"
"01955100000134","Pedro Paulo Perroni da Silva ME"
"14026979000181","Instituto de Pesquisas e Sistemas de Marketing Ltda"
"13697928000119","Pedro Nery Neto ME"
"07241393000174","RESULTADO PESQUISA E ASSESSORIA LTDA"
"02795923000102","AURELIO HENRIQUE SALLES - ME - BPJ COMUNICAÇÃO"
"03341593000148","ContraPonto Comercial Ltda"
"05394365000161","DataMG Instituto de Pesquisas Ltda"
"09314666000199","URBANDATA - PESQUISA & MARKETING"
"07671455000188","BPC- Eventos  Culturais e   Artisticos LTDA"
"14205224000144","CP - CAMPOS & PENIDO CONSULTORIA E PESQUISA LTDA"
"04896763000113","Giga Consultoria ltda"
"10962375000358","JOYCE DE ALMEIDA LUCAS - ME"
"13655801000137","PSQ COMUNICAÇÃO E PESQUISA LTDA"
"09376087000170","INSTITUTO INNOVARE - PESQUISA DE MERCADO E OPINIÃO LTDA"
"08704586000187","agencia press consultoria em informação"
"05321031000168","COMPLETA Consultoria Política Ltda"
"08098290000160","MACHADO PUBLICIDADE E PRODUCOES LTDA"
"07268073000108","SP - SEBRAM PESQUISAS - SERVICOS DE PESQUISAS DE OPINIAO PUBLICA, JORNALISMO, CONSULTORIA E ASSESSORIA S/S LTDA"
"05328816000162","J M LEAL INFORMACAO PRIVILEGIADA LTDA"
"86420387000150","Empop Publicidade Pesquisa e Marketing"
"07633363000103","Confact Consultoria e Empreendimentos LTDA"
"06299925000161","ALPEP PROMOÇÕES, EVENTOS E PESQUISAS LTDA"
"65237786000100","DIVIDADOS INSTITUTO DE PESQUISA OPINIÃO E MERCADO LTDA"
"08451753000125","M&D Comunicação e Arte Ltda."
"10962375000196","MIDIA PESQUISA DE OPINIÃO PÚBLICA E MARKETING"
"04061708000103","TABULARE PESQUISA & CONSULTORIA LTDA"
"08894976000167","INPAC Instituto de Pesquisas Aplicadas e Consultoria Ltda"
"10173519000125","GRM - AGENCIA DE PESQUISA DE OPINIÃO PUBLICA E MERCADO LTDA"
"13697811000135","Instituto de Pesquisa Plurimus"
"09178870000120","FLUX SOFTWARES - CONSULTORIA E DESENV SIST COMPUT E HARDWARES, COM SOFTWARES E EQUIP INFORMATICA LTDA - ME"
"08253732000103","REDE PESQUISA DE OPINIÃO E PLANEJAMENTO S/S LTDA"
"13681522000148","SARIMA CONSULTORIA ESTATÍSTICA E DEMOGRÁFICA LTDA"
"00743579000182","VISAO PESQUISA DE OPINIAO E MERCADO LTDA"
"02866959000130","Polis Pesquisa Ltda"
"21677703000129","Instituto Fides de Pesquisa de Mercado e Opinião Ltda"
"07139172000190","E-Fato Comunicações e Eventos Ltda"
"06316975000100","Secullus Consultoria e Treinamento Ltda"
"13110920000104","Agência de Publicidade, Pesquisas e Mídia Iquegami Ltda"
"16733806000129","CARMEN SILVIA BONFA PESQUISAS - ME"
"01783776000198","Indice Pesquisas do Brasil"
"04227786000135","Arnaldo Alves Pereira CPF 74840886687 ME"
"09412335000191","Posicione Pesquisa de Mercado Ltda Me"
"16479691000198","PLOMÍDIA PESQUISA DE MERCADO LTDA"
"10425289000144","Idealis Pesquisa e Comunicação Ltda"
"06118009000188","INSTITUTO DE CONSULTORIA,PESQUISA,OPINIAO E MARKETING LTDA"
"09434008000130","PERFIL PESQUISAS DE OPINIÃO PÚBLICA E CONSULTORIA LTDA"
"11258796000101","Diretriz  Consultoria e Pesquisas  Ltda"
"10322552000170","Instituto Meta, Pesquisa e Serviços LTDA"
"31223860000118","RETRATO CONSULTORIA E MARKETING LTDA"
"07338902000181","CASA DA PESQUISA - OPINIÃO PUBLICA, PLANEJAMENTO E MARKETING LTDA"
"05633719000183","Instituto Olhar Pesquisa e Informação Estrategica"
"11707992000108","ENCUESTA PESQUISAS DE MERCADO E DE OPINIAO PUBLICA LTDA"
"09644353000107","Dinamica  Pesquisa e Consultoria  Empresarial  LTDA"
"01839311000101","Portal Assessoria e Pesquisa LTDA"
"10518097000182","Identifica Empresa de Comunicação Ltda"
"02943355000140","Ibrape Instituto Brasileiro de Pesquisas de Opinião Pública"
"06270812000133","A. F. Barbosa CIA & LTDA - ME"
"03683644000110","CONPAR - CONSULTORIA, PESQUISA E PARTICIPACOES S/S LTDA"
"10383383000188","R & A Editora Jornalistica Ltda  (Sensor Pesquisas )"
"36781946000180","IPEMS - Instituto de Pesquisas de Mato Grosso do Sul LTDA"
"70363106000135","Referencial Pesquisas de Opinião e Mercado Ltda"
"12784563000105","ARBEIT PESQUISAS DE MERCADO E OPINIAO PUBLICA LTDA"
"97551208000130","HASSESSIAN BARBOSA & GOMES LTDA - ME"
"05752257000113","Ippeese - Instituto Paranaense de Pesquisas e Estudos Socioeconômicos"
"09263232000107","Jet Publicidade e Pesquisa Fernandopolis Ltda"
"06026300000126","ATLAS ASSESSORIA E PLANEJAMENTO LTDA"
"13102873000157","VALE CONSULTORIA E ASSESSORIA LTDA."
"14255299000130","W E MENDONÇA - CONSULTORIA ME"
"08769469000100","TELEVOX - INSTITUTO DE PESQUISA DE OPINIÃO PÚBLICA E MERCADO LTDA"
"03490620000144","Tendencia Pesquisa de Mercado Ltda."
"10408737000100","D. HERLEMANN - ME"
"11400305000107","Voice Pesquisas e Comunicação LTDA ME"
"13672664000149","Qualidados Projetos e Pesquisas Ltda-ME"
"05023065000176","GAZETA DADOS LTDA"
"10607783000120","M G DA SILVA ME"
"16704032000108","ANDRE LUIZ FERREIRA TORRES"
"09359124000132","IGPE - INSTITUTO GLOBO PREMIERE DE ESTATISTICAS LTDA - ME"
"13317420000148","Reinaldo Ribeiro-ME"
"05260271000108","INSTITUTO TECNOLOGICO DA INFORMACAO"
"07202498000114","KGM Assessoria Institucional Ltda"
"03973340000197","REAL DADOS E PESQUISAS LTDA"
"12365452000156","IMADI - INSTITUTO MATO-GROSSENSE DE PESQUISA LTDA"
"11100635000187","MT DADOS ASSESSORIA E MARKETING LTDA"
"14853589000185","CHOCOLATE PRODUÇÕES E EVENTOS LTDA ME"
"09078182000198","CABIANCHI & SOUZA LTDA ME"
"07385910000189","Rosy Paula Resplande Benício ME (Centro Oeste Pesquisas)"
"14591203000104","ANA CLAUDIA DA SILVA ME"
"14697514000152","JOÃO ALEX DE ALMEIDA ME"
"00081933000150","VETOR ASSESSORIA E PESQUISA DE MERCADO E DE OPINIAO PUBLICA LTDA-EPP"
"04996040000196","ANGULO PESQUISAS UMUARAMA LTDA"
"15194353000147","Opinion Maker Pesquisa de Mercado LTDA"
"16696328000124","Quintino Gestão de Projetos: Planejamento, Pesquisa e Marketing"
"12942931000198","politeia consultoria ltda"
"10288989000134","W N S Consultoria e Assessoria Empresarial Ltda"
"13098271000173","PAULO RICARDO DAL POZO GOMES"
"03311703000129","INSTITUTO DE PESQUISA SOCIAL E DESENVOLVIMENTO HUMANAS LTDA"
"14569635000119","A. B. FIGUEIREDO PROCESSAMENTO DE DADOS"
"09448219000122","Guilherme Umbelino da Silva - Consultorias"
"13311731000108","Ariane Terezinha Lima dos Santos e Cia. Ltda"
"03770346000167","OPEM-Opinião Pública & Mercado SS LTDA"
"15422597000130","VEIGA CONSULTORIA E PESQUISA LTDA - EPP"
"05255333000185","VCHA Serviços Ltda."
"04717077000138","ACERTAR LTDA"
"09472061000126","DESTTAQ PESQUISA GESTÃO E MERCADO"
"15625079000113","M.D.R. DE ARAÚJO PESQUISA DE OPINIÃO PUBLICA"
"08286287000170","Análise Pesquisa de Mercado Ltda"
"11849437000110","IPESPE  INSTITUTO DE PESQUISAS SOCIAIS POLÍTICAS E ECONÔMICAS"
"08545655000157","S. R. DO L. VIEIRA - ME"
"04216356000118","Alvo Marketing e Publicidade Ltda"
"03724595000116","CONTEXTO - Instituto de Pesquisa de Mercado e Opinião LTDA ME"
"08097343000128","MARCIA CRISTINA FERNANDES CHAVES"
"15022191000160","J. G. PINHEIRO PESQUISA DE MERCADO, CONSULTORIA E CURSO DE ESTATÍSTICA"
"05251388000117","INSTITUTO POLIS DA AMAZÔNIA"
"04913376000148","Dinâmica Brasil Serviços e Promotora de Eventos ltda."
"05137235000143","visao - instituto de pesquisa e opiniao publica ltda"
"08528140000149","GS - GLOBAL SERVICE ASSESSORIA E CONSULTORIA EM TELECOMUNICAÇÃO LTDA"
"00794068000270","Virtu Analise e Estratégia LTDA"
"04843093000177","CONSULTORIA E PESQUISA TECNICA LTDA"
"14474981000113","Alfa Soluções Empresariais LTDA"
"13358105000169","6 Sigma Pesquisa e Consultoria Estatística Ltda"
"04894292000104","IP4 - Instituto de Pesquisa Quatro Ltda"
"04994119000188","Opinião Pesquisas Sociais Ltda."
"09546952000180","METANALISE ESTATISTICAS LTDA - EPP"
"09170122000109","FRANCISCO VIRGULINO DE AMORIM"
"07781580000140","INPPE - Instituto Patoense de Pesquisa e Estatística Ltda"
"15775816000164","ETICOVOX INTELIGÊNCIA EM PESQUISAS"
"10828442000184","Olho D água dos Bredos Ltda"
"16458013000149","jose patrocinio da silva junior"
"69944171000175","IPEC - INSTITUTO DE PESQUISAS CIENTÍFICAS DE PERNAMBUCO"
"06003967000103","INSTUTUTO CIDADANIA NORDESTE"
"09219131000139","MÉTODO PESQUISA E CONSULTORIA TDA"
"11009156000150","CENTRO DE RELAÇÕES PÚBLICAS DE PERNAMBUCO"
"09340786000160","INSTITUTO PONTE DO DESENVOLVIMENTO - IPD"
"74331356000144","A. C. Pesquisas e Representação Comercial Ltda"
"09410774000165","juliana bezerra de andrade"
"05424036000116","Associação de Pesquisa e Intervenção Social"
"05460612000180","KATIA & EMANUEL COMUNICAÇÃO LTDA"
"07661823000107","Brasil Data Pesquisa, Consultoria e Serviços Ltda EPP"
"13807655000118","Instituto de Pesquisa Maurício de Nassau"
"24578338000193","APROJEPLAM"
"14919619000109","CLEIDE DA SILVA FRANÇA"
"00377711000180","Jacqueline de souza freire-me"
