OBS,1 = Preencher,tse_id,url,sg_uf,sg_ue,ds_cargos,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,person,nm_ue,instituto,estado,city,scenario,wrong,ID
,,SP-00003/2014,https://issuu.com/freesaopaulo/docs/sao_paulo_email,BR,BR,PRESIDENTE,TRUE,g,1,NA,NA,GERALDO ALKIMIN,28.39,PAULO SKAF,10.61,ALEXANDRE PADILHA,10.43,GILBERTO KASSAB,5.09,PLINIO DE ARRUDA SAMPAIO,2.83,GILBERTO NATALINI,2.75,MAJOR OLIMPIO,2.2,WALTER FELDMAN,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,NA,NA,NA,368,TRUE,2285
,,PB-00003/2014,https://jataubanews.blogspot.com/2014/04/cassio-lidera-pesquisa-da-tv-itarare-e.html,BR,NA,Presidente,TRUE,g,NA,NA,NA,CASSIO CUNHA LIMA,43.5,RICARDO COUTINHO,22.5,VENEZIANO VITAL,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSCAR,BRASIL,NA,NA,NA,370,TRUE,2935
,,MA-00010/2014,https://www.blogdojorgearagao.com.br/2014/05/0/page/17/,BR,BR,PRESIDENTE,TRUE,g,NA,NA,NA,LOBAO FILHO,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAT,NA,NA,NA,NA,380,TRUE,2763
4 d�gitos,,MA-0011/2014,http://www.blogdosilvio.com.br/2014/05/em-sao-jose-de-ribamar-flavio-dino.html,BR,BR,PRESIDENTE,TRUE,g,NA,NA,NA,FLAVIO DINO,56.3,EDINHO LOBAO,8.3,MARCOS SILVA,4.7,ANTONIO PEDROSA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RODRIGO,NA,NA,NA,NA,385,TRUE,5645
4 d�gitos,,MA-0011/2014,http://www.blogdosilvio.com.br/2014/05/em-sao-jose-de-ribamar-flavio-dino.html,BR,BR,PRESIDENTE,TRUE,g,0,NA,NA,LUIS FERNANDO,26.7,FLAVIO DINO,17,ELIZIANE GAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RODRIGO,NA,NA,NA,NA,384,TRUE,5646
4 d�gitos,,MA-0011/2014,http://www.blogdosilvio.com.br/2014/05/em-sao-jose-de-ribamar-flavio-dino.html,BR,BR,PRESIDENTE,TRUE,s,NA,NA,NA,ROBERTO ROCHA,31,GASTAO VIEIRA,18.3,ARNALDO MELO,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RODRIGO,NA,NA,NA,NA,386,TRUE,5647
,,RN-04167/2018,http://paduacampos.com.br/2012/tag/eleicoes-2018/,BR,NA,Presidente,TRUE,g,NA,NA,NA,FATIMA BEZERRA,45,CARLOS EDUARDO,40.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,NA,NA,388,TRUE,4761
,,GO-00040/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,BR,NA,Governador,TRUE,g,1,NA,NA,MARCONI,41.3,IRIS,33.2,VANDERLAN CARDOSO,11.3,ANTONIO GOMIDE,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FRAN,GOIÁS,NA,NA,NA,400,TRUE,1885
,,GO-00040/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,BR,NA,Governador,TRUE,g,0,NA,NA,MARCONI,17.5,IRIS,7.8,VANDERLAN CARDOSO,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FRAN,GOIÁS,NA,NA,NA,399,TRUE,1886
,,GO-00040/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,BR,NA,Governador,TRUE,s,NA,NA,NA,CAIADO,34.3,MARIANA SANT'ANNA,26.5,VILMAR ROCHA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FRAN,GOIÁS,NA,NA,NA,401,TRUE,1887
