info_muni,candidate,correction
CAMAÇARI,ANTONIO ELINALDO,
CAMAÇARI,ELINALDO,ANTONIO ELINALDO
CAMAÇARI,ELINALDO ARAUJO,ANTONIO ELINALDO
CAMAÇARI,FABIO LIMA,
CAMAÇARI,IVONEIDE CAETANO,
CAMAÇARI,OZIEL,
CAMAÇARI,PEDRINHO PEDRAO,
CAMAÇARI,SOCRATES,
CAMPINA GRANDE,ANA CLAUDIA VITAL REGO,
CAMPINA GRANDE,ARTUR BOLINHA,
CAMPINA GRANDE,BRUNO CUNHA LIMA,
CAMPINA GRANDE,FABIO MAIA,
CAMPINA GRANDE,INACIO FALCAO,
CAMPINA GRANDE,LUCAS RIBEIRO,
CAMPINA GRANDE,TATIANA,
CAMPINA GRANDE,TOVAR CORREIA LIMA,
CAMPINAS,ARTUR ORSI,
CAMPINAS,CARLOS SAMPAIO,
CAMPINAS,DARIO SAADI,
CAMPINAS,DELEGADA TERESINHA,
CAMPINAS,DR HELIO,
CAMPINAS,JUAN QUIROS,
CAMPINAS,MARCIO POCHMANN,
CAMPINAS,RAFA ZIMBALDI,
CAMPO GRANDE,ALCIDES BERNAL,
CAMPO GRANDE,ANDRE PUCCINELLI,
CAMPO GRANDE,CABO ALMI,
CAMPO GRANDE,CAPITAO CONTAR,
CAMPO GRANDE,CARLOS ALBERTO ASSIS,
CAMPO GRANDE,CORONEL DAVID,
CAMPO GRANDE,CRIS DUARTE,
CAMPO GRANDE,DAGOBERTO,DAGOBERTO NOGUEIRA
CAMPO GRANDE,DAGOBERTO NOGUEIRA,
CAMPO GRANDE,DELCIDIO AMARAL,
CAMPO GRANDE,ESACHEU NASCIMENTO,
CAMPO GRANDE,HENRIQUE MANDETTA,
CAMPO GRANDE,JUIZ ODILON,
CAMPO GRANDE,LUCAS LIMA,
CAMPO GRANDE,MARCELO BLUMA,
CAMPO GRANDE,MARCELO MIGLIOLI,
CAMPO GRANDE,MARCELO MIGLIOLLI,MARCELO MIGLOLI
CAMPO GRANDE,MARCIO FERNANDES,
CAMPO GRANDE,MARQUINHOS TRAD,
CAMPO GRANDE,PAULO MATOS,
CAMPO GRANDE,PEDRO KEMP,
CAMPO GRANDE,RICARDO AYACHE,
CAMPO GRANDE,ROSE MODESTO,
CAMPO GRANDE,SERGIO HARFOUCHE,
CAMPO GRANDE,TATIANA UJACOW,
CAMPO GRANDE,ZECA PT,
CAMPO MAIOR,DEVAN EUGENIO,
CAMPO MAIOR,FERNANDO MIRANDA,
CAMPO MAIOR,JOAOZINHO,JOAOZINHO FELIX
CAMPO MAIOR,JOAOZINHO FELIX,
CAMPO MAIOR,PAULO MARTINS,
CAMPO MAIOR,PROFESSOR RIBINHA,
CAMPO MAIOR,RIBINHA,PROFESSOR RIBINHA
CANAÃ DOS CARAJÁS,ARILDO NERES,
CANAÃ DOS CARAJÁS,AUGUSTO,
CANAÃ DOS CARAJÁS,GESIEL,
CANAÃ DOS CARAJÁS,JEAN CARLOS,
CANAÃ DOS CARAJÁS,JOSEMIRA,
CANAÃ DOS CARAJÁS,ZE BATISTA,
CANAPI,MADSON PAULINO,
CANAPI,MARCIO MARTINS,
CANAPI,VINICIUS,
CAPELA,ADALTO SUKITA,
CAPELA,EZEQUIEL,
CAPELA,SILVANY,
CAPELA,SUKITA,
CAPITÃO DE CAMPOS,MOISES BARBOSA,
CAPITÃO DE CAMPOS,TIM MEDEIROS,
CAPITÓLIO,ADRIANO CICI,
CAPITÓLIO,TONINHO MASSARECO,
CAPITÓLIO,VANDINHO,
CAPITÓLIO,ZE BETIO,
CAPIVARI,ALEXANDRE BANDIERA,
CAPIVARI,BRUNO BARNABE,
CAPIVARI,EDER,
CAPIVARI,MARCIO MOREIRA,
CAPIVARI,MATEUS SACARSO,
CAPIVARI,PEDRO BOARETO,
CAPIVARI,TAMBUZINHO,
CAPIVARI,VITAO RICCOMINI,
CARATINGA,DR WELLINGTON,
CARATINGA,JOAO BOSCO,
CARATINGA,JOSE MUGANGO,
CARATINGA,PEDRO LEITAO,
CARATINGA,ROMINHO COSTA,
CARATINGA,SILVIO ARAUJO,
CAREIRO,DOUGLAS PIU PIU,
CAREIRO,JOEL LOBO,
CAREIRO,NATHAN MACENA,
CAREIRO,NELSINHO,
CAREIRO,NENEM IGAPO,
CAREIRO,PROF JERRIMAR,
CAREIRO,TAY LIRA,
CAREIRO DA VÁRZEA,KEDSON ARAUJO,
CAREIRO DA VÁRZEA,LUIS AUGUSTO SILVA,
CAREIRO DA VÁRZEA,PEDRO GUEDES,
CAREIRO DA VÁRZEA,RAMIRO,
CARMO,MEMEL,
CARMO,SERGIO SOARES,
CARMO DO RIO CLARO,ANGELA VITOR,
CARMO DO RIO CLARO,FELIPE CARIELO,
CARMO DO RIO CLARO,JOAO PAULO CASTRO,
CARMO DO RIO CLARO,JOAOZINHO BORGES,
CARMO DO RIO CLARO,JULIANO PAO QUEIJO,
CARMO DO RIO CLARO,JUNINHO NICOLAU,
CARMO DO RIO CLARO,LUCAS CARIELO,
CARMO DO RIO CLARO,TIAO NARA,
CARNEIROS,GENIVALDO AGRA,
CARNEIROS,GERALDO FILHO,
CARNEIROS,RONI,
CARUARU,DELEGADO LESSA,ERICK LESSA
CARUARU,ERICK LESSA,
CARUARU,JORNALISTA FERNANDO RODOLFO,
CARUARU,RAFFIE DELLON,
CARUARU,RAQUEL LYRA,
CARUARU,TONY GEL,
CARUARU,ZE QUEIROZ,
CASTELÂNDIA,EDNALDO ANDRADE MIGUEL,
CASTELÂNDIA,MARCOS ANTONIO,
CASTRO ALVES,CLOVES,
CASTRO ALVES,GLEISON,
CASTRO ALVES,THIANCLE,
CATURAMA,HUGO MENDONCA,
CATURAMA,PAULO MENDONCA,
CAXIAS,ADELMO SOARES,
CAXIAS,ARNALDO,PROF ARNALDO RODRIGUES
CAXIAS,CESAR SABA,
CAXIAS,CLEIDE COUTINHO,
CAXIAS,FABIO GENTIL,
CAXIAS,JUNIOR MARTINS,
CAXIAS,LEO COUTINHO,
CAXIAS,LUIS CARLOS MOURA,
CAXIAS,PAULO MARINHO JUNIOR,
CAXIAS,PROF ARNALDO RODRIGUES,
CAXIAS,THAIS COUTINHO,
CAXIAS,TINO CASTRO,
CEARÁ-MIRIM,JACIO PRAXEDES,
CEARÁ-MIRIM,JULIO CESAR,
CEARÁ-MIRIM,OZENIR PEIXOTO,
CEARÁ-MIRIM,RONALDO VENANCIO,
CENTENÁRIO DO SUL,CAIO PAZZOTTI,
CENTENÁRIO DO SUL,EDNILSON JULIO CORREIO,
CENTENÁRIO DO SUL,JUNIOR TAVIAN,
CENTENÁRIO DO SUL,PERPETUA,
CEREJEIRAS,CHICAO BANCO,
CEREJEIRAS,JOAOZINHO GRAFICA,
CEREJEIRAS,KIKO MERCADO,
CEREJEIRAS,KLEBER CALIXTO,
CEREJEIRAS,LISETE MARTH,
CEREJEIRAS,PROF SAPATA,
CEREJEIRAS,SAULO SIQUEIRA,
CEREJEIRAS,VALDIR CARLOS,
CHAPECÓ,AMERICO NASCIMENTO,
CHAPECÓ,CARLOS AGNOLETTO,
CHAPECÓ,CAROLINE TONI,
CHAPECÓ,CLEITON FOSSA,
CHAPECÓ,COMANDANTE RICARDO,
CHAPECÓ,ELIO CELLA,
CHAPECÓ,IVAN CARLOS,
CHAPECÓ,JOAO RODRIGUES,
