norm_est,est_id
FABIANO BARROS PRATES,140
FABIO BRASIL,141
FABIO DANILO SILVA CABRAL,142
FABIOLA MIRANDA VON RONDOW,143
FABRICIO ATHAYDE SANTOS,144
FATIMA APARECIDA SOUZA MAJONE MORETTO,145
FELICIEN GONCALVES VASQUEZ,146
FELICIEN GONCALVES VASQUZ,146
FELIPE ABRAHAO COELHO FANTAUZZI,147
FELIPE BAVARESCO,148
FELIPE RAFAEL BAVARESCO,148
FELIX LOPES LIMA,149
FERNANADA LANG SCHUMACHER,150
FERNANDA LANG SCHUMACHER,150
FERNANDO MADEIRA FERNANDES,151
FILIPE JAEGER ZABALA,152
FLAVIA FERRAZ PEGO,153
FRACY ANNE VIEIRA BARBOSA,154
FRANCEICA FATIMA LUCENA,3
FRANCI ANNE BARBOSA,154
FRANCI ANNE VIEIRA BARBOSA,154
FRANCICA FATIMA LUCENA,3
FRANCICSA FATIMA LUCENA,3
FRANCISA FATIMA LUCENA,3
FRANCISCA FAFIMA LUCENA,3
FRANCISCA FATIMA LUCENA,3
FRANCISCA FETIMA LUCENA,3
FRANCISCO ASSIS AMARAL BASTOS,155
FRANCISCO BONFIM,156
FRANCISCO ELMIRO SOUSA FILHO,157
FRANCY ANNE,154
FRANCY ANNE BARBOSA,154
FRANCY ANNE BARBOSA CESAR,154
FRANCY ANNE BARBOSA VIEIRA,154
FRANCY ANNE VIEIRA,154
FRANCY ANNE VIEIRA BARBO,154
FRANCY ANNE VIEIRA BARBOSA,154
FRANCY ANNY VIEIRA,154
FRANCYANNE BARBOSA,154
FRANKLIN SOUSA TORRES,158
FRANKLIN SOUZA TORRES,158
FRANY ANNE BARBOSA CESAR,154
FRANY ANNE VIEIRA BARBOSA,154
FREDERICO LARA SOUZA,159
FREDERICO SOUZA BOSCHI,160
FRNACI ANNE VIEIRA BARBOSA,154
GABRIEL ANTONIO TORRES PINTO,161
GALTIERI FERREIRA TAVARES,162
GALTTIERE FERREIRA TAVARES,162
GALTTIEREFERREIRA TAVARES,162
GALTTIERI FERREIRA TAVARES,162
GENESIS NERIS JESUS,163
GENESIS NORIS JESUS,163
GERALDO JOSE OLIVEIRA,164
GERSON RODRIGUES PRIMO JUNIOR,164
GILCE ZELINDA BATTISTUZ,165
GILCEZELINDA BATTISTUZ,165
GILHERME COELHO NEVES,166
GIORDANO DAMASCENO,167
GIORDANO TRINDADE DAMASCENO BRUNO,167
GISELLE SPINDLER,168
GONCALO ALVES BEZERRA,169
GUILHERME COELHO NEVES,166
"GUILHERME COELHO NEVES,",166
GUILHERME MORATO,170
GUSTAVO VARELA ALVARENGA,171
HELIO RUBENS CARVALHO NUNES,172
HELOISA RODRIGUES BARBOSA,173
HENRIQUE MUNIZ,174
HERCULES CAOIBARIBE JUNIOR,175
HERCULES CAPIBARIBE JR,175
HERCULES CAPIBARIBE JUNIOR,175
HERCULES CAPIBARIBE JUNIOS,175
HERCULES CAPIBERIBE JUNIOR,175
HERICH ULRICH,176
HERNAN LIMA CUNHA,177
HERNANY RICHARDS MEIRELES BITTENCOURT,178
HILDETE ALVES COSTA,179
HUDSON TEIXEIRA SILVA,180
IANNE RAFAELLA SANTOS MELO,181
INAC IO JOSE BESSA PIRES,182
INACIO JOSE BESSA PIRES,182
INSTITUTO PESQUISA MERCADO E OPINIAO PUBLICA,NA
IPPCP,NA
IRANEIDE SOCORRO SANTOS AZEVEDO,183
ISABELA ALVES FERREIRA LIMA,184
ISAIAS MECHILEMOTHDA SILVA LIRA,185
ISAIS MECHILLEMOTH SILVA LIRA,185
ISIS MILANE BATISTA LIMA,186
ISRAEL OLIVEIRA COSTA SOUSA,187
ITALO COLINS ALVES,188
IVAN COSTA BERNARDO,189
IVAN FERREIRA DOMINGUES,190
IVAN ROBERT ENRIQUEZ,191
JACKELYNE CRISTINA REIS FERREIRA GENSE,192
JACQUELINE SOUZA FREIRE,193
JADER SILVA CEDRAZ,194
JADEZ SILVA CEDRAZ,194
JADSON FERNANDES CHAVES,195
JAIR SILVA FEITOZA,196
JAMES RICHARD SILVA SANTOS,197
JAMES RICHARD SILVA SANTOS FERRO,197
JANAINA GIOVANETTI ANDRADE,198
JANIARA FERREIRA ARAUJO,199
JAQUELINE GONCALVES FERNANDES,200
JEFFERSON CRISTIANO SANTOS SILVA,201
JEFFERSON JOSE JULIATTI SANTOS,202
JEFFERSON PINTO BARBOSA JUNIOR,203
JIMMY ADANS,204
JIMMY ADANS COSTA PAANDI,204
JIMMY ADANS COSTA PALANDI,204
JIMMY ADANS COSTA PALANI,204
JOANDA MENEZES SANTOS,205
JOAO ALVES,206
JOAO ALVES SOUZA FILHO,206
JOAO ARAUJO SOARES NETO,207
JOAO BATISTA MENDES TELES,208
JOAO CALDAS LAGO NETO,209
JOAO CARLOS PIRES RAMOS,210
JOAO GUIMARAES PINHEIRO,211
JOAO LUIZ MACIEIRA E GUIMARAES,212
JOAO PAULO CAMPOS,213
JOAO SOARES A NETO,207
JOAO SOARES ARAUJO,207
JOAO SOARES ARAUJO NETO,207
"JOAO SOARES ARAUJO NETO, BACHAREL EM ESTATISTICA",207
"JOAO SOARES ARAUJO NETO, BACHAREL EM ESTATISTICA REGISTRO",207
"JOAO SOARES ARAUJO NETO, BACHAREL EM ESTATISTICA REGISTRO Nº 6892 CONSELHO REGIOANL ESTATIST",207
"JOAO SOARES ARAUJO NETO, BACHAREL EM ESTATISTICA REGISTRO Nº 6892 CONSELHO REGIOANL ESTATISTI",207
"JOAO SOARES ARAUJO NETO, BACHAREL EM ESTATISTICA REGISTRO Nº 6892 CONSELHO REGIONAL ESTATISTI",207
JOAO SOARES ARAUNO NETO,207
JOAO SOARES NETO,207
JOAO ULISSES BARATA SILVA,208
JOAO VICTOR RODRIGUES ARAGAO,209
JOAQUIM ANDRE HARMES,210
JOAQUIM ANDRE HARMES FIGUEIREDO,210
JOAQUIM ANDRE HERMES FIGUEIREDO,210
JOAQUIM CIFUENTES,211
JOAQUIM EDUARDO,212
JOAQUIM EDUARDO CIFUENTES,212
JOAQUIM EDUARDO MACHOLA CIFUENTES,212
JOAQUIM EDUARDO MANCHOLA CIFUENTES,212
JOAQUIM EDUARDO MOANCHOLA CIFUENTES,212
JOAQUIM JOSE HARMES FIGUEIREDO,210
JOAQUIN E C FUENTES,212
JOAQUIN E CI FUENTES,212
JOAQUIN EDUARDO CIFUENTES,212
JOAQUIN EDUARDO M CIFUENTES,212
JOAQUIN EDUARDO MANCHOLA CIFUENTES,212
JOAQUIN EDUARDO MOANCHOLA CIFUENTES,212
JOEL CARLOS RODRIGUES OCTAVIANO,213
JOEL CARLOS RODRIGUES OTAVIANO,213
JONATAS SILVA ESPIRITO SANTO,214
JONATAS SOUSA C ONCEICAO,215
JONATAS SOUSA CONCEICAO,215
JONATAS SOUZA CONCEICAO,215
JONATHAN SOARES LARANGEIRA,216
JONATHAN SOARES LARANGEIRO,216
JORDANIA FURTADO OLIVEIRA,217
JORGE ALVES SOUSA,218
JORGE GUILHERME ARAUJO CARVALHO,219
JORGE HENRIQUE SILVA JESUS,220
JOSE ANTONIO PEREIRA,221
JOSE AUGUSTO BARBOSA ANDRADE,222
JOSE CARLOS MARTINS LEITE,223
JOSE CARLOS VASCONCELOS,224
JOSE DIVAL FERREIRA ARAGAO,225
JOSE EDMILSON MAZZA BATISTA,226
JOSE ELIAS PEREIRA NETO,227
JOSE HENRIQUE BARBOSA,228
JOSE JOAQUIM LIRA ROBERTO BRAGA,229
JOSE MARIO LIMA,230
JOSE MARIO LIMA ,230
JOSE NOGUEIRA OLIVEIRA NETO,231
JOSE P SILVA,232
JOSE PATROCINIO SILVA JUNIOR,233
JOSE RAIMUNDO GOMES PEREIRA,234
JOSE REIS CUNHA FILHO,235
JOSE TIACCI KIRSTEN,236
JOSIEL MELO NOVAES,237
JOSIEL PEREIRA SANTOS,238
JOSILEIDE OLIVEIRA COSTA,239
JULIANA BEZERRA ANDRADE,240
JULIANA BEZERRA ANDRADE AQUINO,240
JULIANE FERREIRA SILVA,241
JULIANE FREIRE SILVA,4
JULIANE MITIE MATSUOKA,242
JULIANE SILVEIRA FREIRE SILVA,4
JULIANE SILVEIRA SILVA,4
JULIANNE MITIE MATSUOKA,242
JULIO GANAP,243
JULIO GNAP,243
JULIO HENRIQUE ELY ZIBETI,244
JULIO HENRIQUE ELY ZIBETTI,244
JULIO HENRIQUE ZIBETI,244
KALLINE FABIANA SILVEIRA,245
KAREN CONCEICAO DIAS,246
KAREN GABRIELLE MARGOTI,247
KAREN GAGRIELLE MARGOTI,247
KARLA IMACULADA ASSIS,248
KATIA MARQUES FROTA,249
KESIA MOREIRA ALVES,250
KLEISON PAIVA FREITAS,251
KLEISSON PAIVA FREITAS,251
KOWLY RONN N M C BRITO,252
LAERCIO SOUSA ARAUJO,253
LAERCIO SOUZA ARAUJO,253
LARISSA BITENCOURT BRANDAO,254
LAURA LEAL NUNES,255
LAZARO RAMOS ANDRADE,256
LEONARD,257
LEONARD MENCONCA ASSIS,257
LEONARD MENDONCA,257
LEONARD MENDONCA ASSIS,257
LEONARD MENDONCA ASSISO,257
LEONARDO FABIO COSTA FILHO,258
"LEONARDO FABIO COSTA FILHO ,DENIS CARDOSO CHAVES",258
LEONARDO GOMES MELO,259
LESSIO LOURENCO NUNES,260
LETICIA SANTOS LOPES,261
LETICIA SILVA NUNES,262
LIDIA BEZERRA SANTOS,263
LIDIA MARIA FERNANDES BRANDAO,264
LIGIA PAES GONCACVES,265
LIGIA PAES GONCALVES,265
LIGIA PAES GONLCALVES,265
LILIAN FELICIO BARRETO,266
LILIAN FELICIO BARRETO MARICATO,266
LILIANE AUGUSTO SILVA,267
LILIANE GAZOLA,268
LINEANE GAZOLA,268
LINIANA GAZOLA,268
LINIANE,268
LINIANE GAZOLA,268
LINIANE GAZOLE,268
LINO MOSQUERA NAVARRO,269
LISIANE PRISCILA ROLDAO SELAU,270
LORENA MAURICIA NERIS SILVA,271
LORENA MAURICIA NERY SILVA,271
LU,NA
LUCAS EBER FLORIANO OLIVEIRA,272
LUCEMBERG ARAUJO PEDROSA,273
LUCEMBERG PEDROSA,273
LUCIA HELENA S PAMASSONI,274
LUCIA HELENA SAGRILLO PIMASSONI,274
LUCIA HELENA SAGRILLO PISSAMONI,274
LUCIA HELENA SAGRILO PISSAMONI,274
LUCIA HELENA SANGRILO PISSAMONI,274
LUCIA HELENA SILVA CARDOSO,275
LUCIANA GUEDES,276
LUCIANA GUEDES SILVA,276
LUCIANO FERNANDES AVILA OLIVEIRA,277
LUCIANO H MATOS,278
LUCIANO HENRIQUE MATOS,278
LUCIANO HENRIQUE MATTOS,278
LUCIANO RIOS SCHERRER,279
LUCILENE ALVES LOPES,280
LUIIS CARLOS FERREIRA FEITOSA,281
LUIS CARLOS FERREIRA FEITOSA,281
LUIS CRLOS FERREIRA FEITOSA,281
